check.keys,check.rt,key_resp_7.keys,key_resp_7.rt,key_resp_2.keys,key_resp_2.rt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,participant,session,date,expName,psychopyVersion,OS,frameRate,trials.order
2,2.4694,space,2.2507,1,7.652,1.988500184,9.0467,0,0,0,5,1,stim/fief_g.wav,5d7a90912fb68c001b06a218,001,2022-03-29_19h19.41.251,exp_mono_eng,2021.2.3,MacIntel,60.0024001,
,,,,2,8.6324,,,0,1,1,2,1,stim/peuf_g.wav,5d7a90912fb68c001b06a218,001,2022-03-29_19h19.41.251,exp_mono_eng,2021.2.3,MacIntel,60.0024001,7
