check.keys,check.rt,check.started,check.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,1.3134346669830848,8.74971733399434,None,,,,,,,,001,2022_Mar_29_1635,exp_mono_sp,2021.2.3,59.42303195652885,
,,,,8.74971733399434,None,8.74971733399434,None,8.74971733399434,None,,,,,,,
