the_col,key_resp_2afc_trial.keys,key_resp_2afc_trial.corr,key_resp_2afc_trial.rt,trials_2afc_loop.thisRepN,trials_2afc_loop.thisTrialN,trials_2afc_loop.thisN,trials_2afc_loop.thisIndex,trials_2afc_loop.ran,pisch,fisch,pake,pike,item_num,correct_response,id,Variety of Spanish that is most familiar to you?,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,the_col_fr,key_resp_2afc_trial_2.keys,key_resp_2afc_trial_2.corr,key_resp_2afc_trial_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,fat,fit,pat,pic
pisch,1,0,3.6498,0,0,0,4,1,conditions/german/pisch_1_5.wav,conditions/german/fisch_1_5.wav,conditions/german/pake_1_5.wav,conditions/german/pike_1_5.wav,5,0,62a76dfc808c176cecd72dfa,Mexican,2022-07-09_14h39.32.925,german,2021.2.3,Win32,60.59504333,,,,,,,,,,,,,,,
pisch,0,1,2.4295,0,1,1,46,1,conditions/german/pisch_7_5.wav,conditions/german/fisch_7_5.wav,conditions/german/pake_7_5.wav,conditions/german/pike_7_5.wav,47,0,62a76dfc808c176cecd72dfa,Mexican,2022-07-09_14h39.32.925,german,2021.2.3,Win32,60.59504333,,,,,,,,,,,,,,,
pisch,0,0,3.6076,0,2,2,40,1,conditions/german/pisch_6_6.wav,conditions/german/fisch_6_6.wav,conditions/german/pake_6_6.wav,conditions/german/pike_6_6.wav,41,1,62a76dfc808c176cecd72dfa,Mexican,2022-07-09_14h39.32.925,german,2021.2.3,Win32,60.59504333,,,,,,,,,,,,,,,
pike,0,1,2.0394,0,3,3,33,1,conditions/german/pisch_5_6.wav,conditions/german/fisch_5_6.wav,conditions/german/pake_5_6.wav,conditions/german/pike_5_6.wav,34,0,62a76dfc808c176cecd72dfa,Mexican,2022-07-09_14h39.32.925,german,2021.2.3,Win32,60.59504333,,,,,,,,,,,,,,,
pike,0,1,1.917,0,4,4,23,1,conditions/german/pisch_4_3.wav,conditions/german/fisch_4_3.wav,conditions/german/pake_4_3.wav,conditions/german/pike_4_3.wav,24,0,62a76dfc808c176cecd72dfa,Mexican,2022-07-09_14h39.32.925,german,2021.2.3,Win32,60.59504333,,,,,,,,,,,,,,,
pisch,1,0,3.3188,0,5,5,37,1,conditions/german/pisch_6_3.wav,conditions/german/fisch_6_3.wav,conditions/german/pake_6_3.wav,conditions/german/pike_6_3.wav,38,0,62a76dfc808c176cecd72dfa,Mexican,2022-07-09_14h39.32.925,german,2021.2.3,Win32,60.59504333,,,,,,,,,,,,,,,
pike,1,0,2.5554,0,6,6,42,1,conditions/german/pisch_7_1.wav,conditions/german/fisch_7_1.wav,conditions/german/pake_7_1.wav,conditions/german/pike_7_1.wav,43,0,62a76dfc808c176cecd72dfa,Mexican,2022-07-09_14h39.32.925,german,2021.2.3,Win32,60.59504333,,,,,,,,,,,,,,,
pake,0,1,2.5336,0,7,7,10,1,conditions/german/pisch_2_4.wav,conditions/german/fisch_2_4.wav,conditions/german/pake_2_4.wav,conditions/german/pike_2_4.wav,11,0,62a76dfc808c176cecd72dfa,Mexican,2022-07-09_14h39.32.925,german,2021.2.3,Win32,60.59504333,,,,,,,,,,,,,,,
pisch,0,1,1.9525,0,8,8,19,1,conditions/german/pisch_3_6.wav,conditions/german/fisch_3_6.wav,conditions/german/pake_3_6.wav,conditions/german/pike_3_6.wav,20,0,62a76dfc808c176cecd72dfa,Mexican,2022-07-09_14h39.32.925,german,2021.2.3,Win32,60.59504333,,,,,,,,,,,,,,,
pike,1,0,2.2017,0,9,9,5,1,conditions/german/pisch_1_6.wav,conditions/german/fisch_1_6.wav,conditions/german/pake_1_6.wav,conditions/german/pike_1_6.wav,6,0,62a76dfc808c176cecd72dfa,Mexican,2022-07-09_14h39.32.925,german,2021.2.3,Win32,60.59504333,,,,,,,,,,,,,,,
