the_col,key_resp_2afc_trial.keys,key_resp_2afc_trial.corr,key_resp_2afc_trial.rt,trials_2afc_loop.thisRepN,trials_2afc_loop.thisTrialN,trials_2afc_loop.thisN,trials_2afc_loop.thisIndex,trials_2afc_loop.ran,pisch,fisch,pake,pike,item_num,correct_response,id,Variety of Spanish that is most familiar to you?,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,the_col_fr,key_resp_2afc_trial_2.keys,key_resp_2afc_trial_2.corr,key_resp_2afc_trial_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,fat,fit,pat,pic
fisch,1,0,7.2916,0,0,0,30,1,conditions/german/pisch_5_3.wav,conditions/german/fisch_5_3.wav,conditions/german/pake_5_3.wav,conditions/german/pike_5_3.wav,31,0,60121fca666552254559110d,US Spanish,2022-03-23_17h50.38.647,german,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,
pike,1,1,3.971,0,1,1,8,1,conditions/german/pisch_2_2.wav,conditions/german/fisch_2_2.wav,conditions/german/pake_2_2.wav,conditions/german/pike_2_2.wav,9,1,60121fca666552254559110d,US Spanish,2022-03-23_17h50.38.647,german,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,
pike,1,0,2.9918,0,2,2,3,1,conditions/german/pisch_1_4.wav,conditions/german/fisch_1_4.wav,conditions/german/pake_1_4.wav,conditions/german/pike_1_4.wav,4,0,60121fca666552254559110d,US Spanish,2022-03-23_17h50.38.647,german,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,
pike,1,0,2.453,0,3,3,10,1,conditions/german/pisch_2_4.wav,conditions/german/fisch_2_4.wav,conditions/german/pake_2_4.wav,conditions/german/pike_2_4.wav,11,0,60121fca666552254559110d,US Spanish,2022-03-23_17h50.38.647,german,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,
pake,0,1,11.9655,0,4,4,15,1,conditions/german/pisch_3_2.wav,conditions/german/fisch_3_2.wav,conditions/german/pake_3_2.wav,conditions/german/pike_3_2.wav,16,0,60121fca666552254559110d,US Spanish,2022-03-23_17h50.38.647,german,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,
pike,1,0,3.042,0,5,5,34,1,conditions/german/pisch_5_7.wav,conditions/german/fisch_5_7.wav,conditions/german/pake_5_7.wav,conditions/german/pike_5_7.wav,35,0,60121fca666552254559110d,US Spanish,2022-03-23_17h50.38.647,german,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,
pike,1,0,1.9172,0,6,6,23,1,conditions/german/pisch_4_3.wav,conditions/german/fisch_4_3.wav,conditions/german/pake_4_3.wav,conditions/german/pike_4_3.wav,24,0,60121fca666552254559110d,US Spanish,2022-03-23_17h50.38.647,german,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,
pike,1,0,2.0179,0,7,7,18,1,conditions/german/pisch_3_5.wav,conditions/german/fisch_3_5.wav,conditions/german/pake_3_5.wav,conditions/german/pike_3_5.wav,19,0,60121fca666552254559110d,US Spanish,2022-03-23_17h50.38.647,german,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,
pike,1,0,2.9338,0,8,8,31,1,conditions/german/pisch_5_4.wav,conditions/german/fisch_5_4.wav,conditions/german/pake_5_4.wav,conditions/german/pike_5_4.wav,32,0,60121fca666552254559110d,US Spanish,2022-03-23_17h50.38.647,german,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,
fisch,0,1,2.4859,0,9,9,13,1,conditions/german/pisch_2_7.wav,conditions/german/fisch_2_7.wav,conditions/german/pake_2_7.wav,conditions/german/pike_2_7.wav,14,0,60121fca666552254559110d,US Spanish,2022-03-23_17h50.38.647,german,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,
