the_col,key_resp_2afc_trial.keys,key_resp_2afc_trial.corr,key_resp_2afc_trial.rt,trials_2afc_loop.thisRepN,trials_2afc_loop.thisTrialN,trials_2afc_loop.thisN,trials_2afc_loop.thisIndex,trials_2afc_loop.ran,pisch,fisch,pake,pike,item_num,correct_response,id,Variety of Spanish that is most familiar to you?,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,the_col_fr,key_resp_2afc_trial_2.keys,key_resp_2afc_trial_2.corr,key_resp_2afc_trial_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,fat,fit,pat,pic
pisch,1,0,2.222,0,0,0,38,1,conditions/german/pisch_6_4.wav,conditions/german/fisch_6_4.wav,conditions/german/pake_6_4.wav,conditions/german/pike_6_4.wav,39,0,5a08ddd0df3fa800015c36ac,Mexican,2022-03-23_16h39.34.226,german,2021.2.3,Win32,74.96251874,,,,,,,,,,,,,,,
pike,1,0,2.257,0,1,1,18,1,conditions/german/pisch_3_5.wav,conditions/german/fisch_3_5.wav,conditions/german/pake_3_5.wav,conditions/german/pike_3_5.wav,19,0,5a08ddd0df3fa800015c36ac,Mexican,2022-03-23_16h39.34.226,german,2021.2.3,Win32,74.96251874,,,,,,,,,,,,,,,
pisch,0,1,2.199,0,2,2,37,1,conditions/german/pisch_6_3.wav,conditions/german/fisch_6_3.wav,conditions/german/pake_6_3.wav,conditions/german/pike_6_3.wav,38,0,5a08ddd0df3fa800015c36ac,Mexican,2022-03-23_16h39.34.226,german,2021.2.3,Win32,74.96251874,,,,,,,,,,,,,,,
pake,1,0,2.204,0,3,3,9,1,conditions/german/pisch_2_3.wav,conditions/german/fisch_2_3.wav,conditions/german/pake_2_3.wav,conditions/german/pike_2_3.wav,10,0,5a08ddd0df3fa800015c36ac,Mexican,2022-03-23_16h39.34.226,german,2021.2.3,Win32,74.96251874,,,,,,,,,,,,,,,
pike,1,0,1.983,0,4,4,1,1,conditions/german/pisch_1_2.wav,conditions/german/fisch_1_2.wav,conditions/german/pake_1_2.wav,conditions/german/pike_1_2.wav,2,0,5a08ddd0df3fa800015c36ac,Mexican,2022-03-23_16h39.34.226,german,2021.2.3,Win32,74.96251874,,,,,,,,,,,,,,,
fisch,0,1,1.968,0,5,5,14,1,conditions/german/pisch_3_1.wav,conditions/german/fisch_3_1.wav,conditions/german/pake_3_1.wav,conditions/german/pike_3_1.wav,15,0,5a08ddd0df3fa800015c36ac,Mexican,2022-03-23_16h39.34.226,german,2021.2.3,Win32,74.96251874,,,,,,,,,,,,,,,
pike,1,0,1.951,0,6,6,31,1,conditions/german/pisch_5_4.wav,conditions/german/fisch_5_4.wav,conditions/german/pake_5_4.wav,conditions/german/pike_5_4.wav,32,0,5a08ddd0df3fa800015c36ac,Mexican,2022-03-23_16h39.34.226,german,2021.2.3,Win32,74.96251874,,,,,,,,,,,,,,,
pike,0,1,1.924,0,7,7,4,1,conditions/german/pisch_1_5.wav,conditions/german/fisch_1_5.wav,conditions/german/pake_1_5.wav,conditions/german/pike_1_5.wav,5,0,5a08ddd0df3fa800015c36ac,Mexican,2022-03-23_16h39.34.226,german,2021.2.3,Win32,74.96251874,,,,,,,,,,,,,,,
fisch,1,1,2.023,0,8,8,40,1,conditions/german/pisch_6_6.wav,conditions/german/fisch_6_6.wav,conditions/german/pake_6_6.wav,conditions/german/pike_6_6.wav,41,1,5a08ddd0df3fa800015c36ac,Mexican,2022-03-23_16h39.34.226,german,2021.2.3,Win32,74.96251874,,,,,,,,,,,,,,,
pake,0,1,2.15,0,9,9,20,1,conditions/german/pisch_3_7.wav,conditions/german/fisch_3_7.wav,conditions/german/pake_3_7.wav,conditions/german/pike_3_7.wav,21,0,5a08ddd0df3fa800015c36ac,Mexican,2022-03-23_16h39.34.226,german,2021.2.3,Win32,74.96251874,,,,,,,,,,,,,,,
