the_col,key_resp_2afc_trial.keys,key_resp_2afc_trial.corr,key_resp_2afc_trial.rt,trials_2afc_loop.thisRepN,trials_2afc_loop.thisTrialN,trials_2afc_loop.thisN,trials_2afc_loop.thisIndex,trials_2afc_loop.ran,pisch,fisch,pake,pike,item_num,correct_response,id,Variety of Spanish that is most familiar to you?,date,expName,psychopyVersion,OS,frameRate
pake,0,1,3.7641,0,0,0,38,1,conditions/german/pisch_6_4.wav,conditions/german/fisch_6_4.wav,conditions/german/pake_6_4.wav,conditions/german/pike_6_4.wav,39,0,5e27868c5cbbcc0b3599574b,Cuban,2022-03-23_17h37.38.223,german,2021.2.3,MacIntel,60.0024001
pisch,0,1,1.3499,0,1,1,15,1,conditions/german/pisch_3_2.wav,conditions/german/fisch_3_2.wav,conditions/german/pake_3_2.wav,conditions/german/pike_3_2.wav,16,0,5e27868c5cbbcc0b3599574b,Cuban,2022-03-23_17h37.38.223,german,2021.2.3,MacIntel,60.0024001
pisch,0,1,0.2433,0,2,2,13,1,conditions/german/pisch_2_7.wav,conditions/german/fisch_2_7.wav,conditions/german/pake_2_7.wav,conditions/german/pike_2_7.wav,14,0,5e27868c5cbbcc0b3599574b,Cuban,2022-03-23_17h37.38.223,german,2021.2.3,MacIntel,60.0024001
pisch,0,0,0.067,0,3,3,48,1,conditions/german/pisch_7_7.wav,conditions/german/fisch_7_7.wav,conditions/german/pake_7_7.wav,conditions/german/pike_7_7.wav,49,1,5e27868c5cbbcc0b3599574b,Cuban,2022-03-23_17h37.38.223,german,2021.2.3,MacIntel,60.0024001
pisch,0,1,0.1505,0,4,4,21,1,conditions/german/pisch_4_1.wav,conditions/german/fisch_4_1.wav,conditions/german/pake_4_1.wav,conditions/german/pike_4_1.wav,22,0,5e27868c5cbbcc0b3599574b,Cuban,2022-03-23_17h37.38.223,german,2021.2.3,MacIntel,60.0024001
pike,0,1,2.1112,0,5,5,12,1,conditions/german/pisch_2_6.wav,conditions/german/fisch_2_6.wav,conditions/german/pake_2_6.wav,conditions/german/pike_2_6.wav,13,0,5e27868c5cbbcc0b3599574b,Cuban,2022-03-23_17h37.38.223,german,2021.2.3,MacIntel,60.0024001
fisch,0,1,0.0843,0,6,6,17,1,conditions/german/pisch_3_4.wav,conditions/german/fisch_3_4.wav,conditions/german/pake_3_4.wav,conditions/german/pike_3_4.wav,18,0,5e27868c5cbbcc0b3599574b,Cuban,2022-03-23_17h37.38.223,german,2021.2.3,MacIntel,60.0024001
pisch,0,0,0.6137,0,7,7,16,1,conditions/german/pisch_3_3.wav,conditions/german/fisch_3_3.wav,conditions/german/pake_3_3.wav,conditions/german/pike_3_3.wav,17,1,5e27868c5cbbcc0b3599574b,Cuban,2022-03-23_17h37.38.223,german,2021.2.3,MacIntel,60.0024001
fisch,0,1,0.0731,0,8,8,18,1,conditions/german/pisch_3_5.wav,conditions/german/fisch_3_5.wav,conditions/german/pake_3_5.wav,conditions/german/pike_3_5.wav,19,0,5e27868c5cbbcc0b3599574b,Cuban,2022-03-23_17h37.38.223,german,2021.2.3,MacIntel,60.0024001
pisch,0,1,0.4003,0,9,9,34,1,conditions/german/pisch_5_7.wav,conditions/german/fisch_5_7.wav,conditions/german/pake_5_7.wav,conditions/german/pike_5_7.wav,35,0,5e27868c5cbbcc0b3599574b,Cuban,2022-03-23_17h37.38.223,german,2021.2.3,MacIntel,60.0024001
pisch,0,1,0.068,0,10,10,30,1,conditions/german/pisch_5_3.wav,conditions/german/fisch_5_3.wav,conditions/german/pake_5_3.wav,conditions/german/pike_5_3.wav,31,0,5e27868c5cbbcc0b3599574b,Cuban,2022-03-23_17h37.38.223,german,2021.2.3,MacIntel,60.0024001
pisch,0,1,0.4421,0,11,11,37,1,conditions/german/pisch_6_3.wav,conditions/german/fisch_6_3.wav,conditions/german/pake_6_3.wav,conditions/german/pike_6_3.wav,38,0,5e27868c5cbbcc0b3599574b,Cuban,2022-03-23_17h37.38.223,german,2021.2.3,MacIntel,60.0024001
pike,0,1,0.0922,0,12,12,22,1,conditions/german/pisch_4_2.wav,conditions/german/fisch_4_2.wav,conditions/german/pake_4_2.wav,conditions/german/pike_4_2.wav,23,0,5e27868c5cbbcc0b3599574b,Cuban,2022-03-23_17h37.38.223,german,2021.2.3,MacIntel,60.0024001
