instructions_2afc_loop.thisRepN,instructions_2afc_loop.thisTrialN,instructions_2afc_loop.thisN,instructions_2afc_loop.thisIndex,instructions_2afc_loop.ran,instructions_text,continue_text,participant,study_id,session,I am most familiar with Spanish from...*,What part of the US are you from?*,At what age did you begin learning Spanish?*,Are you proficient in any languages other than English/Spanish?*,date,expName,psychopyVersion,OS,frameRate,key_resp_2afc_practice.keys,key_resp_2afc_practice.corr,key_resp_2afc_practice.rt,trials_2afc_practice_loop.thisRepN,trials_2afc_practice_loop.thisTrialN,trials_2afc_practice_loop.thisN,trials_2afc_practice_loop.thisIndex,trials_2afc_practice_loop.ran,path,correct_response,the_col,key_resp_2afc_trial.keys,key_resp_2afc_trial.corr,key_resp_2afc_trial.rt,trials_2afc_loop.thisRepN,trials_2afc_loop.thisTrialN,trials_2afc_loop.thisN,trials_2afc_loop.thisIndex,trials_2afc_loop.ran,item_num,andalusian,argentine,castilian,chilean,cuban,mexican,peruvian,puertorican,key_resp_ac1.keys,key_resp_ac1.corr,key_resp_ac1.rt,ac1_loop.thisRepN,ac1_loop.thisTrialN,ac1_loop.thisN,ac1_loop.thisIndex,ac1_loop.ran,instructions_lextale_loop.thisRepN,instructions_lextale_loop.thisTrialN,instructions_lextale_loop.thisN,instructions_lextale_loop.thisIndex,instructions_lextale_loop.ran
0,0,0,0,1,"In the following task you are going to hear a series of utterances. 

  You will decide if the utterances sound like questions or not using your keyboard.",(press the spacebar to continue),60087dd9f095dd4b5982dbf8,605b45a4d25f287719a41696,605d7e58dc2cb1ba0a5f0b28,I am not familiar with Spanish,Midwest,NA,no,2021-03-26_01h26.46.394,empathy_intonation_perc,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,"If you believe the utterance is a question, type '1' (for 'yes') and if you do not 
  believe it is a question type '0' (for 'no').

  Let's practice a bit...",(press the spacebar to continue),60087dd9f095dd4b5982dbf8,605b45a4d25f287719a41696,605d7e58dc2cb1ba0a5f0b28,I am not familiar with Spanish,Midwest,NA,no,2021-03-26_01h26.46.394,empathy_intonation_perc,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,60087dd9f095dd4b5982dbf8,605b45a4d25f287719a41696,605d7e58dc2cb1ba0a5f0b28,I am not familiar with Spanish,Midwest,NA,no,2021-03-26_01h26.46.394,empathy_intonation_perc,2020.2.10,MacIntel,60,1,0,2.30661,0,0,0,6,1,./stim/wavs/peruvian_statement_filler_El-nino-habla-con-su-madre.wav,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,60087dd9f095dd4b5982dbf8,605b45a4d25f287719a41696,605d7e58dc2cb1ba0a5f0b28,I am not familiar with Spanish,Midwest,NA,no,2021-03-26_01h26.46.394,empathy_intonation_perc,2020.2.10,MacIntel,60,1,0,1.66966,0,1,1,7,1,./stim/wavs/puertorican_statement_filler_La-nina-pinta-con-su-amiga.wav,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,60087dd9f095dd4b5982dbf8,605b45a4d25f287719a41696,605d7e58dc2cb1ba0a5f0b28,I am not familiar with Spanish,Midwest,NA,no,2021-03-26_01h26.46.394,empathy_intonation_perc,2020.2.10,MacIntel,60,1,0,2.097575,0,2,2,4,1,./stim/wavs/cuban_statement_filler_Cocinabas-por-la-noche.wav,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,60087dd9f095dd4b5982dbf8,605b45a4d25f287719a41696,605d7e58dc2cb1ba0a5f0b28,I am not familiar with Spanish,Midwest,NA,no,2021-03-26_01h26.46.394,empathy_intonation_perc,2020.2.10,MacIntel,60,1,1,1.77572,0,3,3,3,1,./stim/wavs/mexican_question_filler_Felipe-no-tiene-contrasena.wav,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,60087dd9f095dd4b5982dbf8,605b45a4d25f287719a41696,605d7e58dc2cb1ba0a5f0b28,I am not familiar with Spanish,Midwest,NA,no,2021-03-26_01h26.46.394,empathy_intonation_perc,2020.2.10,MacIntel,60,1,1,1.82129,0,4,4,0,1,./stim/wavs/castilian_question_filler_Mi-esposo-conoce-al-chico.wav,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,60087dd9f095dd4b5982dbf8,605b45a4d25f287719a41696,605d7e58dc2cb1ba0a5f0b28,I am not familiar with Spanish,Midwest,NA,no,2021-03-26_01h26.46.394,empathy_intonation_perc,2020.2.10,MacIntel,60,1,1,1.68623,0,5,5,2,1,./stim/wavs/chilean_question_filler_Mi-padre-cantaba-bien.wav,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,60087dd9f095dd4b5982dbf8,605b45a4d25f287719a41696,605d7e58dc2cb1ba0a5f0b28,I am not familiar with Spanish,Midwest,NA,no,2021-03-26_01h26.46.394,empathy_intonation_perc,2020.2.10,MacIntel,60,1,1,1.30502,0,6,6,1,1,./stim/wavs/argentine_question_filler_Mi-vecino-habla-mucho.wav,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,60087dd9f095dd4b5982dbf8,605b45a4d25f287719a41696,605d7e58dc2cb1ba0a5f0b28,I am not familiar with Spanish,Midwest,NA,no,2021-03-26_01h26.46.394,empathy_intonation_perc,2020.2.10,MacIntel,60,1,0,0.9728,0,7,7,5,1,./stim/wavs/andalusian_statement_filler_Alberto-nunca-se-afeita.wav,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
