the_col,key_resp_2afc_trial.keys,key_resp_2afc_trial.corr,key_resp_2afc_trial.rt,trials_2afc_loop.thisRepN,trials_2afc_loop.thisTrialN,trials_2afc_loop.thisN,trials_2afc_loop.thisIndex,trials_2afc_loop.ran,pisch,fisch,pake,pike,item_num,correct_response,id,Variety of Spanish that is most familiar to you?,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,the_col_fr,key_resp_2afc_trial_2.keys,key_resp_2afc_trial_2.corr,key_resp_2afc_trial_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,fat,fit,pat,pic
pike,0,1,4.1665,0,0,0,34,1,conditions/german/pisch_5_7.wav,conditions/german/fisch_5_7.wav,conditions/german/pake_5_7.wav,conditions/german/pike_5_7.wav,35,0,601584d717cbb906851646b7,Mexican,2022-03-23_16h32.42.454,german,2021.2.3,Win32,60.97560976,,,,,,,,,,,,,,,
pake,0,1,4.9952,0,1,1,21,1,conditions/german/pisch_4_1.wav,conditions/german/fisch_4_1.wav,conditions/german/pake_4_1.wav,conditions/german/pike_4_1.wav,22,0,601584d717cbb906851646b7,Mexican,2022-03-23_16h32.42.454,german,2021.2.3,Win32,60.97560976,,,,,,,,,,,,,,,
pike,1,0,2.1572,0,2,2,30,1,conditions/german/pisch_5_3.wav,conditions/german/fisch_5_3.wav,conditions/german/pake_5_3.wav,conditions/german/pike_5_3.wav,31,0,601584d717cbb906851646b7,Mexican,2022-03-23_16h32.42.454,german,2021.2.3,Win32,60.97560976,,,,,,,,,,,,,,,
pisch,0,1,2.9361,0,3,3,23,1,conditions/german/pisch_4_3.wav,conditions/german/fisch_4_3.wav,conditions/german/pake_4_3.wav,conditions/german/pike_4_3.wav,24,0,601584d717cbb906851646b7,Mexican,2022-03-23_16h32.42.454,german,2021.2.3,Win32,60.97560976,,,,,,,,,,,,,,,
pake,0,1,2.0859,0,4,4,37,1,conditions/german/pisch_6_3.wav,conditions/german/fisch_6_3.wav,conditions/german/pake_6_3.wav,conditions/german/pike_6_3.wav,38,0,601584d717cbb906851646b7,Mexican,2022-03-23_16h32.42.454,german,2021.2.3,Win32,60.97560976,,,,,,,,,,,,,,,
fisch,0,1,1.9395,0,5,5,39,1,conditions/german/pisch_6_5.wav,conditions/german/fisch_6_5.wav,conditions/german/pake_6_5.wav,conditions/german/pike_6_5.wav,40,0,601584d717cbb906851646b7,Mexican,2022-03-23_16h32.42.454,german,2021.2.3,Win32,60.97560976,,,,,,,,,,,,,,,
pake,1,0,2.1716,0,6,6,42,1,conditions/german/pisch_7_1.wav,conditions/german/fisch_7_1.wav,conditions/german/pake_7_1.wav,conditions/german/pike_7_1.wav,43,0,601584d717cbb906851646b7,Mexican,2022-03-23_16h32.42.454,german,2021.2.3,Win32,60.97560976,,,,,,,,,,,,,,,
pike,0,1,1.8584,0,7,7,26,1,conditions/german/pisch_4_6.wav,conditions/german/fisch_4_6.wav,conditions/german/pake_4_6.wav,conditions/german/pike_4_6.wav,27,0,601584d717cbb906851646b7,Mexican,2022-03-23_16h32.42.454,german,2021.2.3,Win32,60.97560976,,,,,,,,,,,,,,,
fisch,0,0,1.8375,0,8,8,24,1,conditions/german/pisch_4_4.wav,conditions/german/fisch_4_4.wav,conditions/german/pake_4_4.wav,conditions/german/pike_4_4.wav,25,1,601584d717cbb906851646b7,Mexican,2022-03-23_16h32.42.454,german,2021.2.3,Win32,60.97560976,,,,,,,,,,,,,,,
pake,0,1,1.8865,0,9,9,1,1,conditions/german/pisch_1_2.wav,conditions/german/fisch_1_2.wav,conditions/german/pake_1_2.wav,conditions/german/pike_1_2.wav,2,0,601584d717cbb906851646b7,Mexican,2022-03-23_16h32.42.454,german,2021.2.3,Win32,60.97560976,,,,,,,,,,,,,,,
