pisch,fisch,pake,pike,item_num,correct_response,trials_2afc_loop.thisRepN,trials_2afc_loop.thisTrialN,trials_2afc_loop.thisN,trials_2afc_loop.thisIndex,text_2afc_check.started,text_2afc_check.stopped,the_col,sound_2afc_stim_trial.started,sound_2afc_stim_trial.stopped,text_2afc_response_yes_trial.started,text_2afc_response_yes_trial.stopped,text_2afc_response_no_trial.started,text_2afc_response_no_trial.stopped,key_resp_2afc_trial.keys,key_resp_2afc_trial.corr,key_resp_2afc_trial.rt,key_resp_2afc_trial.started,key_resp_2afc_trial.stopped,text_2afc_question_trial.started,text_2afc_question_trial.stopped,id,Variety of Spanish that is most familiar to you?,date,expName,psychopyVersion,frameRate,
conditions/german/pisch_1_3.wav,conditions/german/fisch_1_3.wav,conditions/german/pake_1_3.wav,conditions/german/pike_1_3.wav,3,0,0,0,0,2,12.164047707999998,None,pake,13.166718174700327,None,12.916126042000542,None,12.916126042000542,None,1,0,2.1840800840000156,13.166387333000785,None,12.678990917000192,None,,,2022_Mar_23_1502,empathy_intonation_perc,2021.2.3,61.067536879120375,
conditions/german/pisch_6_6.wav,conditions/german/fisch_6_6.wav,conditions/german/pake_6_6.wav,conditions/german/pike_6_6.wav,41,1,0,1,1,40,,,pike,15.865982966699994,None,15.616046167000604,None,15.616046167000604,None,1,1,1.8327721249997921,15.869737833000727,None,15.383622833000118,None,,,2022_Mar_23_1502,empathy_intonation_perc,2021.2.3,61.067536879120375,
conditions/german/pisch_6_7.wav,conditions/german/fisch_6_7.wav,conditions/german/pake_6_7.wav,conditions/german/pike_6_7.wav,42,0,0,2,2,41,,,pike,18.216626008700224,None,17.96593029200085,None,17.96593029200085,None,1,0,1.6777912500001548,18.2168205830003,None,17.737196875000336,None,,,2022_Mar_23_1502,empathy_intonation_perc,2021.2.3,61.067536879120375,
conditions/german/pisch_3_1.wav,conditions/german/fisch_3_1.wav,conditions/german/pake_3_1.wav,conditions/german/pike_3_1.wav,15,0,0,3,3,14,,,pike,20.399658549700327,None,20.150329667000733,None,20.150329667000733,None,1,0,1.7157507079991774,20.402933458000007,None,19.91582258300059,None,,,2022_Mar_23_1502,empathy_intonation_perc,2021.2.3,61.067536879120375,
