the_col,key_resp_2afc_trial.keys,key_resp_2afc_trial.corr,key_resp_2afc_trial.rt,trials_2afc_loop.thisRepN,trials_2afc_loop.thisTrialN,trials_2afc_loop.thisN,trials_2afc_loop.thisIndex,trials_2afc_loop.ran,pisch,fisch,pake,pike,item_num,correct_response,id,Variety of Spanish that is most familiar to you?,date,expName,psychopyVersion,OS,frameRate
pake,1,0,2.5607,0,0,0,11,1,conditions/german/pisch_2_5.wav,conditions/german/fisch_2_5.wav,conditions/german/pake_2_5.wav,conditions/german/pike_2_5.wav,12,0,6144e07daad38d78db932d30,Mexican,2022-03-24_18h51.36.571,german,2021.2.3,Win32,165.4259719
pisch,1,1,2.1673,0,1,1,24,1,conditions/german/pisch_4_4.wav,conditions/german/fisch_4_4.wav,conditions/german/pake_4_4.wav,conditions/german/pike_4_4.wav,25,1,6144e07daad38d78db932d30,Mexican,2022-03-24_18h51.36.571,german,2021.2.3,Win32,165.4259719
pike,1,0,2.0789,0,2,2,29,1,conditions/german/pisch_5_2.wav,conditions/german/fisch_5_2.wav,conditions/german/pake_5_2.wav,conditions/german/pike_5_2.wav,30,0,6144e07daad38d78db932d30,Mexican,2022-03-24_18h51.36.571,german,2021.2.3,Win32,165.4259719
pike,1,0,2.003,0,3,3,3,1,conditions/german/pisch_1_4.wav,conditions/german/fisch_1_4.wav,conditions/german/pake_1_4.wav,conditions/german/pike_1_4.wav,4,0,6144e07daad38d78db932d30,Mexican,2022-03-24_18h51.36.571,german,2021.2.3,Win32,165.4259719
pake,1,1,2.2484,0,4,4,8,1,conditions/german/pisch_2_2.wav,conditions/german/fisch_2_2.wav,conditions/german/pake_2_2.wav,conditions/german/pike_2_2.wav,9,1,6144e07daad38d78db932d30,Mexican,2022-03-24_18h51.36.571,german,2021.2.3,Win32,165.4259719
fisch,1,0,2.3529,0,5,5,28,1,conditions/german/pisch_5_1.wav,conditions/german/fisch_5_1.wav,conditions/german/pake_5_1.wav,conditions/german/pike_5_1.wav,29,0,6144e07daad38d78db932d30,Mexican,2022-03-24_18h51.36.571,german,2021.2.3,Win32,165.4259719
pake,1,0,2.1213,0,6,6,7,1,conditions/german/pisch_2_1.wav,conditions/german/fisch_2_1.wav,conditions/german/pake_2_1.wav,conditions/german/pike_2_1.wav,8,0,6144e07daad38d78db932d30,Mexican,2022-03-24_18h51.36.571,german,2021.2.3,Win32,165.4259719
fisch,1,0,1.9109,0,7,7,9,1,conditions/german/pisch_2_3.wav,conditions/german/fisch_2_3.wav,conditions/german/pake_2_3.wav,conditions/german/pike_2_3.wav,10,0,6144e07daad38d78db932d30,Mexican,2022-03-24_18h51.36.571,german,2021.2.3,Win32,165.4259719
pake,0,1,4.8282,0,8,8,18,1,conditions/german/pisch_3_5.wav,conditions/german/fisch_3_5.wav,conditions/german/pake_3_5.wav,conditions/german/pike_3_5.wav,19,0,6144e07daad38d78db932d30,Mexican,2022-03-24_18h51.36.571,german,2021.2.3,Win32,165.4259719
pake,0,1,2.1206,0,9,9,34,1,conditions/german/pisch_5_7.wav,conditions/german/fisch_5_7.wav,conditions/german/pake_5_7.wav,conditions/german/pike_5_7.wav,35,0,6144e07daad38d78db932d30,Mexican,2022-03-24_18h51.36.571,german,2021.2.3,Win32,165.4259719
