pisch,fisch,pake,pike,item_num,correct_response,fat,fit,pat,pic,trials_2afc_loop.thisRepN,trials_2afc_loop.thisTrialN,trials_2afc_loop.thisN,trials_2afc_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2afc_check.started,text_2afc_check.stopped,the_col,sound_2afc_stim_trial.started,sound_2afc_stim_trial.stopped,text_2afc_response_yes_trial.started,text_2afc_response_yes_trial.stopped,text_2afc_response_no_trial.started,text_2afc_response_no_trial.stopped,key_resp_2afc_trial.keys,key_resp_2afc_trial.corr,key_resp_2afc_trial.rt,key_resp_2afc_trial.started,key_resp_2afc_trial.stopped,text_2afc_question_trial.started,text_2afc_question_trial.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,the_col_fr,sound_2afc_stim_trial_2.started,sound_2afc_stim_trial_2.stopped,text_2afc_response_yes_trial_2.started,text_2afc_response_yes_trial_2.stopped,text_2afc_response_no_trial_2.started,text_2afc_response_no_trial_2.stopped,key_resp_2afc_trial_2.keys,key_resp_2afc_trial_2.corr,key_resp_2afc_trial_2.rt,key_resp_2afc_trial_2.started,key_resp_2afc_trial_2.stopped,text_2afc_question_trial_2.started,text_2afc_question_trial_2.stopped,id,Variety of Spanish that is most familiar to you?,date,expName,psychopyVersion,frameRate,
conditions/german/pisch_2_6.wav,conditions/german/fisch_2_6.wav,conditions/german/pake_2_6.wav,conditions/german/pike_2_6.wav,13,0,,,,,0,0,0,12,,,,,9.22955654099951,None,fisch,10.775041516300188,None,10.524777749999885,None,10.524777749999885,None,1,0,2.631899834000251,10.776230374999614,None,10.302070583000386,None,,,,,,,,,,,,,,,,,,,,, ,,2022_Mar_23_1509,empathy_intonation_perc,2021.2.3,60.14241724422174,
conditions/german/pisch_6_5.wav,conditions/german/fisch_6_5.wav,conditions/german/pake_6_5.wav,conditions/german/pike_6_5.wav,40,0,,,,,0,1,1,39,,,,,,,pisch,13.908475308299966,None,13.659301708000385,None,13.659301708000385,None,1,0,1.1077983329996641,13.908321375000014,None,13.424982583000201,None,,,,,,,,,,,,,,,,,,,,, ,,2022_Mar_23_1509,empathy_intonation_perc,2021.2.3,60.14241724422174,
conditions/german/pisch_7_1.wav,conditions/german/fisch_7_1.wav,conditions/german/pake_7_1.wav,conditions/german/pike_7_1.wav,43,0,,,,,0,2,2,42,,,,,,,pake,15.525574516299638,None,15.275871124999867,None,15.275871124999867,None,1,0,0.6986800829999993,15.525509832999887,None,15.044112833000327,None,,,,,,,,,,,,,,,,,,,,, ,,2022_Mar_23_1509,empathy_intonation_perc,2021.2.3,60.14241724422174,
conditions/german/pisch_5_5.wav,conditions/german/fisch_5_5.wav,conditions/german/pake_5_5.wav,conditions/german/pike_5_5.wav,33,1,,,,,0,3,3,32,,,,,,,pike,16.724486349299877,None,16.47531762499966,None,16.47531762499966,None,1,1,0.5459532499999113,16.726249374999497,None,16.241039915999863,None,,,,,,,,,,,,,,,,,,,,, ,,2022_Mar_23_1509,empathy_intonation_perc,2021.2.3,60.14241724422174,
conditions/german/pisch_4_2.wav,conditions/german/fisch_4_2.wav,conditions/german/pake_4_2.wav,conditions/german/pike_4_2.wav,23,0,,,,,0,4,4,22,,,,,,,pike,17.775274141299814,None,17.525871208000353,None,17.525871208000353,None,1,0,0.47996525000053225,17.776262833000146,None,17.29150587499953,None,,,,,,,,,,,,,,,,,,,,, ,,2022_Mar_23_1509,empathy_intonation_perc,2021.2.3,60.14241724422174,
conditions/german/pisch_4_5.wav,conditions/german/fisch_4_5.wav,conditions/german/pake_4_5.wav,conditions/german/pike_4_5.wav,26,0,,,,,0,5,5,25,,,,,,,pisch,18.75916109929967,None,18.508973707999758,None,18.508973707999758,None,1,0,0.5056472500000382,18.758591040999818,None,18.27523645800011,None,,,,,,,,,,,,,,,,,,,,, ,,2022_Mar_23_1509,empathy_intonation_perc,2021.2.3,60.14241724422174,
conditions/german/pisch_3_1.wav,conditions/german/fisch_3_1.wav,conditions/german/pake_3_1.wav,conditions/german/pike_3_1.wav,15,0,,,,,0,6,6,14,,,,,,,pisch,19.774824099299803,None,19.524619333000373,None,19.524619333000373,None,1,0,0.5844993749997229,19.775778207999792,None,19.29162712499965,None,,,,,,,,,,,,,,,,,,,,, ,,2022_Mar_23_1509,empathy_intonation_perc,2021.2.3,60.14241724422174,
conditions/german/pisch_3_7.wav,conditions/german/fisch_3_7.wav,conditions/german/pake_3_7.wav,conditions/german/pike_3_7.wav,21,0,,,,,0,7,7,20,,,,,,,pake,20.87517389129989,None,20.625055915999837,None,20.625055915999837,None,1,0,0.5578927079995992,20.87446541600002,None,20.39148033299989,None,,,,,,,,,,,,,,,,,,,,, ,,2022_Mar_23_1509,empathy_intonation_perc,2021.2.3,60.14241724422174,
conditions/german/pisch_3_6.wav,conditions/german/fisch_3_6.wav,conditions/german/pake_3_6.wav,conditions/german/pike_3_6.wav,20,0,,,,,0,8,8,19,,,,,,,pake,21.942393599300157,None,21.691335499999695,None,21.691335499999695,None,1,0,0.4980659579996427,21.94226337500004,None,21.458758540999952,None,,,,,,,,,,,,,,,,,,,,, ,,2022_Mar_23_1509,empathy_intonation_perc,2021.2.3,60.14241724422174,
conditions/german/pisch_1_3.wav,conditions/german/fisch_1_3.wav,conditions/german/pake_1_3.wav,conditions/german/pike_1_3.wav,3,0,,,,,0,9,9,2,,,,,,,pike,22.941152724300263,None,22.691671874999884,None,22.691671874999884,None,1,0,0.44154483300007996,22.942785833000016,None,22.45880324999962,None,,,,,,,,,,,,,,,,,,,,, ,,2022_Mar_23_1509,empathy_intonation_perc,2021.2.3,60.14241724422174,
