the_col,key_resp_2afc_trial.keys,key_resp_2afc_trial.corr,key_resp_2afc_trial.rt,trials_2afc_loop.thisRepN,trials_2afc_loop.thisTrialN,trials_2afc_loop.thisN,trials_2afc_loop.thisIndex,trials_2afc_loop.ran,pisch,fisch,pake,pike,item_num,correct_response,id,Variety of Spanish that is most familiar to you?,date,expName,psychopyVersion,OS,frameRate
fisch,1,0,71.2472,0,0,0,29,1,conditions/german/pisch_5_2.wav,conditions/german/fisch_5_2.wav,conditions/german/pake_5_2.wav,conditions/german/pike_5_2.wav,30,0,629620f5aeec88ae70bbacc2,Yes?,2022-07-09_16h32.20.762,german,2021.2.3,Win32,60.38647343
fisch,1,1,12.0661,0,1,1,16,1,conditions/german/pisch_3_3.wav,conditions/german/fisch_3_3.wav,conditions/german/pake_3_3.wav,conditions/german/pike_3_3.wav,17,1,629620f5aeec88ae70bbacc2,Yes?,2022-07-09_16h32.20.762,german,2021.2.3,Win32,60.38647343
pake,1,1,7.2842,0,2,2,8,1,conditions/german/pisch_2_2.wav,conditions/german/fisch_2_2.wav,conditions/german/pake_2_2.wav,conditions/german/pike_2_2.wav,9,1,629620f5aeec88ae70bbacc2,Yes?,2022-07-09_16h32.20.762,german,2021.2.3,Win32,60.38647343
pake,1,0,2.6838,0,3,3,13,1,conditions/german/pisch_2_7.wav,conditions/german/fisch_2_7.wav,conditions/german/pake_2_7.wav,conditions/german/pike_2_7.wav,14,0,629620f5aeec88ae70bbacc2,Yes?,2022-07-09_16h32.20.762,german,2021.2.3,Win32,60.38647343
pike,1,0,4.4532,0,4,4,45,1,conditions/german/pisch_7_4.wav,conditions/german/fisch_7_4.wav,conditions/german/pake_7_4.wav,conditions/german/pike_7_4.wav,46,0,629620f5aeec88ae70bbacc2,Yes?,2022-07-09_16h32.20.762,german,2021.2.3,Win32,60.38647343
pisch,1,0,5.3672,0,5,5,35,1,conditions/german/pisch_6_1.wav,conditions/german/fisch_6_1.wav,conditions/german/pake_6_1.wav,conditions/german/pike_6_1.wav,36,0,629620f5aeec88ae70bbacc2,Yes?,2022-07-09_16h32.20.762,german,2021.2.3,Win32,60.38647343
pake,1,0,2.7003,0,6,6,11,1,conditions/german/pisch_2_5.wav,conditions/german/fisch_2_5.wav,conditions/german/pake_2_5.wav,conditions/german/pike_2_5.wav,12,0,629620f5aeec88ae70bbacc2,Yes?,2022-07-09_16h32.20.762,german,2021.2.3,Win32,60.38647343
pike,1,0,2.4838,0,7,7,42,1,conditions/german/pisch_7_1.wav,conditions/german/fisch_7_1.wav,conditions/german/pake_7_1.wav,conditions/german/pike_7_1.wav,43,0,629620f5aeec88ae70bbacc2,Yes?,2022-07-09_16h32.20.762,german,2021.2.3,Win32,60.38647343
fisch,1,0,2.7505,0,8,8,18,1,conditions/german/pisch_3_5.wav,conditions/german/fisch_3_5.wav,conditions/german/pake_3_5.wav,conditions/german/pike_3_5.wav,19,0,629620f5aeec88ae70bbacc2,Yes?,2022-07-09_16h32.20.762,german,2021.2.3,Win32,60.38647343
fisch,1,0,52.0339,0,9,9,36,1,conditions/german/pisch_6_2.wav,conditions/german/fisch_6_2.wav,conditions/german/pake_6_2.wav,conditions/german/pike_6_2.wav,37,0,629620f5aeec88ae70bbacc2,Yes?,2022-07-09_16h32.20.762,german,2021.2.3,Win32,60.38647343
pike,1,0,3.6838,0,10,10,37,1,conditions/german/pisch_6_3.wav,conditions/german/fisch_6_3.wav,conditions/german/pake_6_3.wav,conditions/german/pike_6_3.wav,38,0,629620f5aeec88ae70bbacc2,Yes?,2022-07-09_16h32.20.762,german,2021.2.3,Win32,60.38647343
pake,1,0,61.3372,0,11,11,7,1,conditions/german/pisch_2_1.wav,conditions/german/fisch_2_1.wav,conditions/german/pake_2_1.wav,conditions/german/pike_2_1.wav,8,0,629620f5aeec88ae70bbacc2,Yes?,2022-07-09_16h32.20.762,german,2021.2.3,Win32,60.38647343
pake,0,1,8.4859,0,12,12,33,1,conditions/german/pisch_5_6.wav,conditions/german/fisch_5_6.wav,conditions/german/pake_5_6.wav,conditions/german/pike_5_6.wav,34,0,629620f5aeec88ae70bbacc2,Yes?,2022-07-09_16h32.20.762,german,2021.2.3,Win32,60.38647343
