the_col,key_resp_2afc_trial.keys,key_resp_2afc_trial.corr,key_resp_2afc_trial.rt,trials_2afc_loop.thisRepN,trials_2afc_loop.thisTrialN,trials_2afc_loop.thisN,trials_2afc_loop.thisIndex,trials_2afc_loop.ran,pisch,fisch,pake,pike,item_num,correct_response,id,Variety of Spanish that is most familiar to you?,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,the_col_fr,key_resp_2afc_trial_2.keys,key_resp_2afc_trial_2.corr,key_resp_2afc_trial_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,fat,fit,pat,pic
pike,1,0,7.2724,0,0,0,31,1,conditions/german/pisch_5_4.wav,conditions/german/fisch_5_4.wav,conditions/german/pake_5_4.wav,conditions/german/pike_5_4.wav,32,0,613a4fe3a0971a14d7c0c8ab,Latin,2022-03-23_16h44.50.249,german,2021.2.3,Win32,60.0060006,,,,,,,,,,,,,,,
pike,1,0,2.9518,0,1,1,10,1,conditions/german/pisch_2_4.wav,conditions/german/fisch_2_4.wav,conditions/german/pake_2_4.wav,conditions/german/pike_2_4.wav,11,0,613a4fe3a0971a14d7c0c8ab,Latin,2022-03-23_16h44.50.249,german,2021.2.3,Win32,60.0060006,,,,,,,,,,,,,,,
pisch,1,0,2.8252,0,2,2,42,1,conditions/german/pisch_7_1.wav,conditions/german/fisch_7_1.wav,conditions/german/pake_7_1.wav,conditions/german/pike_7_1.wav,43,0,613a4fe3a0971a14d7c0c8ab,Latin,2022-03-23_16h44.50.249,german,2021.2.3,Win32,60.0060006,,,,,,,,,,,,,,,
pisch,1,0,6.8807,0,3,3,6,1,conditions/german/pisch_1_7.wav,conditions/german/fisch_1_7.wav,conditions/german/pake_1_7.wav,conditions/german/pike_1_7.wav,7,0,613a4fe3a0971a14d7c0c8ab,Latin,2022-03-23_16h44.50.249,german,2021.2.3,Win32,60.0060006,,,,,,,,,,,,,,,
pike,1,0,3.4393,0,4,4,26,1,conditions/german/pisch_4_6.wav,conditions/german/fisch_4_6.wav,conditions/german/pake_4_6.wav,conditions/german/pike_4_6.wav,27,0,613a4fe3a0971a14d7c0c8ab,Latin,2022-03-23_16h44.50.249,german,2021.2.3,Win32,60.0060006,,,,,,,,,,,,,,,
pake,0,1,3.4265,0,5,5,28,1,conditions/german/pisch_5_1.wav,conditions/german/fisch_5_1.wav,conditions/german/pake_5_1.wav,conditions/german/pike_5_1.wav,29,0,613a4fe3a0971a14d7c0c8ab,Latin,2022-03-23_16h44.50.249,german,2021.2.3,Win32,60.0060006,,,,,,,,,,,,,,,
fisch,0,0,5.1208,0,6,6,40,1,conditions/german/pisch_6_6.wav,conditions/german/fisch_6_6.wav,conditions/german/pake_6_6.wav,conditions/german/pike_6_6.wav,41,1,613a4fe3a0971a14d7c0c8ab,Latin,2022-03-23_16h44.50.249,german,2021.2.3,Win32,60.0060006,,,,,,,,,,,,,,,
pake,1,0,2.5739,0,7,7,2,1,conditions/german/pisch_1_3.wav,conditions/german/fisch_1_3.wav,conditions/german/pake_1_3.wav,conditions/german/pike_1_3.wav,3,0,613a4fe3a0971a14d7c0c8ab,Latin,2022-03-23_16h44.50.249,german,2021.2.3,Win32,60.0060006,,,,,,,,,,,,,,,
pike,1,0,2.4989,0,8,8,47,1,conditions/german/pisch_7_6.wav,conditions/german/fisch_7_6.wav,conditions/german/pake_7_6.wav,conditions/german/pike_7_6.wav,48,0,613a4fe3a0971a14d7c0c8ab,Latin,2022-03-23_16h44.50.249,german,2021.2.3,Win32,60.0060006,,,,,,,,,,,,,,,
pisch,1,0,2.3044,0,9,9,35,1,conditions/german/pisch_6_1.wav,conditions/german/fisch_6_1.wav,conditions/german/pake_6_1.wav,conditions/german/pike_6_1.wav,36,0,613a4fe3a0971a14d7c0c8ab,Latin,2022-03-23_16h44.50.249,german,2021.2.3,Win32,60.0060006,,,,,,,,,,,,,,,
fisch,1,0,2.9861,0,10,10,18,1,conditions/german/pisch_3_5.wav,conditions/german/fisch_3_5.wav,conditions/german/pake_3_5.wav,conditions/german/pike_3_5.wav,19,0,613a4fe3a0971a14d7c0c8ab,Latin,2022-03-23_16h44.50.249,german,2021.2.3,Win32,60.0060006,,,,,,,,,,,,,,,
pisch,0,1,2.6948,0,11,11,45,1,conditions/german/pisch_7_4.wav,conditions/german/fisch_7_4.wav,conditions/german/pake_7_4.wav,conditions/german/pike_7_4.wav,46,0,613a4fe3a0971a14d7c0c8ab,Latin,2022-03-23_16h44.50.249,german,2021.2.3,Win32,60.0060006,,,,,,,,,,,,,,,
pisch,1,0,2.7689,0,12,12,23,1,conditions/german/pisch_4_3.wav,conditions/german/fisch_4_3.wav,conditions/german/pake_4_3.wav,conditions/german/pike_4_3.wav,24,0,613a4fe3a0971a14d7c0c8ab,Latin,2022-03-23_16h44.50.249,german,2021.2.3,Win32,60.0060006,,,,,,,,,,,,,,,
pake,1,0,3.1921,0,13,13,7,1,conditions/german/pisch_2_1.wav,conditions/german/fisch_2_1.wav,conditions/german/pake_2_1.wav,conditions/german/pike_2_1.wav,8,0,613a4fe3a0971a14d7c0c8ab,Latin,2022-03-23_16h44.50.249,german,2021.2.3,Win32,60.0060006,,,,,,,,,,,,,,,
pike,1,0,2.4215,0,14,14,36,1,conditions/german/pisch_6_2.wav,conditions/german/fisch_6_2.wav,conditions/german/pake_6_2.wav,conditions/german/pike_6_2.wav,37,0,613a4fe3a0971a14d7c0c8ab,Latin,2022-03-23_16h44.50.249,german,2021.2.3,Win32,60.0060006,,,,,,,,,,,,,,,
pike,1,1,3.3051,0,15,15,32,1,conditions/german/pisch_5_5.wav,conditions/german/fisch_5_5.wav,conditions/german/pake_5_5.wav,conditions/german/pike_5_5.wav,33,1,613a4fe3a0971a14d7c0c8ab,Latin,2022-03-23_16h44.50.249,german,2021.2.3,Win32,60.0060006,,,,,,,,,,,,,,,
fisch,0,0,2.595,0,16,16,48,1,conditions/german/pisch_7_7.wav,conditions/german/fisch_7_7.wav,conditions/german/pake_7_7.wav,conditions/german/pike_7_7.wav,49,1,613a4fe3a0971a14d7c0c8ab,Latin,2022-03-23_16h44.50.249,german,2021.2.3,Win32,60.0060006,,,,,,,,,,,,,,,
fisch,0,1,1.7349,0,17,17,33,1,conditions/german/pisch_5_6.wav,conditions/german/fisch_5_6.wav,conditions/german/pake_5_6.wav,conditions/german/pike_5_6.wav,34,0,613a4fe3a0971a14d7c0c8ab,Latin,2022-03-23_16h44.50.249,german,2021.2.3,Win32,60.0060006,,,,,,,,,,,,,,,
fisch,1,0,2.9164,0,18,18,37,1,conditions/german/pisch_6_3.wav,conditions/german/fisch_6_3.wav,conditions/german/pake_6_3.wav,conditions/german/pike_6_3.wav,38,0,613a4fe3a0971a14d7c0c8ab,Latin,2022-03-23_16h44.50.249,german,2021.2.3,Win32,60.0060006,,,,,,,,,,,,,,,
