the_col,key_resp_2afc_trial.keys,key_resp_2afc_trial.corr,key_resp_2afc_trial.rt,trials_2afc_loop.thisRepN,trials_2afc_loop.thisTrialN,trials_2afc_loop.thisN,trials_2afc_loop.thisIndex,trials_2afc_loop.ran,pisch,fisch,pake,pike,item_num,correct_response,id,Variety of Spanish that is most familiar to you?,date,expName,psychopyVersion,OS,frameRate
pisch,1,0,2.1934,0,0,0,33,1,conditions/german/pisch_5_6.wav,conditions/german/fisch_5_6.wav,conditions/german/pake_5_6.wav,conditions/german/pike_5_6.wav,34,0,614215e5a85111f66a9abbfc,Mexican,2022-03-23_19h03.16.718,german,2021.2.3,MacIntel,60.0024001
pake,0,1,0.059,0,1,1,12,1,conditions/german/pisch_2_6.wav,conditions/german/fisch_2_6.wav,conditions/german/pake_2_6.wav,conditions/german/pike_2_6.wav,13,0,614215e5a85111f66a9abbfc,Mexican,2022-03-23_19h03.16.718,german,2021.2.3,MacIntel,60.0024001
pike,1,0,0.0677,0,2,2,17,1,conditions/german/pisch_3_4.wav,conditions/german/fisch_3_4.wav,conditions/german/pake_3_4.wav,conditions/german/pike_3_4.wav,18,0,614215e5a85111f66a9abbfc,Mexican,2022-03-23_19h03.16.718,german,2021.2.3,MacIntel,60.0024001
pake,1,0,0.0146,0,3,3,37,1,conditions/german/pisch_6_3.wav,conditions/german/fisch_6_3.wav,conditions/german/pake_6_3.wav,conditions/german/pike_6_3.wav,38,0,614215e5a85111f66a9abbfc,Mexican,2022-03-23_19h03.16.718,german,2021.2.3,MacIntel,60.0024001
fisch,1,0,0.0005,0,4,4,27,1,conditions/german/pisch_4_7.wav,conditions/german/fisch_4_7.wav,conditions/german/pake_4_7.wav,conditions/german/pike_4_7.wav,28,0,614215e5a85111f66a9abbfc,Mexican,2022-03-23_19h03.16.718,german,2021.2.3,MacIntel,60.0024001
pike,0,1,0.016,0,5,5,3,1,conditions/german/pisch_1_4.wav,conditions/german/fisch_1_4.wav,conditions/german/pake_1_4.wav,conditions/german/pike_1_4.wav,4,0,614215e5a85111f66a9abbfc,Mexican,2022-03-23_19h03.16.718,german,2021.2.3,MacIntel,60.0024001
pisch,0,0,0.0526,0,6,6,16,1,conditions/german/pisch_3_3.wav,conditions/german/fisch_3_3.wav,conditions/german/pake_3_3.wav,conditions/german/pike_3_3.wav,17,1,614215e5a85111f66a9abbfc,Mexican,2022-03-23_19h03.16.718,german,2021.2.3,MacIntel,60.0024001
pike,1,0,0.0845,0,7,7,46,1,conditions/german/pisch_7_5.wav,conditions/german/fisch_7_5.wav,conditions/german/pake_7_5.wav,conditions/german/pike_7_5.wav,47,0,614215e5a85111f66a9abbfc,Mexican,2022-03-23_19h03.16.718,german,2021.2.3,MacIntel,60.0024001
pisch,1,0,0.1147,0,8,8,25,1,conditions/german/pisch_4_5.wav,conditions/german/fisch_4_5.wav,conditions/german/pake_4_5.wav,conditions/german/pike_4_5.wav,26,0,614215e5a85111f66a9abbfc,Mexican,2022-03-23_19h03.16.718,german,2021.2.3,MacIntel,60.0024001
pisch,0,0,0.0078,0,9,9,40,1,conditions/german/pisch_6_6.wav,conditions/german/fisch_6_6.wav,conditions/german/pake_6_6.wav,conditions/german/pike_6_6.wav,41,1,614215e5a85111f66a9abbfc,Mexican,2022-03-23_19h03.16.718,german,2021.2.3,MacIntel,60.0024001
pake,1,0,0.5048,0,10,10,26,1,conditions/german/pisch_4_6.wav,conditions/german/fisch_4_6.wav,conditions/german/pake_4_6.wav,conditions/german/pike_4_6.wav,27,0,614215e5a85111f66a9abbfc,Mexican,2022-03-23_19h03.16.718,german,2021.2.3,MacIntel,60.0024001
pisch,1,0,0.3535,0,11,11,38,1,conditions/german/pisch_6_4.wav,conditions/german/fisch_6_4.wav,conditions/german/pake_6_4.wav,conditions/german/pike_6_4.wav,39,0,614215e5a85111f66a9abbfc,Mexican,2022-03-23_19h03.16.718,german,2021.2.3,MacIntel,60.0024001
pike,1,0,0.2484,0,12,12,18,1,conditions/german/pisch_3_5.wav,conditions/german/fisch_3_5.wav,conditions/german/pake_3_5.wav,conditions/german/pike_3_5.wav,19,0,614215e5a85111f66a9abbfc,Mexican,2022-03-23_19h03.16.718,german,2021.2.3,MacIntel,60.0024001
