instructions_2afc_loop.thisRepN,instructions_2afc_loop.thisTrialN,instructions_2afc_loop.thisN,instructions_2afc_loop.thisIndex,instructions_2afc_loop.ran,instructions_text,continue_text,participant,study_id,session,I am most familiar with Spanish from...*,What part of the US are you from?*,At what age did you begin learning Spanish?*,Are you proficient in any languages other than English/Spanish?*,date,expName,psychopyVersion,OS,frameRate,key_resp_2afc_practice.keys,key_resp_2afc_practice.corr,key_resp_2afc_practice.rt,trials_2afc_practice_loop.thisRepN,trials_2afc_practice_loop.thisTrialN,trials_2afc_practice_loop.thisN,trials_2afc_practice_loop.thisIndex,trials_2afc_practice_loop.ran,path,correct_response
0,0,0,0,1,"In the following task you are going to hear a series of utterances. 

  You will decide if the utterances sound like questions or not using your keyboard.",(press the spacebar to continue),5cb0cfc643e80b00010a384b,605b45a4d25f287719a41696,605dfb64e2e69cfb942eac24,Mexico,East coast,13 or older,no,2021-03-26_11h19.32.766,empathy_intonation_perc,2020.2.10,Win32,60,,,,,,,,,,
0,1,1,1,1,"If you believe the utterance is a question, type '1' (for 'yes') and if you do not 
  believe it is a question type '0' (for 'no').

  Let's practice a bit...",(press the spacebar to continue),5cb0cfc643e80b00010a384b,605b45a4d25f287719a41696,605dfb64e2e69cfb942eac24,Mexico,East coast,13 or older,no,2021-03-26_11h19.32.766,empathy_intonation_perc,2020.2.10,Win32,60,,,,,,,,,,
,,,,,,,5cb0cfc643e80b00010a384b,605b45a4d25f287719a41696,605dfb64e2e69cfb942eac24,Mexico,East coast,13 or older,no,2021-03-26_11h19.32.766,empathy_intonation_perc,2020.2.10,Win32,60,1,1,2.030675,0,0,0,1,1,./stim/wavs/argentine_question_filler_Mi-vecino-habla-mucho.wav,1
,,,,,,,5cb0cfc643e80b00010a384b,605b45a4d25f287719a41696,605dfb64e2e69cfb942eac24,Mexico,East coast,13 or older,no,2021-03-26_11h19.32.766,empathy_intonation_perc,2020.2.10,Win32,60,1,0,5.46386,0,1,1,6,1,./stim/wavs/peruvian_statement_filler_El-nino-habla-con-su-madre.wav,0
,,,,,,,5cb0cfc643e80b00010a384b,605b45a4d25f287719a41696,605dfb64e2e69cfb942eac24,Mexico,East coast,13 or older,no,2021-03-26_11h19.32.766,empathy_intonation_perc,2020.2.10,Win32,60,1,1,1.831125,0,2,2,3,1,./stim/wavs/mexican_question_filler_Felipe-no-tiene-contrasena.wav,1
,,,,,,,5cb0cfc643e80b00010a384b,605b45a4d25f287719a41696,605dfb64e2e69cfb942eac24,Mexico,East coast,13 or older,no,2021-03-26_11h19.32.766,empathy_intonation_perc,2020.2.10,Win32,60,1,0,9.946545,0,3,3,5,1,./stim/wavs/andalusian_statement_filler_Alberto-nunca-se-afeita.wav,0
