pisch,fisch,pake,pike,item_num,correct_response,fat,fit,pat,pic,trials_2afc_loop.thisRepN,trials_2afc_loop.thisTrialN,trials_2afc_loop.thisN,trials_2afc_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2afc_check.started,text_2afc_check.stopped,the_col,sound_2afc_stim_trial.started,sound_2afc_stim_trial.stopped,text_2afc_response_yes_trial.started,text_2afc_response_yes_trial.stopped,text_2afc_response_no_trial.started,text_2afc_response_no_trial.stopped,key_resp_2afc_trial.keys,key_resp_2afc_trial.corr,key_resp_2afc_trial.rt,key_resp_2afc_trial.started,key_resp_2afc_trial.stopped,text_2afc_question_trial.started,text_2afc_question_trial.stopped,the_col_fr,sound_2afc_stim_trial_2.started,sound_2afc_stim_trial_2.stopped,text_2afc_response_yes_trial_2.started,text_2afc_response_yes_trial_2.stopped,text_2afc_response_no_trial_2.started,text_2afc_response_no_trial_2.stopped,key_resp_2afc_trial_2.keys,key_resp_2afc_trial_2.corr,key_resp_2afc_trial_2.rt,key_resp_2afc_trial_2.started,key_resp_2afc_trial_2.stopped,text_2afc_question_trial_2.started,text_2afc_question_trial_2.stopped,id,Variety of Spanish that is most familiar to you?,date,expName,psychopyVersion,frameRate,
conditions/german/pisch_3_2.wav,conditions/german/fisch_3_2.wav,conditions/german/pake_3_2.wav,conditions/german/pike_3_2.wav,16,0,,,,,0,0,0,15,,,,,9.013689833000171,None,pake,10.634246241400433,None,10.384327208000286,None,10.384327208000286,None,1,0,2.35752733299978,10.634506792000138,None,10.145254000000023,None,,,,,,,,,,,,,,,,,2022_Mar_23_1506,empathy_intonation_perc,2021.2.3,60.70340090058902,
conditions/german/pisch_4_5.wav,conditions/german/fisch_4_5.wav,conditions/german/pake_4_5.wav,conditions/german/pike_4_5.wav,26,0,,,,,0,1,1,25,,,,,,,fisch,13.500656325400087,None,13.25152241700016,None,13.25152241700016,None,1,0,0.6426519999995435,13.501445667000553,None,13.01770979200046,None,,,,,,,,,,,,,,,,,2022_Mar_23_1506,empathy_intonation_perc,2021.2.3,60.70340090058902,
conditions/german/pisch_5_4.wav,conditions/german/fisch_5_4.wav,conditions/german/pake_5_4.wav,conditions/german/pike_5_4.wav,32,0,,,,,0,2,2,31,,,,,,,pake,14.65154436640023,None,14.401228417000311,None,14.401228417000311,None,1,0,0.4214153749999241,14.650621792000493,None,14.170262417000231,None,,,,,,,,,,,,,,,,,2022_Mar_23_1506,empathy_intonation_perc,2021.2.3,60.70340090058902,
conditions/german/pisch_4_7.wav,conditions/german/fisch_4_7.wav,conditions/german/pake_4_7.wav,conditions/german/pike_4_7.wav,28,0,,,,,0,3,3,27,,,,,,,pike,15.583243450400005,None,15.333526458000051,None,15.333526458000051,None,1,0,0.06321475000004284,15.584859125000548,None,15.100493375000042,None,,,,,,,,,,,,,,,,,2022_Mar_23_1506,empathy_intonation_perc,2021.2.3,60.70340090058902,
conditions/german/pisch_5_7.wav,conditions/german/fisch_5_7.wav,conditions/german/pake_5_7.wav,conditions/german/pike_5_7.wav,35,0,,,,,0,4,4,34,,,,,,,pike,16.150807283400354,None,15.901926208000077,None,15.901926208000077,None,1,0,0.4021320410001863,16.149930292000136,None,15.667253667000296,None,,,,,,,,,,,,,,,,,2022_Mar_23_1506,empathy_intonation_perc,2021.2.3,60.70340090058902,
conditions/german/pisch_6_4.wav,conditions/german/fisch_6_4.wav,conditions/german/pake_6_4.wav,conditions/german/pike_6_4.wav,39,0,,,,,0,5,5,38,,,,,,,pisch,17.067995408399838,None,16.81810120800037,None,16.81810120800037,None,1,0,0.16511179099961737,17.067002958000558,None,16.583344749999924,None,,,,,,,,,,,,,,,,,2022_Mar_23_1506,empathy_intonation_perc,2021.2.3,60.70340090058902,
conditions/german/pisch_5_1.wav,conditions/german/fisch_5_1.wav,conditions/german/pake_5_1.wav,conditions/german/pike_5_1.wav,29,0,,,,,0,6,6,28,,,,,,,pisch,17.734786991400142,None,17.48491795800055,None,17.48491795800055,None,1,0,0.002154917000552814,17.734008542000083,None,17.25097558300058,None,,,,,,,,,,,,,,,,,2022_Mar_23_1506,empathy_intonation_perc,2021.2.3,60.70340090058902,
conditions/german/pisch_3_7.wav,conditions/german/fisch_3_7.wav,conditions/german/pake_3_7.wav,conditions/german/pike_3_7.wav,21,0,,,,,0,7,7,20,,,,,,,pike,18.250772200400206,None,18.000413750000007,None,18.000413750000007,None,1,0,0.2293713340004615,18.250769250000303,None,17.766866666999704,None,,,,,,,,,,,,,,,,,2022_Mar_23_1506,empathy_intonation_perc,2021.2.3,60.70340090058902,
conditions/german/pisch_7_3.wav,conditions/german/fisch_7_3.wav,conditions/german/pake_7_3.wav,conditions/german/pike_7_3.wav,45,0,,,,,0,8,8,44,,,,,,,pisch,18.984040616400307,None,18.734146124999825,None,18.734146124999825,None,1,0,0.32065479199991387,18.98351583299973,None,18.500262333000137,None,,,,,,,,,,,,,,,,,2022_Mar_23_1506,empathy_intonation_perc,2021.2.3,60.70340090058902,
conditions/german/pisch_6_5.wav,conditions/german/fisch_6_5.wav,conditions/german/pake_6_5.wav,conditions/german/pike_6_5.wav,40,0,,,,,0,9,9,39,,,,,,,pisch,19.817728616400018,None,19.567064374999973,None,19.567064374999973,None,1,0,0.5096820419994401,19.81850200000008,None,19.333887042000242,None,,,,,,,,,,,,,,,,,2022_Mar_23_1506,empathy_intonation_perc,2021.2.3,60.70340090058902,
