the_col,key_resp_2afc_trial.keys,key_resp_2afc_trial.corr,key_resp_2afc_trial.rt,trials_2afc_loop.thisRepN,trials_2afc_loop.thisTrialN,trials_2afc_loop.thisN,trials_2afc_loop.thisIndex,trials_2afc_loop.ran,pisch,fisch,pake,pike,item_num,correct_response,id,Variety of Spanish that is most familiar to you?,date,expName,psychopyVersion,OS,frameRate
pike,1,0,6.4199,0,0,0,27,1,conditions/german/pisch_4_7.wav,conditions/german/fisch_4_7.wav,conditions/german/pake_4_7.wav,conditions/german/pike_4_7.wav,28,0,5d4bed118cbe900016c1f6d0,Mexican,2022-07-09_13h55.32.742,german,2021.2.3,MacIntel,59.84082341
fisch,1,0,2.7738,0,1,1,14,1,conditions/german/pisch_3_1.wav,conditions/german/fisch_3_1.wav,conditions/german/pake_3_1.wav,conditions/german/pike_3_1.wav,15,0,5d4bed118cbe900016c1f6d0,Mexican,2022-07-09_13h55.32.742,german,2021.2.3,MacIntel,59.84082341
pike,1,0,3.3262,0,2,2,28,1,conditions/german/pisch_5_1.wav,conditions/german/fisch_5_1.wav,conditions/german/pake_5_1.wav,conditions/german/pike_5_1.wav,29,0,5d4bed118cbe900016c1f6d0,Mexican,2022-07-09_13h55.32.742,german,2021.2.3,MacIntel,59.84082341
fisch,1,0,3.0593,0,3,3,37,1,conditions/german/pisch_6_3.wav,conditions/german/fisch_6_3.wav,conditions/german/pake_6_3.wav,conditions/german/pike_6_3.wav,38,0,5d4bed118cbe900016c1f6d0,Mexican,2022-07-09_13h55.32.742,german,2021.2.3,MacIntel,59.84082341
pike,1,0,2.3565,0,4,4,39,1,conditions/german/pisch_6_5.wav,conditions/german/fisch_6_5.wav,conditions/german/pake_6_5.wav,conditions/german/pike_6_5.wav,40,0,5d4bed118cbe900016c1f6d0,Mexican,2022-07-09_13h55.32.742,german,2021.2.3,MacIntel,59.84082341
pike,0,1,7.4858,0,5,5,20,1,conditions/german/pisch_3_7.wav,conditions/german/fisch_3_7.wav,conditions/german/pake_3_7.wav,conditions/german/pike_3_7.wav,21,0,5d4bed118cbe900016c1f6d0,Mexican,2022-07-09_13h55.32.742,german,2021.2.3,MacIntel,59.84082341
fisch,1,0,6.8021,0,6,6,6,1,conditions/german/pisch_1_7.wav,conditions/german/fisch_1_7.wav,conditions/german/pake_1_7.wav,conditions/german/pike_1_7.wav,7,0,5d4bed118cbe900016c1f6d0,Mexican,2022-07-09_13h55.32.742,german,2021.2.3,MacIntel,59.84082341
pike,1,0,3.0087,0,7,7,21,1,conditions/german/pisch_4_1.wav,conditions/german/fisch_4_1.wav,conditions/german/pake_4_1.wav,conditions/german/pike_4_1.wav,22,0,5d4bed118cbe900016c1f6d0,Mexican,2022-07-09_13h55.32.742,german,2021.2.3,MacIntel,59.84082341
pisch,1,0,2.2737,0,8,8,44,1,conditions/german/pisch_7_3.wav,conditions/german/fisch_7_3.wav,conditions/german/pake_7_3.wav,conditions/german/pike_7_3.wav,45,0,5d4bed118cbe900016c1f6d0,Mexican,2022-07-09_13h55.32.742,german,2021.2.3,MacIntel,59.84082341
pisch,1,0,2.0747,0,9,9,15,1,conditions/german/pisch_3_2.wav,conditions/german/fisch_3_2.wav,conditions/german/pake_3_2.wav,conditions/german/pike_3_2.wav,16,0,5d4bed118cbe900016c1f6d0,Mexican,2022-07-09_13h55.32.742,german,2021.2.3,MacIntel,59.84082341
pike,1,0,2.1231,0,10,10,38,1,conditions/german/pisch_6_4.wav,conditions/german/fisch_6_4.wav,conditions/german/pake_6_4.wav,conditions/german/pike_6_4.wav,39,0,5d4bed118cbe900016c1f6d0,Mexican,2022-07-09_13h55.32.742,german,2021.2.3,MacIntel,59.84082341
pake,1,1,2.3063,0,11,11,8,1,conditions/german/pisch_2_2.wav,conditions/german/fisch_2_2.wav,conditions/german/pake_2_2.wav,conditions/german/pike_2_2.wav,9,1,5d4bed118cbe900016c1f6d0,Mexican,2022-07-09_13h55.32.742,german,2021.2.3,MacIntel,59.84082341
pisch,1,0,2.6072,0,12,12,43,1,conditions/german/pisch_7_2.wav,conditions/german/fisch_7_2.wav,conditions/german/pake_7_2.wav,conditions/german/pike_7_2.wav,44,0,5d4bed118cbe900016c1f6d0,Mexican,2022-07-09_13h55.32.742,german,2021.2.3,MacIntel,59.84082341
pike,1,0,3.2611,0,13,13,31,1,conditions/german/pisch_5_4.wav,conditions/german/fisch_5_4.wav,conditions/german/pake_5_4.wav,conditions/german/pike_5_4.wav,32,0,5d4bed118cbe900016c1f6d0,Mexican,2022-07-09_13h55.32.742,german,2021.2.3,MacIntel,59.84082341
pisch,1,0,5.2316,0,14,14,29,1,conditions/german/pisch_5_2.wav,conditions/german/fisch_5_2.wav,conditions/german/pake_5_2.wav,conditions/german/pike_5_2.wav,30,0,5d4bed118cbe900016c1f6d0,Mexican,2022-07-09_13h55.32.742,german,2021.2.3,MacIntel,59.84082341
