the_col,key_resp_2afc_trial.keys,key_resp_2afc_trial.corr,key_resp_2afc_trial.rt,trials_2afc_loop.thisRepN,trials_2afc_loop.thisTrialN,trials_2afc_loop.thisN,trials_2afc_loop.thisIndex,trials_2afc_loop.ran,pisch,fisch,pake,pike,item_num,correct_response,id,Variety of Spanish that is most familiar to you?,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,the_col_fr,key_resp_2afc_trial_2.keys,key_resp_2afc_trial_2.corr,key_resp_2afc_trial_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,fat,fit,pat,pic
pisch,1,0,52.9103,0,0,0,15,1,conditions/german/pisch_3_2.wav,conditions/german/fisch_3_2.wav,conditions/german/pake_3_2.wav,conditions/german/pike_3_2.wav,16,0,61390220e2050f8b8bf41f27,Mexican,2022-03-23_20h04.39.564,german,2021.2.3,Win32,61.73220569,,,,,,,,,,,,,,,
fisch,0,1,4.2535,0,1,1,5,1,conditions/german/pisch_1_6.wav,conditions/german/fisch_1_6.wav,conditions/german/pake_1_6.wav,conditions/german/pike_1_6.wav,6,0,61390220e2050f8b8bf41f27,Mexican,2022-03-23_20h04.39.564,german,2021.2.3,Win32,61.73220569,,,,,,,,,,,,,,,
pisch,1,0,2.8028,0,2,2,19,1,conditions/german/pisch_3_6.wav,conditions/german/fisch_3_6.wav,conditions/german/pake_3_6.wav,conditions/german/pike_3_6.wav,20,0,61390220e2050f8b8bf41f27,Mexican,2022-03-23_20h04.39.564,german,2021.2.3,Win32,61.73220569,,,,,,,,,,,,,,,
pike,1,1,2.2573,0,3,3,16,1,conditions/german/pisch_3_3.wav,conditions/german/fisch_3_3.wav,conditions/german/pake_3_3.wav,conditions/german/pike_3_3.wav,17,1,61390220e2050f8b8bf41f27,Mexican,2022-03-23_20h04.39.564,german,2021.2.3,Win32,61.73220569,,,,,,,,,,,,,,,
pisch,0,1,3.3542,0,4,4,36,1,conditions/german/pisch_6_2.wav,conditions/german/fisch_6_2.wav,conditions/german/pake_6_2.wav,conditions/german/pike_6_2.wav,37,0,61390220e2050f8b8bf41f27,Mexican,2022-03-23_20h04.39.564,german,2021.2.3,Win32,61.73220569,,,,,,,,,,,,,,,
fisch,1,0,3.9608,0,5,5,9,1,conditions/german/pisch_2_3.wav,conditions/german/fisch_2_3.wav,conditions/german/pake_2_3.wav,conditions/german/pike_2_3.wav,10,0,61390220e2050f8b8bf41f27,Mexican,2022-03-23_20h04.39.564,german,2021.2.3,Win32,61.73220569,,,,,,,,,,,,,,,
pake,1,0,2.8507,0,6,6,33,1,conditions/german/pisch_5_6.wav,conditions/german/fisch_5_6.wav,conditions/german/pake_5_6.wav,conditions/german/pike_5_6.wav,34,0,61390220e2050f8b8bf41f27,Mexican,2022-03-23_20h04.39.564,german,2021.2.3,Win32,61.73220569,,,,,,,,,,,,,,,
pisch,1,0,2.9034,0,7,7,1,1,conditions/german/pisch_1_2.wav,conditions/german/fisch_1_2.wav,conditions/german/pake_1_2.wav,conditions/german/pike_1_2.wav,2,0,61390220e2050f8b8bf41f27,Mexican,2022-03-23_20h04.39.564,german,2021.2.3,Win32,61.73220569,,,,,,,,,,,,,,,
pike,1,0,2.7714,0,8,8,23,1,conditions/german/pisch_4_3.wav,conditions/german/fisch_4_3.wav,conditions/german/pake_4_3.wav,conditions/german/pike_4_3.wav,24,0,61390220e2050f8b8bf41f27,Mexican,2022-03-23_20h04.39.564,german,2021.2.3,Win32,61.73220569,,,,,,,,,,,,,,,
pake,1,0,3.99,0,9,9,37,1,conditions/german/pisch_6_3.wav,conditions/german/fisch_6_3.wav,conditions/german/pake_6_3.wav,conditions/german/pike_6_3.wav,38,0,61390220e2050f8b8bf41f27,Mexican,2022-03-23_20h04.39.564,german,2021.2.3,Win32,61.73220569,,,,,,,,,,,,,,,
pike,1,0,2.9575,0,10,10,18,1,conditions/german/pisch_3_5.wav,conditions/german/fisch_3_5.wav,conditions/german/pake_3_5.wav,conditions/german/pike_3_5.wav,19,0,61390220e2050f8b8bf41f27,Mexican,2022-03-23_20h04.39.564,german,2021.2.3,Win32,61.73220569,,,,,,,,,,,,,,,
pike,1,0,12.555,0,11,11,25,1,conditions/german/pisch_4_5.wav,conditions/german/fisch_4_5.wav,conditions/german/pake_4_5.wav,conditions/german/pike_4_5.wav,26,0,61390220e2050f8b8bf41f27,Mexican,2022-03-23_20h04.39.564,german,2021.2.3,Win32,61.73220569,,,,,,,,,,,,,,,
fisch,0,0,4.1303,0,12,12,0,1,conditions/german/pisch_1_1.wav,conditions/german/fisch_1_1.wav,conditions/german/pake_1_1.wav,conditions/german/pike_1_1.wav,1,1,61390220e2050f8b8bf41f27,Mexican,2022-03-23_20h04.39.564,german,2021.2.3,Win32,61.73220569,,,,,,,,,,,,,,,
pisch,1,0,2.6329,0,13,13,39,1,conditions/german/pisch_6_5.wav,conditions/german/fisch_6_5.wav,conditions/german/pake_6_5.wav,conditions/german/pike_6_5.wav,40,0,61390220e2050f8b8bf41f27,Mexican,2022-03-23_20h04.39.564,german,2021.2.3,Win32,61.73220569,,,,,,,,,,,,,,,
pisch,1,1,2.6342,0,14,14,32,1,conditions/german/pisch_5_5.wav,conditions/german/fisch_5_5.wav,conditions/german/pake_5_5.wav,conditions/german/pike_5_5.wav,33,1,61390220e2050f8b8bf41f27,Mexican,2022-03-23_20h04.39.564,german,2021.2.3,Win32,61.73220569,,,,,,,,,,,,,,,
pisch,0,1,3.038,0,15,15,35,1,conditions/german/pisch_6_1.wav,conditions/german/fisch_6_1.wav,conditions/german/pake_6_1.wav,conditions/german/pike_6_1.wav,36,0,61390220e2050f8b8bf41f27,Mexican,2022-03-23_20h04.39.564,german,2021.2.3,Win32,61.73220569,,,,,,,,,,,,,,,
fisch,1,0,2.4511,0,16,16,13,1,conditions/german/pisch_2_7.wav,conditions/german/fisch_2_7.wav,conditions/german/pake_2_7.wav,conditions/german/pike_2_7.wav,14,0,61390220e2050f8b8bf41f27,Mexican,2022-03-23_20h04.39.564,german,2021.2.3,Win32,61.73220569,,,,,,,,,,,,,,,
