the_col,key_resp_2afc_trial.keys,key_resp_2afc_trial.corr,key_resp_2afc_trial.rt,trials_2afc_loop.thisRepN,trials_2afc_loop.thisTrialN,trials_2afc_loop.thisN,trials_2afc_loop.thisIndex,trials_2afc_loop.ran,pisch,fisch,pake,pike,item_num,correct_response,id,Variety of Spanish that is most familiar to you?,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,the_col_fr,key_resp_2afc_trial_2.keys,key_resp_2afc_trial_2.corr,key_resp_2afc_trial_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,fat,fit,pat,pic
pake,1,0,17.5697,0,0,0,3,1,conditions/german/pisch_1_4.wav,conditions/german/fisch_1_4.wav,conditions/german/pake_1_4.wav,conditions/german/pike_1_4.wav,4,0,613a69d8ed1c11f70b3d37c7,Latino,2022-03-23_15h56.47.778,german,2021.2.3,Win32,59.55571437,,,,,,,,,,,,,,,
pisch,1,0,7.7125,0,1,1,44,1,conditions/german/pisch_7_3.wav,conditions/german/fisch_7_3.wav,conditions/german/pake_7_3.wav,conditions/german/pike_7_3.wav,45,0,613a69d8ed1c11f70b3d37c7,Latino,2022-03-23_15h56.47.778,german,2021.2.3,Win32,59.55571437,,,,,,,,,,,,,,,
pake,1,1,2.8831,0,2,2,32,1,conditions/german/pisch_5_5.wav,conditions/german/fisch_5_5.wav,conditions/german/pake_5_5.wav,conditions/german/pike_5_5.wav,33,1,613a69d8ed1c11f70b3d37c7,Latino,2022-03-23_15h56.47.778,german,2021.2.3,Win32,59.55571437,,,,,,,,,,,,,,,
pisch,1,0,3.3882,0,3,3,4,1,conditions/german/pisch_1_5.wav,conditions/german/fisch_1_5.wav,conditions/german/pake_1_5.wav,conditions/german/pike_1_5.wav,5,0,613a69d8ed1c11f70b3d37c7,Latino,2022-03-23_15h56.47.778,german,2021.2.3,Win32,59.55571437,,,,,,,,,,,,,,,
fisch,0,1,12.9952,0,4,4,17,1,conditions/german/pisch_3_4.wav,conditions/german/fisch_3_4.wav,conditions/german/pake_3_4.wav,conditions/german/pike_3_4.wav,18,0,613a69d8ed1c11f70b3d37c7,Latino,2022-03-23_15h56.47.778,german,2021.2.3,Win32,59.55571437,,,,,,,,,,,,,,,
pisch,0,1,3.1398,0,5,5,47,1,conditions/german/pisch_7_6.wav,conditions/german/fisch_7_6.wav,conditions/german/pake_7_6.wav,conditions/german/pike_7_6.wav,48,0,613a69d8ed1c11f70b3d37c7,Latino,2022-03-23_15h56.47.778,german,2021.2.3,Win32,59.55571437,,,,,,,,,,,,,,,
pike,1,1,2.246,0,6,6,40,1,conditions/german/pisch_6_6.wav,conditions/german/fisch_6_6.wav,conditions/german/pake_6_6.wav,conditions/german/pike_6_6.wav,41,1,613a69d8ed1c11f70b3d37c7,Latino,2022-03-23_15h56.47.778,german,2021.2.3,Win32,59.55571437,,,,,,,,,,,,,,,
pake,0,1,2.4339,0,7,7,15,1,conditions/german/pisch_3_2.wav,conditions/german/fisch_3_2.wav,conditions/german/pake_3_2.wav,conditions/german/pike_3_2.wav,16,0,613a69d8ed1c11f70b3d37c7,Latino,2022-03-23_15h56.47.778,german,2021.2.3,Win32,59.55571437,,,,,,,,,,,,,,,
pike,1,0,3.1333,0,8,8,38,1,conditions/german/pisch_6_4.wav,conditions/german/fisch_6_4.wav,conditions/german/pake_6_4.wav,conditions/german/pike_6_4.wav,39,0,613a69d8ed1c11f70b3d37c7,Latino,2022-03-23_15h56.47.778,german,2021.2.3,Win32,59.55571437,,,,,,,,,,,,,,,
fisch,1,1,1.9913,0,9,9,24,1,conditions/german/pisch_4_4.wav,conditions/german/fisch_4_4.wav,conditions/german/pake_4_4.wav,conditions/german/pike_4_4.wav,25,1,613a69d8ed1c11f70b3d37c7,Latino,2022-03-23_15h56.47.778,german,2021.2.3,Win32,59.55571437,,,,,,,,,,,,,,,
fisch,0,1,1.6305,0,10,10,20,1,conditions/german/pisch_3_7.wav,conditions/german/fisch_3_7.wav,conditions/german/pake_3_7.wav,conditions/german/pike_3_7.wav,21,0,613a69d8ed1c11f70b3d37c7,Latino,2022-03-23_15h56.47.778,german,2021.2.3,Win32,59.55571437,,,,,,,,,,,,,,,
pike,0,0,1.5658,0,11,11,48,1,conditions/german/pisch_7_7.wav,conditions/german/fisch_7_7.wav,conditions/german/pake_7_7.wav,conditions/german/pike_7_7.wav,49,1,613a69d8ed1c11f70b3d37c7,Latino,2022-03-23_15h56.47.778,german,2021.2.3,Win32,59.55571437,,,,,,,,,,,,,,,
pake,1,0,1.8077,0,12,12,29,1,conditions/german/pisch_5_2.wav,conditions/german/fisch_5_2.wav,conditions/german/pake_5_2.wav,conditions/german/pike_5_2.wav,30,0,613a69d8ed1c11f70b3d37c7,Latino,2022-03-23_15h56.47.778,german,2021.2.3,Win32,59.55571437,,,,,,,,,,,,,,,
fisch,0,1,1.5661,0,13,13,27,1,conditions/german/pisch_4_7.wav,conditions/german/fisch_4_7.wav,conditions/german/pake_4_7.wav,conditions/german/pike_4_7.wav,28,0,613a69d8ed1c11f70b3d37c7,Latino,2022-03-23_15h56.47.778,german,2021.2.3,Win32,59.55571437,,,,,,,,,,,,,,,
pisch,0,1,5.257,0,14,14,31,1,conditions/german/pisch_5_4.wav,conditions/german/fisch_5_4.wav,conditions/german/pake_5_4.wav,conditions/german/pike_5_4.wav,32,0,613a69d8ed1c11f70b3d37c7,Latino,2022-03-23_15h56.47.778,german,2021.2.3,Win32,59.55571437,,,,,,,,,,,,,,,
pisch,1,0,2.0694,0,15,15,35,1,conditions/german/pisch_6_1.wav,conditions/german/fisch_6_1.wav,conditions/german/pake_6_1.wav,conditions/german/pike_6_1.wav,36,0,613a69d8ed1c11f70b3d37c7,Latino,2022-03-23_15h56.47.778,german,2021.2.3,Win32,59.55571437,,,,,,,,,,,,,,,
pake,0,1,1.8618,0,16,16,36,1,conditions/german/pisch_6_2.wav,conditions/german/fisch_6_2.wav,conditions/german/pake_6_2.wav,conditions/german/pike_6_2.wav,37,0,613a69d8ed1c11f70b3d37c7,Latino,2022-03-23_15h56.47.778,german,2021.2.3,Win32,59.55571437,,,,,,,,,,,,,,,
pisch,0,1,1.5943,0,17,17,23,1,conditions/german/pisch_4_3.wav,conditions/german/fisch_4_3.wav,conditions/german/pake_4_3.wav,conditions/german/pike_4_3.wav,24,0,613a69d8ed1c11f70b3d37c7,Latino,2022-03-23_15h56.47.778,german,2021.2.3,Win32,59.55571437,,,,,,,,,,,,,,,
pake,1,0,2.3468,0,18,18,43,1,conditions/german/pisch_7_2.wav,conditions/german/fisch_7_2.wav,conditions/german/pake_7_2.wav,conditions/german/pike_7_2.wav,44,0,613a69d8ed1c11f70b3d37c7,Latino,2022-03-23_15h56.47.778,german,2021.2.3,Win32,59.55571437,,,,,,,,,,,,,,,
pike,0,0,1.7896,0,19,19,0,1,conditions/german/pisch_1_1.wav,conditions/german/fisch_1_1.wav,conditions/german/pake_1_1.wav,conditions/german/pike_1_1.wav,1,1,613a69d8ed1c11f70b3d37c7,Latino,2022-03-23_15h56.47.778,german,2021.2.3,Win32,59.55571437,,,,,,,,,,,,,,,
fisch,0,1,3.5744,0,20,20,34,1,conditions/german/pisch_5_7.wav,conditions/german/fisch_5_7.wav,conditions/german/pake_5_7.wav,conditions/german/pike_5_7.wav,35,0,613a69d8ed1c11f70b3d37c7,Latino,2022-03-23_15h56.47.778,german,2021.2.3,Win32,59.55571437,,,,,,,,,,,,,,,
pake,1,0,2.6939,0,21,21,18,1,conditions/german/pisch_3_5.wav,conditions/german/fisch_3_5.wav,conditions/german/pake_3_5.wav,conditions/german/pike_3_5.wav,19,0,613a69d8ed1c11f70b3d37c7,Latino,2022-03-23_15h56.47.778,german,2021.2.3,Win32,59.55571437,,,,,,,,,,,,,,,
pake,0,1,1.5574,0,22,22,14,1,conditions/german/pisch_3_1.wav,conditions/german/fisch_3_1.wav,conditions/german/pake_3_1.wav,conditions/german/pike_3_1.wav,15,0,613a69d8ed1c11f70b3d37c7,Latino,2022-03-23_15h56.47.778,german,2021.2.3,Win32,59.55571437,,,,,,,,,,,,,,,
pake,1,0,0.987,0,23,23,25,1,conditions/german/pisch_4_5.wav,conditions/german/fisch_4_5.wav,conditions/german/pake_4_5.wav,conditions/german/pike_4_5.wav,26,0,613a69d8ed1c11f70b3d37c7,Latino,2022-03-23_15h56.47.778,german,2021.2.3,Win32,59.55571437,,,,,,,,,,,,,,,
