session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
622ba23b1a565aa7d39c0d23,5dc483cf74939e34e55c3619,AWAITING REVIEW,2022-03-11 19:26:34.971000,2022-03-11 19:30:37.462000,242.491,71,2287,6,100,,NOCODE,United States,United States,Part-Time,English,United States,Male,No
622ba24bc1236149d4420f8c,5ef9df1812148a78af8e76dc,AWAITING REVIEW,2022-03-11 19:26:34.048000,2022-03-11 19:30:51.144000,257.096,35,1768,0,100,,446EFF68,United States,United States,Full-Time,English,United States,Male,Yes
622ba254bb0eb354df73befe,5a542b96e0cf3d0001260df1,RETURNED,2022-03-11 19:26:15.894000,,255200.394571,36,447,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
622ba2a212e4e7fae1f91999,5fb0a3d6a8e4224b973e750b,AWAITING REVIEW,2022-03-11 19:27:43.787000,2022-03-11 19:33:28.233000,344.446,23,653,8,97,,NOCODE,United States,United States,Part-Time,English,United States,Male,No
622ba2b75ed9f563879c44e5,5e27868c5cbbcc0b3599574b,AWAITING REVIEW,2022-03-11 19:27:55.287000,2022-03-11 19:30:56.895000,181.608,30,1927,11,99,,446F-something (didn't write it all down),United States,United States,DATA EXPIRED,English,United States,Male,DATA EXPIRED
622ba2b8a8c10a61ffb02e2f,601e1253bbecc3279e4fb472,AWAITING REVIEW,2022-03-11 19:27:55.709000,2022-03-11 19:32:04.638000,248.929,38,1311,5,100,,446EFF68,United States,United States,Full-Time,English,United States,Male,No
622ba3870c51d736036ec9d1,60e1d5f866e681d7e33fd01c,AWAITING REVIEW,2022-03-11 19:31:24.460000,2022-03-11 19:38:45.535000,441.075,38,547,6,99,,446EFF68,United States,United States,Part-Time,English,United States,Female,Yes
622ba3c3220ab7e815f85bb4,6125b040ffa3c0b9e67b92c9,AWAITING REVIEW,2022-03-11 19:32:24.344000,2022-03-11 19:40:23.188000,478.844,25,485,0,100,,446EFF68,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Prefer not to say,Yes
622ba3da2aa1184eb63c037e,60c24c8ec01a8596ba5c8b85,AWAITING REVIEW,2022-03-11 19:32:48.649000,2022-03-11 19:37:56.005000,307.356,31,318,3,99,,446EFF68,United States,United States,Unemployed (and job seeking),English,United States,Female,No
622ba4289abc00b28d447bd6,6124d122d91be3f612508804,AWAITING REVIEW,2022-03-11 19:34:00.021000,2022-03-11 19:50:18.234000,978.213,41,194,0,100,,446EFF68,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
