"Block_Nr","Block_Name","Task_Nr","Task_Name","Trial_Nr","Trial_Id","Condition_Id","eng_or_no","english_recording","German_recording","prolific_id","spanish_recording","word","word_e0d6c","word_french","word_french_recording","word_german","completed","crowdsourcing_code","crowdsourcing_subj_id","end_time","exp_subject_id","group_name","rec_session_id","session_name","session_nr","start_time","subj_counter_global","subj_counter_per_group","subject_code","time_delay_offset","time_measure_std","unlocked"
1,"block_1",1,"prolific_id","1","1","1","option_1","","","5ab33d98580b990001730708","","","","","","","yes","","","2022-06-28T03:11:54.000Z",448164,"group_1",510048,"session_1",1,"2022-06-28T02:54:53.000Z","","","","not measured","",true
1,"block_1",3,"German","1","24","8","","","blockNr_1_taskNr_3_trialNr_1_German_recording.wav","","","","","","","p_o","yes","","","2022-06-28T03:11:54.000Z",448164,"group_1",510048,"session_1",1,"2022-06-28T02:54:53.000Z","","","","not measured","",true
1,"block_1",3,"German","2","10","4","","","blockNr_1_taskNr_3_trialNr_2_German_recording.wav","","","","","","","p_u","yes","","","2022-06-28T03:11:54.000Z",448164,"group_1",510048,"session_1",1,"2022-06-28T02:54:53.000Z","","","","not measured","",true
1,"block_1",3,"German","3","12","4","","","blockNr_1_taskNr_3_trialNr_3_German_recording.wav","","","","","","","p_u","yes","","","2022-06-28T03:11:54.000Z",448164,"group_1",510048,"session_1",1,"2022-06-28T02:54:53.000Z","","","","not measured","",true
1,"block_1",3,"German","4","17","6","","","blockNr_1_taskNr_3_trialNr_4_German_recording.wav","","","","","","","p_i","yes","","","2022-06-28T03:11:54.000Z",448164,"group_1",510048,"session_1",1,"2022-06-28T02:54:53.000Z","","","","not measured","",true
1,"block_1",3,"German","5","14","5","","","blockNr_1_taskNr_3_trialNr_5_German_recording.wav","","","","","","","f_i","yes","","","2022-06-28T03:11:54.000Z",448164,"group_1",510048,"session_1",1,"2022-06-28T02:54:53.000Z","","","","not measured","",true
1,"block_1",3,"German","6","6","2","","","blockNr_1_taskNr_3_trialNr_6_German_recording.wav","","","","","","","p_schwa","yes","","","2022-06-28T03:11:54.000Z",448164,"group_1",510048,"session_1",1,"2022-06-28T02:54:53.000Z","","","","not measured","",true
1,"block_1",3,"German","7","16","6","","","blockNr_1_taskNr_3_trialNr_7_German_recording.wav","","","","","","","p_i","yes","","","2022-06-28T03:11:54.000Z",448164,"group_1",510048,"session_1",1,"2022-06-28T02:54:53.000Z","","","","not measured","",true
1,"block_1",3,"German","8","1","1","","","blockNr_1_taskNr_3_trialNr_8_German_recording.wav","","","","","","","f_schwa","yes","","","2022-06-28T03:11:54.000Z",448164,"group_1",510048,"session_1",1,"2022-06-28T02:54:53.000Z","","","","not measured","",true
1,"block_1",3,"German","9","21","7","","","blockNr_1_taskNr_3_trialNr_9_German_recording.wav","","","","","","","f_o","yes","","","2022-06-28T03:11:54.000Z",448164,"group_1",510048,"session_1",1,"2022-06-28T02:54:53.000Z","","","","not measured","",true
1,"block_1",3,"German","10","4","2","","","blockNr_1_taskNr_3_trialNr_10_German_recording.wav","","","","","","","p_schwa","yes","","","2022-06-28T03:11:54.000Z",448164,"group_1",510048,"session_1",1,"2022-06-28T02:54:53.000Z","","","","not measured","",true
1,"block_1",3,"German","11","22","8","","","blockNr_1_taskNr_3_trialNr_11_German_recording.wav","","","","","","","p_o","yes","","","2022-06-28T03:11:54.000Z",448164,"group_1",510048,"session_1",1,"2022-06-28T02:54:53.000Z","","","","not measured","",true
1,"block_1",3,"German","12","5","2","","","blockNr_1_taskNr_3_trialNr_12_German_recording.wav","","","","","","","p_schwa","yes","","","2022-06-28T03:11:54.000Z",448164,"group_1",510048,"session_1",1,"2022-06-28T02:54:53.000Z","","","","not measured","",true
1,"block_1",3,"German","13","20","7","","","blockNr_1_taskNr_3_trialNr_13_German_recording.wav","","","","","","","f_o","yes","","","2022-06-28T03:11:54.000Z",448164,"group_1",510048,"session_1",1,"2022-06-28T02:54:53.000Z","","","","not measured","",true
1,"block_1",3,"German","14","9","3","","","blockNr_1_taskNr_3_trialNr_14_German_recording.wav","","","","","","","f_u","yes","","","2022-06-28T03:11:54.000Z",448164,"group_1",510048,"session_1",1,"2022-06-28T02:54:53.000Z","","","","not measured","",true
1,"block_1",3,"German","15","19","7","","","blockNr_1_taskNr_3_trialNr_15_German_recording.wav","","","","","","","f_o","yes","","","2022-06-28T03:11:54.000Z",448164,"group_1",510048,"session_1",1,"2022-06-28T02:54:53.000Z","","","","not measured","",true
1,"block_1",3,"German","16","15","5","","","blockNr_1_taskNr_3_trialNr_16_German_recording.wav","","","","","","","f_i","yes","","","2022-06-28T03:11:54.000Z",448164,"group_1",510048,"session_1",1,"2022-06-28T02:54:53.000Z","","","","not measured","",true
1,"block_1",3,"German","17","11","4","","","blockNr_1_taskNr_3_trialNr_17_German_recording.wav","","","","","","","p_u","yes","","","2022-06-28T03:11:54.000Z",448164,"group_1",510048,"session_1",1,"2022-06-28T02:54:53.000Z","","","","not measured","",true
1,"block_1",3,"German","18","23","8","","","blockNr_1_taskNr_3_trialNr_18_German_recording.wav","","","","","","","p_o","yes","","","2022-06-28T03:11:54.000Z",448164,"group_1",510048,"session_1",1,"2022-06-28T02:54:53.000Z","","","","not measured","",true
1,"block_1",3,"German","19","13","5","","","blockNr_1_taskNr_3_trialNr_19_German_recording.wav","","","","","","","f_i","yes","","","2022-06-28T03:11:54.000Z",448164,"group_1",510048,"session_1",1,"2022-06-28T02:54:53.000Z","","","","not measured","",true
1,"block_1",3,"German","20","18","6","","","blockNr_1_taskNr_3_trialNr_20_German_recording.wav","","","","","","","p_i","yes","","","2022-06-28T03:11:54.000Z",448164,"group_1",510048,"session_1",1,"2022-06-28T02:54:53.000Z","","","","not measured","",true
1,"block_1",3,"German","21","2","1","","","blockNr_1_taskNr_3_trialNr_21_German_recording.wav","","","","","","","f_schwa","yes","","","2022-06-28T03:11:54.000Z",448164,"group_1",510048,"session_1",1,"2022-06-28T02:54:53.000Z","","","","not measured","",true
