"Block_Nr","Block_Name","Task_Nr","Task_Name","Trial_Nr","Trial_Id","Condition_Id","eng_or_no","english_recording","German_recording","prolific_id","spanish_recording","word","word_db1f2","word_french","word_french_recording","word_german","completed","crowdsourcing_code","crowdsourcing_subj_id","end_time","exp_subject_id","group_name","rec_session_id","session_name","session_nr","start_time","subj_counter_global","subj_counter_per_group","subject_code","time_delay_offset","time_measure_std","unlocked"
1,"block_1",1,"prolific_id","1","1","1","option_0","","","61698880c7d1d80ceaadd94c","","","","","","","no","","","",452925,"group_1",516747,"session_1",1,"2022-07-07T16:22:57.000Z","","","","not measured","",true
1,"block_1",3,"German","1","16","6","","","blockNr_1_taskNr_3_trialNr_1_German_recording.wav","","","","","","","p_i","no","","","",452925,"group_1",516747,"session_1",1,"2022-07-07T16:22:57.000Z","","","","not measured","",true
1,"block_1",3,"German","2","5","2","","","blockNr_1_taskNr_3_trialNr_2_German_recording.wav","","","","","","","p_schwa","no","","","",452925,"group_1",516747,"session_1",1,"2022-07-07T16:22:57.000Z","","","","not measured","",true
1,"block_1",3,"German","3","22","8","","","blockNr_1_taskNr_3_trialNr_3_German_recording.wav","","","","","","","p_o","no","","","",452925,"group_1",516747,"session_1",1,"2022-07-07T16:22:57.000Z","","","","not measured","",true
1,"block_1",3,"German","4","19","7","","","blockNr_1_taskNr_3_trialNr_4_German_recording.wav","","","","","","","f_o","no","","","",452925,"group_1",516747,"session_1",1,"2022-07-07T16:22:57.000Z","","","","not measured","",true
1,"block_1",3,"German","5","6","2","","","blockNr_1_taskNr_3_trialNr_5_German_recording.wav","","","","","","","p_schwa","no","","","",452925,"group_1",516747,"session_1",1,"2022-07-07T16:22:57.000Z","","","","not measured","",true
1,"block_1",3,"German","6","12","4","","","blockNr_1_taskNr_3_trialNr_6_German_recording.wav","","","","","","","p_u","no","","","",452925,"group_1",516747,"session_1",1,"2022-07-07T16:22:57.000Z","","","","not measured","",true
1,"block_1",3,"German","7","21","7","","","blockNr_1_taskNr_3_trialNr_7_German_recording.wav","","","","","","","f_o","no","","","",452925,"group_1",516747,"session_1",1,"2022-07-07T16:22:57.000Z","","","","not measured","",true
1,"block_1",3,"German","8","10","4","","","blockNr_1_taskNr_3_trialNr_8_German_recording.wav","","","","","","","p_u","no","","","",452925,"group_1",516747,"session_1",1,"2022-07-07T16:22:57.000Z","","","","not measured","",true
1,"block_1",3,"German","9","20","7","","","blockNr_1_taskNr_3_trialNr_9_German_recording.wav","","","","","","","f_o","no","","","",452925,"group_1",516747,"session_1",1,"2022-07-07T16:22:57.000Z","","","","not measured","",true
