"","language","group","phoneme","mean_f1_e","mean_f2_e"
"1","English","L1 English bilingual","i",470.586071428571,2466.44008928571
"2","English","L1 English bilingual","o",741.156018518519,1183.30037037037
"3","English","L1 English bilingual","schwa_a",691.382416666667,1280.14558333333
"4","English","L1 English bilingual","u",420.607196261682,1247.62906542056
"5","English","L1 Spanish bilingual","i",453.176777493606,2348.58992327366
"6","English","L1 Spanish bilingual","o",635.711343669251,1125.91395348837
"7","English","L1 Spanish bilingual","schwa_a",555.764240837696,1215.20523560209
"8","English","L1 Spanish bilingual","u",442.928510028653,1139.10386819484
