"","language","group","phoneme","mean_f1_s","mean_f2_s"
"1","Spanish","L1 English bilingual","i",411.929591836735,2364.17367346939
"2","Spanish","L1 English bilingual","o",568.651016949153,1048.6013559322
"3","Spanish","L1 English bilingual","schwa_a",799.505044247788,1433.87725663717
"4","Spanish","L1 English bilingual","u",462.777288135593,1194.17372881356
"5","Spanish","L1 Spanish bilingual","i",413.332914110429,2307.79794478528
"6","Spanish","L1 Spanish bilingual","o",587.632586206897,1056.640591133
"7","Spanish","L1 Spanish bilingual","schwa_a",781.679120603015,1383.21359296482
"8","Spanish","L1 Spanish bilingual","u",458.96145631068,1105.83516990291
