"","language","f1e","f2e","prolific_id","text","group","phoneme","mean_f1_e","mean_f2_e","mean_f1_s","mean_f2_s","dist_from_e","dist_from_s","sim_prob_e","language_chosen"
"1","German",559.72,1302,"5f15db42d62e996fdc5429d8","paf","L1 Spanish bilingual","schwa_a",555.764240837696,1215.20523560209,781.679120603015,1383.21359296482,86.8848614974905,236.35037317745,0.268797619123626,0
"2","German",559.72,1302,"5f15db42d62e996fdc5429d8","paf","L1 Spanish bilingual","schwa_a",555.764240837696,1215.20523560209,781.679120603015,1383.21359296482,86.8848614974905,236.35037317745,0.268797619123626,0
"3","German",651.78,1916.65,"5f15db42d62e996fdc5429d8","puf","L1 Spanish bilingual","u",442.928510028653,1139.10386819484,458.96145631068,1105.83516990291,805.106782947713,833.426469159601,0.491358220476922,0
"4","German",651.78,1916.65,"5f15db42d62e996fdc5429d8","puf","L1 Spanish bilingual","u",442.928510028653,1139.10386819484,458.96145631068,1105.83516990291,805.106782947713,833.426469159601,0.491358220476922,0
"5","German",539.57,2293.13,"5f15db42d62e996fdc5429d8","pif","L1 Spanish bilingual","i",453.176777493606,2348.58992327366,413.332914110429,2307.79794478528,102.662514992373,127.086389743807,0.446846591544192,1
"6","German",539.57,2293.13,"5f15db42d62e996fdc5429d8","pif","L1 Spanish bilingual","i",453.176777493606,2348.58992327366,413.332914110429,2307.79794478528,102.662514992373,127.086389743807,0.446846591544192,1
"7","German",176.41,2315.11,"5f15db42d62e996fdc5429d8","pif","L1 Spanish bilingual","i",453.176777493606,2348.58992327366,413.332914110429,2307.79794478528,278.784422783278,237.035721742612,0.540468273179829,0
"8","German",176.41,2315.11,"5f15db42d62e996fdc5429d8","pif","L1 Spanish bilingual","i",453.176777493606,2348.58992327366,413.332914110429,2307.79794478528,278.784422783278,237.035721742612,0.540468273179829,1
"9","German",246.9,2318.18,"5f15db42d62e996fdc5429d8","fif","L1 Spanish bilingual","i",453.176777493606,2348.58992327366,413.332914110429,2307.79794478528,208.506288554222,166.756415078315,0.555627528491067,1
"10","German",246.9,2318.18,"5f15db42d62e996fdc5429d8","fif","L1 Spanish bilingual","i",453.176777493606,2348.58992327366,413.332914110429,2307.79794478528,208.506288554222,166.756415078315,0.555627528491067,1
"11","German",436.56,1620.66,"5f15db42d62e996fdc5429d8","puf","L1 Spanish bilingual","u",442.928510028653,1139.10386819484,458.96145631068,1105.83516990291,481.598241274957,515.31197437022,0.483090887942479,0
"12","German",436.56,1620.66,"5f15db42d62e996fdc5429d8","puf","L1 Spanish bilingual","u",442.928510028653,1139.10386819484,458.96145631068,1105.83516990291,481.598241274957,515.31197437022,0.483090887942479,1
"13","German",232.3,1595.67,"5f15db42d62e996fdc5429d8","puf","L1 Spanish bilingual","u",442.928510028653,1139.10386819484,458.96145631068,1105.83516990291,502.809110844677,539.734727948018,0.482290616600784,1
"14","German",232.3,1595.67,"5f15db42d62e996fdc5429d8","puf","L1 Spanish bilingual","u",442.928510028653,1139.10386819484,458.96145631068,1105.83516990291,502.809110844677,539.734727948018,0.482290616600784,0
"15","German",336.62,1038.84,"5f15db42d62e996fdc5429d8","fof","L1 Spanish bilingual","o",635.711343669251,1125.91395348837,587.632586206897,1056.640591133,311.508435253322,251.642960320687,0.553152203300157,1
"16","German",336.62,1038.84,"5f15db42d62e996fdc5429d8","fof","L1 Spanish bilingual","o",635.711343669251,1125.91395348837,587.632586206897,1056.640591133,311.508435253322,251.642960320687,0.553152203300157,1
"17","French",256.73,1796.06,"5f15db42d62e996fdc5429d8","puf","L1 Spanish bilingual","u",442.928510028653,1139.10386819484,458.96145631068,1105.83516990291,682.833247764991,719.241182082958,0.487016404570649,1
"18","French",256.73,1796.06,"5f15db42d62e996fdc5429d8","puf","L1 Spanish bilingual","u",442.928510028653,1139.10386819484,458.96145631068,1105.83516990291,682.833247764991,719.241182082958,0.487016404570649,0
"19","French",212.64,1949.29,"5f15db42d62e996fdc5429d8","fif","L1 Spanish bilingual","i",453.176777493606,2348.58992327366,413.332914110429,2307.79794478528,466.152732538765,410.859577286813,0.531523591306802,1
"20","French",212.64,1949.29,"5f15db42d62e996fdc5429d8","fif","L1 Spanish bilingual","i",453.176777493606,2348.58992327366,413.332914110429,2307.79794478528,466.152732538765,410.859577286813,0.531523591306802,1
"21","French",998.15,2119.57,"5f15db42d62e996fdc5429d8","puf","L1 Spanish bilingual","u",442.928510028653,1139.10386819484,458.96145631068,1105.83516990291,1126.75850941671,1148.20842681012,0.495285663925079,0
"22","French",998.15,2119.57,"5f15db42d62e996fdc5429d8","puf","L1 Spanish bilingual","u",442.928510028653,1139.10386819484,458.96145631068,1105.83516990291,1126.75850941671,1148.20842681012,0.495285663925079,0
"23","French",449.91,1380.17,"5f15db42d62e996fdc5429d8","pof","L1 Spanish bilingual","o",635.711343669251,1125.91395348837,587.632586206897,1056.640591133,314.909949822203,351.62307824337,0.472459632999945,1
"24","French",449.91,1380.17,"5f15db42d62e996fdc5429d8","pof","L1 Spanish bilingual","o",635.711343669251,1125.91395348837,587.632586206897,1056.640591133,314.909949822203,351.62307824337,0.472459632999945,0
"25","French",558.27,1924.53,"5f15db42d62e996fdc5429d8","puf","L1 Spanish bilingual","u",442.928510028653,1139.10386819484,458.96145631068,1105.83516990291,793.850028551504,824.695951049472,0.490471100949022,1
