"","prolific_id","phoneme","language","language_chosen","L1","mode"
"78","565a4547c51d43000587507d","i","French","span","English","perception"
"79","565a4547c51d43000587507d","o","French","eng","English","perception"
"80","565a4547c51d43000587507d","u","French","span","English","perception"
"81","5898b6e256357700011c2c6b","schwa_a","French","eng","English","perception"
"82","5898b6e256357700011c2c6b","i","French","eng","English","perception"
"83","5898b6e256357700011c2c6b","i","French","eng","English","perception"
"84","5898b6e256357700011c2c6b","o","French","eng","English","perception"
"85","5898b6e256357700011c2c6b","schwa_a","French","eng","English","perception"
"86","5898b6e256357700011c2c6b","u","French","eng","English","perception"
"87","5898b6e256357700011c2c6b","o","French","eng","English","perception"
"88","5898b6e256357700011c2c6b","u","French","eng","English","perception"
"89","5898b6e256357700011c2c6b","o","French","eng","English","perception"
"90","5898b6e256357700011c2c6b","i","French","eng","English","perception"
"91","5898b6e256357700011c2c6b","schwa_a","French","eng","English","perception"
"92","5898b6e256357700011c2c6b","o","French","eng","English","perception"
"93","5898b6e256357700011c2c6b","i","French","eng","English","perception"
"94","5898b6e256357700011c2c6b","u","French","eng","English","perception"
"95","5898b6e256357700011c2c6b","schwa_a","French","eng","English","perception"
"96","5898b6e256357700011c2c6b","u","French","eng","English","perception"
"97","5898b6e256357700011c2c6b","schwa_a","French","eng","English","perception"
"98","5898b6e256357700011c2c6b","o","French","eng","English","perception"
"99","5898b6e256357700011c2c6b","i","French","eng","English","perception"
"100","5898b6e256357700011c2c6b","i","French","eng","English","perception"
"101","5898b6e256357700011c2c6b","schwa_a","French","eng","English","perception"
"102","5898b6e256357700011c2c6b","u","French","eng","English","perception"
"103","5898b6e256357700011c2c6b","o","French","eng","English","perception"
"104","5898b6e256357700011c2c6b","u","French","eng","English","perception"
"105","5898b6e256357700011c2c6b","i","French","eng","English","perception"
"106","5898b6e256357700011c2c6b","u","French","eng","English","perception"
"107","5898b6e256357700011c2c6b","o","French","eng","English","perception"
"108","5898b6e256357700011c2c6b","u","French","eng","English","perception"
"109","5898b6e256357700011c2c6b","schwa_a","French","eng","English","perception"
"110","5898b6e256357700011c2c6b","i","French","eng","English","perception"
"111","5898b6e256357700011c2c6b","schwa_a","French","eng","English","perception"
"112","5898b6e256357700011c2c6b","o","French","eng","English","perception"
"113","5898b6e256357700011c2c6b","o","French","eng","English","perception"
"114","5898b6e256357700011c2c6b","i","French","eng","English","perception"
"115","5898b6e256357700011c2c6b","o","French","eng","English","perception"
"116","5898b6e256357700011c2c6b","u","French","eng","English","perception"
