"","f1e","f2e","language","participant","text","group","consonant","phoneme"
"92","369.70","1638.17","french","509318","fuf","L1 English monolingual","f","u"
"93","701.58","1533.52","french","509318","faf","L1 English monolingual","f","schwa"
"94","386.14","2437.76","french","509318","fif","L1 English monolingual","f","i"
"95","416.75","2471.54","french","509318","fif","L1 English monolingual","f","i"
"96","375.76","1802.98","German","509318","puf","L1 English monolingual","p","u"
"97","419.23","821.22","German","509318","pof","L1 English monolingual","p","o"
"98","776.08","1286.13","German","509318","paf","L1 English monolingual","p","schwa"
"99","467.03","1244.76","German","509318","fof","L1 English monolingual","f","o"
"100","411.87","2017.53","German","509318","fuf","L1 English monolingual","f","u"
"101","429.19","888.77","German","509318","pof","L1 English monolingual","p","o"
"102","378.64","2651.81","German","509318","pif","L1 English monolingual","p","i"
"103","442.42","1548.89","German","509318","fof","L1 English monolingual","f","o"
"104","856.58","1383.26","German","509318","faf","L1 English monolingual","f","schwa"
"105","864.80","1471.83","German","509318","faf","L1 English monolingual","f","schwa"
"106","405.02","854.88","German","509318","pof","L1 English monolingual","p","o"
"107","853.90","1411.72","German","509318","paf","L1 English monolingual","p","schwa"
"108","425.57","899.43","German","509318","fof","L1 English monolingual","f","o"
"109","312.09","1020.33","German","509318","puf","L1 English monolingual","p","u"
"110","399.80","2491.86","German","509318","fif","L1 English monolingual","f","i"
"111","353.81","2195.22","German","509318","fuf","L1 English monolingual","f","u"
"112","407.40","2344.79","German","509318","fif","L1 English monolingual","f","i"
"113","387.99","1743.99","German","509318","fuf","L1 English monolingual","f","u"
"114","418.31","2367.32","German","509318","fif","L1 English monolingual","f","i"
"115","383.68","2520.74","German","509318","pif","L1 English monolingual","p","i"
"116","324.92","1364.17","German","509318","puf","L1 English monolingual","p","u"
"117","757.87","1398.30","German","509318","faf","L1 English monolingual","f","schwa"
"118","792.85","1352.33","German","509318","paf","L1 English monolingual","p","schwa"
"119","390.62","2592.50","German","509318","pif","L1 English monolingual","p","i"
"120","455.57","1163.84","english","509318","poof","L1 English monolingual","p","u"
"121","893.80","1320.34","english","509318","puff","L1 English monolingual","p","schwa"
"122","842.26","1305.33","english","509318","fuff","L1 English monolingual","f","schwa"
"123","396.35","2630.23","english","509318","feef","L1 English monolingual","f","i"
"124","502.00","1286.79","english","509318","foof","L1 English monolingual","f","u"
"125","877.17","1218.84","english","509318","foff","L1 English monolingual","f","o"
"126","373.03","2647.92","english","509318","peef","L1 English monolingual","p","i"
"127","439.47","2538.11","english","509318","feef","L1 English monolingual","f","i"
"128","970.15","1255.06","english","509318","poff","L1 English monolingual","p","o"
"129","421.82","2644.53","english","509318","feef","L1 English monolingual","f","i"
"130","817.84","1318.92","english","509318","fuff","L1 English monolingual","f","schwa"
"131","819.08","1354.77","english","509318","fuff","L1 English monolingual","f","schwa"
"132","835.36","1293.85","english","509318","puff","L1 English monolingual","p","schwa"
"133","450.02","1114.32","english","509318","poof","L1 English monolingual","p","u"
"134","408.42","2777.07","english","509318","peef","L1 English monolingual","p","i"
"135","729.76","1160.56","english","509318","foff","L1 English monolingual","f","o"
"136","443.36","1118.46","english","509318","poof","L1 English monolingual","p","u"
"137","884.39","1226.57","english","509318","poff","L1 English monolingual","p","o"
"138","878.79","1381.24","english","509318","puff","L1 English monolingual","p","schwa"
"139","464.94","1325.78","english","509318","foof","L1 English monolingual","f","u"
"140","397.70","2691.86","english","509318","peef","L1 English monolingual","p","i"
"141","945.11","1312.25","english","509318","poff","L1 English monolingual","p","o"
"142","448.11","1383.64","english","509318","foof","L1 English monolingual","f","u"
"143","902.21","1279.90","english","509318","foff","L1 English monolingual","f","o"
"144","558.37","1543.01","french","509322","paf","L1 English monolingual","p","schwa"
"145","581.90","1526.73","french","509322","pof","L1 English monolingual","p","o"
"146","567.90","1611.08","french","509322","fof","L1 English monolingual","f","o"
"147","416.13","2007.58","french","509322","fuf","L1 English monolingual","f","u"
"148","437.31","2131.74","french","509322","puf","L1 English monolingual","p","u"
"149","277.68","1970.65","french","509322","pif","L1 English monolingual","p","i"
"150","558.11","1366.99","french","509322","pof","L1 English monolingual","p","o"
"151","572.31","1651.28","french","509322","paf","L1 English monolingual","p","schwa"
"152","582.46","1541.38","french","509322","faf","L1 English monolingual","f","schwa"
"153","579.14","1635.96","french","509322","faf","L1 English monolingual","f","schwa"
"154","413.88","1743.67","french","509322","fuf","L1 English monolingual","f","u"
"155","571.46","1406.24","french","509322","fof","L1 English monolingual","f","o"
"156","597.99","1644.82","french","509322","faf","L1 English monolingual","f","schwa"
"157","398.62","2492.34","french","509322","fif","L1 English monolingual","f","i"
"158","432.26","1887.93","french","509322","puf","L1 English monolingual","p","u"
"159","570.91","1412.27","french","509322","fof","L1 English monolingual","f","o"
"160","273.48","1766.76","french","509322","pif","L1 English monolingual","p","i"
"161","395.21","2361.15","french","509322","fif","L1 English monolingual","f","i"
"162","458.88","1564.99","french","509322","paf","L1 English monolingual","p","schwa"
"163","510.30","1327.72","french","509322","pof","L1 English monolingual","p","o"
"164","408.03","1831.50","french","509322","puf","L1 English monolingual","p","u"
"165","417.78","1966.14","french","509322","fuf","L1 English monolingual","f","u"
"166","318.91","1882.18","french","509322","pif","L1 English monolingual","p","i"
"167","284.78","2421.68","french","509322","fif","L1 English monolingual","f","i"
"168","341.99","2573.66","German","509322","pif","L1 English monolingual","p","i"
"169","339.29","2643.61","German","509322","fif","L1 English monolingual","f","i"
"170","736.62","1283.61","German","509322","paf","L1 English monolingual","p","schwa"
"171","385.71","1816.45","German","509322","fuf","L1 English monolingual","f","u"
"172","761.31","1287.96","German","509322","paf","L1 English monolingual","p","schwa"
"173","386.61","1802.24","German","509322","fuf","L1 English monolingual","f","u"
"174","758.31","1455.23","German","509322","paf","L1 English monolingual","p","schwa"
"175","316.36","2627.47","German","509322","fif","L1 English monolingual","f","i"
"176","575.18","989.94","German","509322","fof","L1 English monolingual","f","o"
"177","754.35","1463.55","German","509322","faf","L1 English monolingual","f","schwa"
"178","306.23","2607.48","German","509322","pif","L1 English monolingual","p","i"
"179","323.20","2609.48","German","509322","fif","L1 English monolingual","f","i"
"180","446.27","854.16","German","509322","pof","L1 English monolingual","p","o"
"181","436.02","885.14","German","509322","fof","L1 English monolingual","f","o"
"182","443.82","812.87","German","509322","pof","L1 English monolingual","p","o"
"183","330.02","1783.43","German","509322","puf","L1 English monolingual","p","u"
