"","f1e","f2e","language","participant","text","group","consonant","phoneme"
"3708","616.40","2167.20","english","509463","feef","L1 English monolingual","f","i"
"3709","930.94","1571.55","english","509463","puff","L1 English monolingual","p","schwa"
"3710","481.47","1635.65","english","509463","foof","L1 English monolingual","f","u"
"3711","505.02","1547.42","english","509463","poof","L1 English monolingual","p","u"
"3712","920.52","1295.16","english","509463","poff","L1 English monolingual","p","o"
"3713","842.27","1176.20","english","509463","foff","L1 English monolingual","f","o"
"3714","515.75","2719.61","english","509463","feef","L1 English monolingual","f","i"
"3715","874.49","1190.80","english","509463","poff","L1 English monolingual","p","o"
"3716","879.18","1560.67","english","509463","fuff","L1 English monolingual","f","schwa"
"3717","919.44","1566.77","english","509463","puff","L1 English monolingual","p","schwa"
"3718","477.47","1501.00","english","509463","poof","L1 English monolingual","p","u"
"3719","870.50","1310.75","english","509463","poff","L1 English monolingual","p","o"
"3720","484.85","2336.14","english","509463","peef","L1 English monolingual","p","i"
"3721","665.01","2071.34","french","509472","pif","L1 English monolingual","p","i"
"3722","437.61","2730.78","french","509472","fif","L1 English monolingual","f","i"
"3723","755.00","1913.09","french","509472","puf","L1 English monolingual","p","u"
"3724","686.87","2791.91","french","509472","fif","L1 English monolingual","f","i"
"3725","411.94","2852.53","french","509472","pif","L1 English monolingual","p","i"
"3726","765.27","1567.19","french","509472","pof","L1 English monolingual","p","o"
"3727","743.50","1667.25","french","509472","faf","L1 English monolingual","f","schwa"
"3728","728.39","1655.81","french","509472","fof","L1 English monolingual","f","o"
"3729","1542.19","1799.00","french","509472","puf","L1 English monolingual","p","u"
"3730","579.75","1769.35","french","509472","fuf","L1 English monolingual","f","u"
"3731","801.65","1803.45","french","509472","paf","L1 English monolingual","p","schwa"
"3732","527.37","2562.46","french","509472","fif","L1 English monolingual","f","i"
"3733","813.99","1545.21","french","509472","pof","L1 English monolingual","p","o"
"3734","768.42","1530.82","french","509472","faf","L1 English monolingual","f","schwa"
"3735","743.88","1523.23","french","509472","paf","L1 English monolingual","p","schwa"
"3736","809.63","1705.07","french","509472","faf","L1 English monolingual","f","schwa"
"3737","945.99","1712.22","french","509472","fuf","L1 English monolingual","f","u"
"3738","523.15","2637.44","french","509472","pif","L1 English monolingual","p","i"
"3739","560.42","1988.22","french","509472","puf","L1 English monolingual","p","u"
"3740","1040.20","1885.99","french","509472","fuf","L1 English monolingual","f","u"
"3741","694.58","1424.64","french","509472","fof","L1 English monolingual","f","o"
"3742","776.72","1650.05","french","509472","paf","L1 English monolingual","p","schwa"
"3743","679.42","1479.33","french","509472","fof","L1 English monolingual","f","o"
"3744","737.56","1624.62","french","509472","pof","L1 English monolingual","p","o"
"3745","533.58","1011.09","German","509472","pof","L1 English monolingual","p","o"
"3746","840.78","1468.23","German","509472","faf","L1 English monolingual","f","schwa"
"3747","401.67","1372.92","German","509472","puf","L1 English monolingual","p","u"
"3748","814.11","1429.02","German","509472","faf","L1 English monolingual","f","schwa"
"3749","663.77","2825.11","German","509472","fif","L1 English monolingual","f","i"
"3750","904.74","1541.78","German","509472","paf","L1 English monolingual","p","schwa"
"3751","440.71","1436.73","German","509472","fuf","L1 English monolingual","f","u"
"3752","1207.90","1820.46","German","509472","fuf","L1 English monolingual","f","u"
"3753","446.88","1458.61","German","509472","puf","L1 English monolingual","p","u"
"3754","365.96","2617.21","German","509472","fif","L1 English monolingual","f","i"
"3755","919.68","1530.76","German","509472","paf","L1 English monolingual","p","schwa"
"3756","470.45","1232.65","German","509472","fof","L1 English monolingual","f","o"
"3757","531.83","2816.39","German","509472","pif","L1 English monolingual","p","i"
"3758","571.58","1422.37","German","509472","pof","L1 English monolingual","p","o"
"3759","967.95","1534.31","German","509472","paf","L1 English monolingual","p","schwa"
"3760","355.69","2796.53","German","509472","fif","L1 English monolingual","f","i"
"3761","360.06","1635.24","German","509472","puf","L1 English monolingual","p","u"
"3762","347.10","1641.56","German","509472","fuf","L1 English monolingual","f","u"
"3763","477.37","1143.22","German","509472","fof","L1 English monolingual","f","o"
"3764","785.50","1458.09","German","509472","faf","L1 English monolingual","f","schwa"
"3765","697.50","2845.75","German","509472","pif","L1 English monolingual","p","i"
"3766","426.50","1174.29","German","509472","pof","L1 English monolingual","p","o"
"3767","364.72","2937.01","German","509472","pif","L1 English monolingual","p","i"
"3768","445.41","1232.62","German","509472","fof","L1 English monolingual","f","o"
"3769","864.43","1324.71","english","509472","foff","L1 English monolingual","f","o"
"3770","935.36","1303.74","english","509472","poff","L1 English monolingual","p","o"
"3771","443.98","1358.63","english","509472","foof","L1 English monolingual","f","u"
"3772","496.42","1302.59","english","509472","poof","L1 English monolingual","p","u"
"3773","634.27","2819.11","english","509472","peef","L1 English monolingual","p","i"
"3774","449.90","1266.74","english","509472","foof","L1 English monolingual","f","u"
"3775","863.45","1445.34","english","509472","fuff","L1 English monolingual","f","schwa"
"3776","894.74","1435.17","english","509472","puff","L1 English monolingual","p","schwa"
"3777","990.88","2805.38","english","509472","feef","L1 English monolingual","f","i"
"3778","931.39","2191.18","english","509472","peef","L1 English monolingual","p","i"
"3779","864.27","1465.62","english","509472","fuff","L1 English monolingual","f","schwa"
"3780","841.31","1278.38","english","509472","foff","L1 English monolingual","f","o"
"3781","954.80","1362.66","english","509472","poff","L1 English monolingual","p","o"
"3782","905.60","1323.80","english","509472","foff","L1 English monolingual","f","o"
"3783","609.91","3051.49","english","509472","peef","L1 English monolingual","p","i"
"3784","588.89","2696.30","english","509472","feef","L1 English monolingual","f","i"
"3785","859.02","1453.98","english","509472","puff","L1 English monolingual","p","schwa"
"3786","403.34","1372.06","english","509472","foof","L1 English monolingual","f","u"
"3787","939.76","1183.29","english","509472","poff","L1 English monolingual","p","o"
"3788","450.54","1290.22","english","509472","poof","L1 English monolingual","p","u"
"3789","826.70","1421.39","english","509472","fuff","L1 English monolingual","f","schwa"
"3790","660.97","2631.02","english","509472","feef","L1 English monolingual","f","i"
"3791","904.44","1517.83","english","509472","puff","L1 English monolingual","p","schwa"
"3792","550.58","1299.17","english","509472","poof","L1 English monolingual","p","u"
"3793","1319.34","2604.29","french","509477","fif","L1 English monolingual","f","i"
"3794","734.15","1517.69","french","509477","fof","L1 English monolingual","f","o"
"3795","1143.73","2478.92","french","509477","pif","L1 English monolingual","p","i"
"3796","734.12","1587.66","french","509477","paf","L1 English monolingual","p","schwa"
"3797","877.34","1889.48","french","509477","fuf","L1 English monolingual","f","u"
"3798","664.29","1784.61","french","509477","puf","L1 English monolingual","p","u"
"3799","1349.23","2489.68","french","509477","fif","L1 English monolingual","f","i"
"3800","1113.51","1966.08","french","509477","faf","L1 English monolingual","f","schwa"
"3801","1639.36","2424.56","french","509477","puf","L1 English monolingual","p","u"
"3802","1308.59","2516.09","french","509477","pif","L1 English monolingual","p","i"
"3803","1038.31","2116.83","french","509477","fof","L1 English monolingual","f","o"
"3804","626.25","1313.11","french","509477","pof","L1 English monolingual","p","o"
"3805","1570.34","2060.40","french","509477","fuf","L1 English monolingual","f","u"
"3806","748.18","1347.11","french","509477","fof","L1 English monolingual","f","o"
"3807","1711.98","2010.68","french","509477","fuf","L1 English monolingual","f","u"
"3808","743.19","1804.10","french","509477","paf","L1 English monolingual","p","schwa"
"3809","936.69","2408.17","french","509477","pif","L1 English monolingual","p","i"
"3810","590.83","1369.23","french","509477","faf","L1 English monolingual","f","schwa"
"3811","775.00","1629.18","french","509477","paf","L1 English monolingual","p","schwa"
"3812","547.38","1276.34","french","509477","pof","L1 English monolingual","p","o"
"3813","1665.07","2008.45","french","509477","puf","L1 English monolingual","p","u"
"3814","782.23","1543.00","french","509477","faf","L1 English monolingual","f","schwa"
"3815","1025.91","2350.52","french","509477","fif","L1 English monolingual","f","i"
"3816","595.89","1299.45","french","509477","pof","L1 English monolingual","p","o"
"3817","587.75","938.87","German","509477","fof","L1 English monolingual","f","o"
"3818","1511.97","1996.98","German","509477","fuf","L1 English monolingual","f","u"
"3819","603.07","1118.69","German","509477","pof","L1 English monolingual","p","o"
"3820","2166.96","2995.10","German","509477","fif","L1 English monolingual","f","i"
"3821","715.99","1207.97","German","509477","faf","L1 English monolingual","f","schwa"
"3822","628.22","1214.42","German","509477","fof","L1 English monolingual","f","o"
"3823","1655.55","2001.34","German","509477","puf","L1 English monolingual","p","u"
"3824","667.28","1316.29","German","509477","fof","L1 English monolingual","f","o"
"3825","690.86","1227.47","German","509477","paf","L1 English monolingual","p","schwa"
"3826","612.39","2325.38","German","509477","pif","L1 English monolingual","p","i"
"3827","1627.88","2748.87","German","509477","fif","L1 English monolingual","f","i"
"3828","586.49","1003.66","German","509477","pof","L1 English monolingual","p","o"
"3829","869.15","1877.13","German","509477","fuf","L1 English monolingual","f","u"
"3830","1672.37","1971.15","German","509477","puf","L1 English monolingual","p","u"
"3831","1105.54","1893.59","German","509477","fuf","L1 English monolingual","f","u"
"3832","1110.48","2498.06","German","509477","fif","L1 English monolingual","f","i"
"3833","811.78","1308.28","German","509477","faf","L1 English monolingual","f","schwa"
"3834","1610.58","2007.77","German","509477","puf","L1 English monolingual","p","u"
"3835","807.76","1364.49","German","509477","faf","L1 English monolingual","f","schwa"
"3836","975.77","1867.03","German","509477","paf","L1 English monolingual","p","schwa"
"3837","530.99","941.48","German","509477","pof","L1 English monolingual","p","o"
"3838","951.65","2457.93","German","509477","pif","L1 English monolingual","p","i"
"3839","2164.81","3118.26","German","509477","pif","L1 English monolingual","p","i"
"3840","713.81","1224.08","German","509477","paf","L1 English monolingual","p","schwa"
"3841","1197.34","1929.06","english","509477","poof","L1 English monolingual","p","u"
"3842","814.43","1324.98","english","509477","poff","L1 English monolingual","p","o"
"3843","772.65","1399.71","english","509477","foff","L1 English monolingual","f","o"
"3844","1021.02","2472.86","english","509477","peef","L1 English monolingual","p","i"
"3845","611.51","1165.68","english","509477","fuff","L1 English monolingual","f","schwa"
"3846","782.22","1386.10","english","509477","puff","L1 English monolingual","p","schwa"
"3847","822.53","1669.18","english","509477","foff","L1 English monolingual","f","o"
"3848","677.10","1671.99","english","509477","foof","L1 English monolingual","f","u"
"3849","268.81","2167.15","english","509477","feef","L1 English monolingual","f","i"
"3850","598.20","1198.00","english","509477","fuff","L1 English monolingual","f","schwa"
"3851","1136.76","2543.91","english","509477","peef","L1 English monolingual","p","i"
"3852","851.55","1287.50","english","509477","poff","L1 English monolingual","p","o"
"3853","341.95","1383.89","english","509477","poof","L1 English monolingual","p","u"
"3854","367.16","1619.76","english","509477","foof","L1 English monolingual","f","u"
"3855","722.10","1288.80","english","509477","foff","L1 English monolingual","f","o"
"3856","724.92","1419.15","english","509477","puff","L1 English monolingual","p","schwa"
"3857","1383.97","2494.48","english","509477","feef","L1 English monolingual","f","i"
"3858","664.22","2314.42","english","509477","peef","L1 English monolingual","p","i"
"3859","913.57","1506.23","english","509477","poff","L1 English monolingual","p","o"
"3860","345.89","1228.81","english","509477","poof","L1 English monolingual","p","u"
"3861","697.85","1747.88","english","509477","foof","L1 English monolingual","f","u"
"3862","791.78","2290.59","english","509477","feef","L1 English monolingual","f","i"
"3863","661.05","1183.70","english","509477","puff","L1 English monolingual","p","schwa"
"3864","670.56","1267.87","english","509477","fuff","L1 English monolingual","f","schwa"
"3865","409.75","1977.59","German","509478","fuf","L1 English monolingual","f","u"
"3866","441.45","1801.87","German","509478","puf","L1 English monolingual","p","u"
"3867","670.94","863.93","German","509478","fof","L1 English monolingual","f","o"
"3868","1144.13","1634.30","German","509478","paf","L1 English monolingual","p","schwa"
"3869","1166.36","1630.99","German","509478","faf","L1 English monolingual","f","schwa"
"3870","1081.47","1541.89","German","509478","faf","L1 English monolingual","f","schwa"
"3871","413.93","1496.02","German","509478","fuf","L1 English monolingual","f","u"
"3872","636.29","839.21","German","509478","fof","L1 English monolingual","f","o"
"3873","396.47","1690.01","German","509478","fuf","L1 English monolingual","f","u"
"3874","447.43","2864.90","German","509478","pif","L1 English monolingual","p","i"
"3875","914.63","1645.75","German","509478","faf","L1 English monolingual","f","schwa"
"3876","507.89","1132.66","German","509478","pof","L1 English monolingual","p","o"
"3877","387.52","3016.29","German","509478","pif","L1 English monolingual","p","i"
"3878","1087.26","1622.83","German","509478","paf","L1 English monolingual","p","schwa"
"3879","609.18","1065.85","German","509478","fof","L1 English monolingual","f","o"
"3880","397.34","3027.21","German","509478","fif","L1 English monolingual","f","i"
"3881","521.93","1086.81","German","509478","pof","L1 English monolingual","p","o"
"3882","1140.27","1698.57","German","509478","paf","L1 English monolingual","p","schwa"
"3883","388.57","1695.26","German","509478","puf","L1 English monolingual","p","u"
"3884","435.75","1818.46","German","509478","puf","L1 English monolingual","p","u"
"3885","414.77","3483.92","German","509478","pif","L1 English monolingual","p","i"
"3886","395.99","3063.18","German","509478","fif","L1 English monolingual","f","i"
"3887","577.51","915.61","German","509478","pof","L1 English monolingual","p","o"
"3888","397.66","3355.33","German","509478","fif","L1 English monolingual","f","i"
"3889","458.45","2133.89","french","509478","puf","L1 English monolingual","p","u"
"3890","735.81","1627.18","french","509478","paf","L1 English monolingual","p","schwa"
"3891","441.30","1574.54","french","509478","puf","L1 English monolingual","p","u"
"3892","856.32","1542.58","french","509478","faf","L1 English monolingual","f","schwa"
"3893","488.76","2422.63","french","509478","puf","L1 English monolingual","p","u"
"3894","681.20","1759.70","french","509478","paf","L1 English monolingual","p","schwa"
"3895","776.75","1186.37","french","509478","fof","L1 English monolingual","f","o"
"3896","632.49","2878.79","french","509478","fif","L1 English monolingual","f","i"
"3897","640.23","1277.32","french","509478","pof","L1 English monolingual","p","o"
"3898","447.14","2943.45","french","509478","fif","L1 English monolingual","f","i"
"3899","485.11","1366.48","french","509478","fuf","L1 English monolingual","f","u"
"3900","715.85","1148.82","french","509478","fof","L1 English monolingual","f","o"
"3901","807.31","1568.19","french","509478","faf","L1 English monolingual","f","schwa"
"3902","388.45","2525.83","french","509478","pif","L1 English monolingual","p","i"
"3903","469.94","1747.64","french","509478","fuf","L1 English monolingual","f","u"
"3904","857.67","1627.38","french","509478","faf","L1 English monolingual","f","schwa"
"3905","709.80","1116.99","french","509478","pof","L1 English monolingual","p","o"
"3906","407.36","2855.04","french","509478","fif","L1 English monolingual","f","i"
"3907","793.41","1276.18","french","509478","pof","L1 English monolingual","p","o"
"3908","428.28","3121.64","french","509478","pif","L1 English monolingual","p","i"
"3909","737.55","1327.22","french","509478","fof","L1 English monolingual","f","o"
"3910","475.95","1930.34","french","509478","fuf","L1 English monolingual","f","u"
"3911","844.21","1597.37","french","509478","paf","L1 English monolingual","p","schwa"
"3912","419.31","2740.35","french","509478","pif","L1 English monolingual","p","i"
"3913","446.72","3114.53","english","509478","feef","L1 English monolingual","f","i"
"3914","990.07","1320.98","english","509478","foff","L1 English monolingual","f","o"
"3915","1018.28","1621.10","english","509478","puff","L1 English monolingual","p","schwa"
"3916","461.58","1745.36","english","509478","foof","L1 English monolingual","f","u"
"3917","988.71","1606.21","english","509478","puff","L1 English monolingual","p","schwa"
"3918","447.55","2600.23","english","509478","peef","L1 English monolingual","p","i"
"3919","475.53","3047.93","english","509478","feef","L1 English monolingual","f","i"
"3920","921.66","1303.47","english","509478","poff","L1 English monolingual","p","o"
"3921","492.88","1625.47","english","509478","poof","L1 English monolingual","p","u"
"3922","466.31","3256.42","english","509478","peef","L1 English monolingual","p","i"
"3923","511.91","3342.23","english","509478","peef","L1 English monolingual","p","i"
"3924","549.51","1756.30","english","509478","foof","L1 English monolingual","f","u"
"3925","991.45","1572.69","english","509478","puff","L1 English monolingual","p","schwa"
"3926","505.61","1654.06","english","509478","poof","L1 English monolingual","p","u"
"3927","1003.41","1582.66","english","509478","fuff","L1 English monolingual","f","schwa"
"3928","952.04","1296.14","english","509478","poff","L1 English monolingual","p","o"
"3929","500.23","1713.49","english","509478","poof","L1 English monolingual","p","u"
"3930","900.69","1343.79","english","509478","foff","L1 English monolingual","f","o"
"3931","995.72","1566.53","english","509478","fuff","L1 English monolingual","f","schwa"
"3932","475.20","3233.56","english","509478","feef","L1 English monolingual","f","i"
"3933","980.06","1267.48","english","509478","poff","L1 English monolingual","p","o"
"3934","465.50","1809.29","english","509478","foof","L1 English monolingual","f","u"
"3935","1022.77","1340.08","english","509478","foff","L1 English monolingual","f","o"
"3936","1015.51","1564.34","english","509478","fuff","L1 English monolingual","f","schwa"
"3937","280.51","1822.61","German","509491","puf","L1 English monolingual","p","u"
"3938","346.21","1820.81","German","509491","fuf","L1 English monolingual","f","u"
"3939","349.38","1851.03","German","509491","puf","L1 English monolingual","p","u"
"3940","325.67","2175.07","German","509491","pif","L1 English monolingual","p","i"
"3941","426.61","799.28","German","509491","fof","L1 English monolingual","f","o"
"3942","607.55","1945.12","German","509491","fuf","L1 English monolingual","f","u"
"3943","388.54","636.40","German","509491","pof","L1 English monolingual","p","o"
"3944","318.43","2232.20","German","509491","fif","L1 English monolingual","f","i"
"3945","765.37","1419.13","German","509491","faf","L1 English monolingual","f","schwa"
"3946","473.19","1025.39","German","509491","pof","L1 English monolingual","p","o"
"3947","415.65","1844.61","German","509491","pof","L1 English monolingual","p","o"
"3948","766.00","1278.44","German","509491","faf","L1 English monolingual","f","schwa"
"3949","677.95","2293.05","German","509491","pif","L1 English monolingual","p","i"
"3950","802.05","1342.36","German","509491","paf","L1 English monolingual","p","schwa"
"3951","365.97","2143.36","German","509491","pif","L1 English monolingual","p","i"
"3952","438.03","666.94","German","509491","fof","L1 English monolingual","f","o"
"3953","821.61","1071.37","German","509491","faf","L1 English monolingual","f","schwa"
"3954","453.27","1487.78","German","509491","fof","L1 English monolingual","f","o"
"3955","1462.74","2081.84","German","509491","puf","L1 English monolingual","p","u"
"3956","314.43","2259.96","German","509491","fif","L1 English monolingual","f","i"
"3957","321.99","2160.57","German","509491","fif","L1 English monolingual","f","i"
"3958","1215.69","2110.67","German","509491","fuf","L1 English monolingual","f","u"
"3959","795.53","1260.90","German","509491","paf","L1 English monolingual","p","schwa"
"3960","810.35","1402.93","German","509491","paf","L1 English monolingual","p","schwa"
"3961","358.17","1919.58","french","509491","fuf","L1 English monolingual","f","u"
"3962","549.61","1178.60","french","509491","fof","L1 English monolingual","f","o"
"3963","426.86","1444.88","french","509491","paf","L1 English monolingual","p","schwa"
"3964","551.36","1393.27","french","509491","fof","L1 English monolingual","f","o"
"3965","555.03","1561.35","french","509491","paf","L1 English monolingual","p","schwa"
"3966","341.52","2225.33","french","509491","pif","L1 English monolingual","p","i"
"3967","568.34","1577.05","french","509491","faf","L1 English monolingual","f","schwa"
"3968","344.19","1825.04","french","509491","puf","L1 English monolingual","p","u"
"3969","362.38","1840.66","french","509491","puf","L1 English monolingual","p","u"
"3970","567.95","1293.96","french","509491","fof","L1 English monolingual","f","o"
"3971","451.69","1086.45","french","509491","pof","L1 English monolingual","p","o"
"3972","342.24","2150.65","french","509491","fif","L1 English monolingual","f","i"
"3973","310.60","1869.01","french","509491","fuf","L1 English monolingual","f","u"
"3974","404.37","1434.98","french","509491","paf","L1 English monolingual","p","schwa"
"3975","361.32","1831.31","french","509491","fuf","L1 English monolingual","f","u"
"3976","398.07","1176.02","french","509491","pof","L1 English monolingual","p","o"
"3977","328.02","2117.67","french","509491","pif","L1 English monolingual","p","i"
"3978","504.01","1533.24","french","509491","faf","L1 English monolingual","f","schwa"
"3979","380.21","1838.34","french","509491","puf","L1 English monolingual","p","u"
"3980","334.00","2212.07","french","509491","fif","L1 English monolingual","f","i"
"3981","279.77","2187.51","french","509491","pif","L1 English monolingual","p","i"
"3982","352.80","2181.49","french","509491","fif","L1 English monolingual","f","i"
"3983","441.10","1209.55","french","509491","pof","L1 English monolingual","p","o"
"3984","543.95","1569.80","french","509491","faf","L1 English monolingual","f","schwa"
"3985","520.47","1598.21","english","509491","foof","L1 English monolingual","f","u"
"3986","673.59","1086.64","english","509491","fuff","L1 English monolingual","f","schwa"
"3987","804.18","1069.27","english","509491","foff","L1 English monolingual","f","o"
"3988","855.59","1073.42","english","509491","poff","L1 English monolingual","p","o"
"3989","738.11","1064.62","english","509491","fuff","L1 English monolingual","f","schwa"
"3990","461.31","1622.23","english","509491","poof","L1 English monolingual","p","u"
"3991","349.37","2086.67","english","509491","feef","L1 English monolingual","f","i"
"3992","373.20","1425.06","english","509491","foof","L1 English monolingual","f","u"
"3993","864.96","1082.08","english","509491","foff","L1 English monolingual","f","o"
"3994","742.97","1080.22","english","509491","puff","L1 English monolingual","p","schwa"
"3995","796.49","1068.05","english","509491","poff","L1 English monolingual","p","o"
"3996","516.56","1728.43","english","509491","poof","L1 English monolingual","p","u"
"3997","344.11","2081.56","english","509491","feef","L1 English monolingual","f","i"
"3998","780.87","1183.48","english","509491","puff","L1 English monolingual","p","schwa"
"3999","389.13","2092.85","english","509491","peef","L1 English monolingual","p","i"
"4000","342.48","2086.95","english","509491","peef","L1 English monolingual","p","i"
"4001","334.69","2115.07","english","509491","peef","L1 English monolingual","p","i"
"4002","334.78","2074.61","english","509491","feef","L1 English monolingual","f","i"
"4003","359.90","1301.08","english","509491","foof","L1 English monolingual","f","u"
"4004","789.10","1106.29","english","509491","poff","L1 English monolingual","p","o"
"4005","695.54","1110.42","english","509491","puff","L1 English monolingual","p","schwa"
"4006","398.00","1540.42","english","509491","poof","L1 English monolingual","p","u"
"4007","721.10","1109.65","english","509491","fuff","L1 English monolingual","f","schwa"
"4008","819.02","1023.79","english","509491","foff","L1 English monolingual","f","o"
"4009","578.82","1083.35","french","509505","pof","L1 English monolingual","p","o"
"4010","790.17","2159.88","french","509505","pif","L1 English monolingual","p","i"
"4011","451.72","1301.92","french","509505","puf","L1 English monolingual","p","u"
"4012","556.10","1354.56","french","509505","faf","L1 English monolingual","f","schwa"
"4013","583.32","1281.74","french","509505","fof","L1 English monolingual","f","o"
"4014","836.04","1551.74","french","509505","puf","L1 English monolingual","p","u"
"4015","466.00","1526.97","french","509505","fuf","L1 English monolingual","f","u"
"4016","828.32","1704.84","french","509505","puf","L1 English monolingual","p","u"
"4017","510.46","1294.99","french","509505","paf","L1 English monolingual","p","schwa"
"4018","557.81","1245.24","french","509505","faf","L1 English monolingual","f","schwa"
"4019","466.69","1888.56","french","509505","pif","L1 English monolingual","p","i"
"4020","479.54","1136.71","french","509505","pof","L1 English monolingual","p","o"
"4021","554.13","1129.13","french","509505","pof","L1 English monolingual","p","o"
"4022","432.87","2349.12","french","509505","fif","L1 English monolingual","f","i"
"4023","438.05","1659.33","french","509505","fif","L1 English monolingual","f","i"
"4024","963.44","1723.57","french","509505","paf","L1 English monolingual","p","schwa"
"4025","536.79","1890.01","french","509505","fif","L1 English monolingual","f","i"
"4026","506.75","1087.01","french","509505","fof","L1 English monolingual","f","o"
"4027","542.63","1650.23","french","509505","fuf","L1 English monolingual","f","u"
"4028","444.77","1684.29","french","509505","pif","L1 English monolingual","p","i"
"4029","515.82","1363.33","french","509505","paf","L1 English monolingual","p","schwa"
"4030","503.79","1550.54","french","509505","faf","L1 English monolingual","f","schwa"
"4031","423.92","1567.00","french","509505","fuf","L1 English monolingual","f","u"
"4032","509.62","1094.04","french","509505","fof","L1 English monolingual","f","o"
"4033","376.35","1254.20","German","509505","fuf","L1 English monolingual","f","u"
"4034","324.69","1912.20","German","509505","puf","L1 English monolingual","p","u"
"4035","716.02","1717.09","German","509505","puf","L1 English monolingual","p","u"
"4036","852.34","2432.70","German","509505","pif","L1 English monolingual","p","i"
"4037","681.88","1219.80","German","509505","pof","L1 English monolingual","p","o"
"4038","858.85","1750.93","German","509505","pof","L1 English monolingual","p","o"
"4039","1084.75","2535.03","German","509505","fif","L1 English monolingual","f","i"
"4040","628.24","1238.68","German","509505","pof","L1 English monolingual","p","o"
"4041","802.82","1584.43","German","509505","faf","L1 English monolingual","f","schwa"
"4042","836.29","2231.45","German","509505","fif","L1 English monolingual","f","i"
"4043","826.57","1873.21","German","509505","paf","L1 English monolingual","p","schwa"
"4044","875.99","1638.95","German","509505","faf","L1 English monolingual","f","schwa"
"4045","788.93","1251.44","German","509505","fof","L1 English monolingual","f","o"
"4046","846.24","1536.36","German","509505","paf","L1 English monolingual","p","schwa"
"4047","641.28","1514.38","German","509505","puf","L1 English monolingual","p","u"
"4048","323.53","2628.98","German","509505","pif","L1 English monolingual","p","i"
"4049","769.15","1498.19","German","509505","paf","L1 English monolingual","p","schwa"
"4050","366.88","1501.58","German","509505","fuf","L1 English monolingual","f","u"
"4051","333.05","1497.57","German","509505","pif","L1 English monolingual","p","i"
"4052","398.22","924.16","German","509505","fof","L1 English monolingual","f","o"
"4053","714.84","1235.75","German","509505","faf","L1 English monolingual","f","schwa"
"4054","866.56","1459.08","German","509505","fof","L1 English monolingual","f","o"
"4055","471.02","2283.91","German","509505","fif","L1 English monolingual","f","i"
"4056","716.30","1610.11","German","509505","fuf","L1 English monolingual","f","u"
"4057","671.68","1856.62","english","509505","foff","L1 English monolingual","f","o"
"4058","758.89","1405.22","english","509505","poff","L1 English monolingual","p","o"
"4059","725.51","1109.98","english","509505","foff","L1 English monolingual","f","o"
"4060","385.33","2328.53","english","509505","feef","L1 English monolingual","f","i"
"4061","359.56","949.15","english","509505","poof","L1 English monolingual","p","u"
"4062","335.95","2452.52","english","509505","peef","L1 English monolingual","p","i"
"4063","561.04","1150.56","english","509505","puff","L1 English monolingual","p","schwa"
"4064","359.11","1008.81","english","509505","foof","L1 English monolingual","f","u"
"4065","399.00","1059.70","english","509505","poof","L1 English monolingual","p","u"
"4066","512.04","1844.04","english","509505","puff","L1 English monolingual","p","schwa"
"4067","766.39","1700.49","english","509505","poff","L1 English monolingual","p","o"
"4068","363.16","986.10","english","509505","foof","L1 English monolingual","f","u"
"4069","565.21","1167.49","english","509505","fuff","L1 English monolingual","f","schwa"
"4070","407.29","2448.95","english","509505","peef","L1 English monolingual","p","i"
"4071","731.69","1358.30","english","509505","poff","L1 English monolingual","p","o"
"4072","649.84","2498.17","english","509505","feef","L1 English monolingual","f","i"
"4073","368.83","989.48","english","509505","poof","L1 English monolingual","p","u"
"4074","512.37","1182.55","english","509505","foof","L1 English monolingual","f","u"
"4075","616.32","1208.99","english","509505","puff","L1 English monolingual","p","schwa"
"4076","604.58","1497.58","english","509505","fuff","L1 English monolingual","f","schwa"
"4077","345.25","2672.27","english","509505","feef","L1 English monolingual","f","i"
"4078","935.44","2517.44","english","509505","peef","L1 English monolingual","p","i"
"4079","845.64","1355.29","english","509505","foff","L1 English monolingual","f","o"
"4080","528.68","1189.89","english","509505","fuff","L1 English monolingual","f","schwa"
"4081","333.63","811.46","German","509509","pof","L1 English monolingual","p","o"
"4082","849.70","1534.25","German","509509","faf","L1 English monolingual","f","schwa"
"4083","635.54","1193.51","German","509509","faf","L1 English monolingual","f","schwa"
"4084","289.32","2121.67","German","509509","pif","L1 English monolingual","p","i"
"4085","782.38","1698.11","German","509509","paf","L1 English monolingual","p","schwa"
"4086","322.91","806.11","German","509509","pof","L1 English monolingual","p","o"
"4087","293.23","785.42","German","509509","pof","L1 English monolingual","p","o"
"4088","294.81","1528.33","German","509509","puf","L1 English monolingual","p","u"
"4089","375.06","918.59","German","509509","fof","L1 English monolingual","f","o"
"4090","763.14","1443.14","German","509509","paf","L1 English monolingual","p","schwa"
"4091","961.87","2071.10","German","509509","puf","L1 English monolingual","p","u"
"4092","541.67","1842.54","German","509509","fuf","L1 English monolingual","f","u"
"4093","540.62","1784.56","German","509509","fuf","L1 English monolingual","f","u"
"4094","505.65","1395.50","German","509509","fof","L1 English monolingual","f","o"
"4095","683.13","1130.62","German","509509","faf","L1 English monolingual","f","schwa"
"4096","747.38","1646.96","German","509509","paf","L1 English monolingual","p","schwa"
"4097","279.27","2217.48","German","509509","pif","L1 English monolingual","p","i"
"4098","694.36","1998.64","German","509509","fof","L1 English monolingual","f","o"
