"","participant","word","vot","language"
"138","499567","paf",17.1265365181978,"German"
"139","499567","puf",33.5907207953604,"German"
"140","499567","pof",31.1913835956918,"German"
"141","499532","paf",30,"spanish"
"142","499532","puf",29.9999999999999,"spanish"
"143","499532","paf",30,"spanish"
"144","499532","puf",70.0000000000001,"spanish"
"145","499532","puf",60.0000000000001,"spanish"
"146","499532","pof",40,"spanish"
"147","499532","pof",30,"spanish"
"148","499532","paf",30,"spanish"
"149","499532","pif",50,"spanish"
"150","499532","pof",30,"spanish"
"151","499532","pif",70,"spanish"
"152","499532","pif",40,"spanish"
"153","499532","poof",90,"english"
"154","499532","puff",90,"english"
"155","499532","poof",270,"english"
"156","499532","peef",130,"english"
"157","499532","poof",70,"english"
"158","499532","poff",30,"english"
"159","499532","puff",70.0000000000001,"english"
"160","499532","poff",49.9999999999999,"english"
"161","499532","peef",80.0000000000001,"english"
"162","499532","puff",110,"english"
"163","499532","peef",70,"english"
"164","499532","poff",50,"english"
"165","499532","pof",59.9999999999999,"German"
"166","499532","pif",140,"German"
"167","499532","pof",100,"German"
"168","499532","pif",50,"German"
"169","499532","paf",100,"German"
"170","499532","pof",29.9999999999999,"German"
"171","499532","paf",29.9999999999999,"German"
"172","499532","paf",40,"German"
"173","499532","puf",99.9999999999999,"German"
"174","499532","puf",70.0000000000001,"German"
"175","499532","puf",60.0000000000001,"German"
"176","499532","pif",50,"German"
"177","499532","pif",49.9999999999999,"french"
"178","499532","pof",29.9999999999999,"french"
"179","499532","puf",290,"french"
"180","499532","pof",24.1960858951735,"french"
"181","499532","puf",110,"french"
"182","499532","paf",32.805190304283,"french"
"183","499532","pof",19.5223516616359,"french"
"184","499532","pif",17.9950289975145,"french"
"185","499525","pif",17.5095434498259,"spanish"
"186","499525","pof",13.3405522558268,"spanish"
"187","499525","paf",15.2559903086577,"spanish"
"188","499525","puf",17.7550952775476,"spanish"
"189","499525","pif",21.1702155454098,"spanish"
"190","499525","paf",19.0856760257189,"spanish"
"191","499525","pof",20.8157043000898,"spanish"
"192","499525","pof",25.9928196630765,"spanish"
"193","499525","puf",23.9933719966861,"spanish"
"194","499525","paf",13.0498261518375,"spanish"
"195","499525","pif",13.804473902237,"spanish"
"196","499525","poof",114.940413951947,"english"
