"","word","file","rec_session_id","language","file_name_append","text"
"1","f_schwa","blockNr_1_taskNr_3_trialNr_1_french_recording.wav",500392,"french","500392_blockNr_1_taskNr_3_trialNr_1_french_recording","faf"
"2","p_i","blockNr_1_taskNr_3_trialNr_2_french_recording.wav",500392,"french","500392_blockNr_1_taskNr_3_trialNr_2_french_recording","pif"
"3","f_i","blockNr_1_taskNr_3_trialNr_3_french_recording.wav",500392,"french","500392_blockNr_1_taskNr_3_trialNr_3_french_recording","fif"
"4","p_schwa","blockNr_1_taskNr_3_trialNr_4_french_recording.wav",500392,"french","500392_blockNr_1_taskNr_3_trialNr_4_french_recording","paf"
"5","p_u","blockNr_1_taskNr_3_trialNr_5_french_recording.wav",500392,"french","500392_blockNr_1_taskNr_3_trialNr_5_french_recording","puf"
"6","p_i","blockNr_1_taskNr_3_trialNr_6_french_recording.wav",500392,"french","500392_blockNr_1_taskNr_3_trialNr_6_french_recording","pif"
"7","f_u","blockNr_1_taskNr_3_trialNr_7_french_recording.wav",500392,"french","500392_blockNr_1_taskNr_3_trialNr_7_french_recording","fuf"
"8","p_o","blockNr_1_taskNr_3_trialNr_8_french_recording.wav",500392,"french","500392_blockNr_1_taskNr_3_trialNr_8_french_recording","pof"
"9","f_schwa","blockNr_1_taskNr_3_trialNr_9_french_recording.wav",500392,"french","500392_blockNr_1_taskNr_3_trialNr_9_french_recording","faf"
"10","p_o","blockNr_1_taskNr_3_trialNr_10_french_recording.wav",500392,"french","500392_blockNr_1_taskNr_3_trialNr_10_french_recording","pof"
"11","f_o","blockNr_1_taskNr_3_trialNr_11_french_recording.wav",500392,"french","500392_blockNr_1_taskNr_3_trialNr_11_french_recording","fof"
"12","f_u","blockNr_1_taskNr_3_trialNr_12_french_recording.wav",500392,"french","500392_blockNr_1_taskNr_3_trialNr_12_french_recording","fuf"
"13","p_u","blockNr_1_taskNr_3_trialNr_13_french_recording.wav",500392,"french","500392_blockNr_1_taskNr_3_trialNr_13_french_recording","puf"
"14","f_o","blockNr_1_taskNr_3_trialNr_14_french_recording.wav",500392,"french","500392_blockNr_1_taskNr_3_trialNr_14_french_recording","fof"
"15","f_schwa","blockNr_1_taskNr_3_trialNr_15_french_recording.wav",500392,"french","500392_blockNr_1_taskNr_3_trialNr_15_french_recording","faf"
"16","p_i","blockNr_1_taskNr_3_trialNr_16_french_recording.wav",500392,"french","500392_blockNr_1_taskNr_3_trialNr_16_french_recording","pif"
"17","p_schwa","blockNr_1_taskNr_3_trialNr_17_french_recording.wav",500392,"french","500392_blockNr_1_taskNr_3_trialNr_17_french_recording","paf"
"18","f_o","blockNr_1_taskNr_3_trialNr_18_french_recording.wav",500392,"french","500392_blockNr_1_taskNr_3_trialNr_18_french_recording","fof"
"19","f_u","blockNr_1_taskNr_3_trialNr_19_french_recording.wav",500392,"french","500392_blockNr_1_taskNr_3_trialNr_19_french_recording","fuf"
"20","p_schwa","blockNr_1_taskNr_3_trialNr_20_french_recording.wav",500392,"french","500392_blockNr_1_taskNr_3_trialNr_20_french_recording","paf"
"21","f_i","blockNr_1_taskNr_3_trialNr_21_french_recording.wav",500392,"french","500392_blockNr_1_taskNr_3_trialNr_21_french_recording","fif"
"22","p_o","blockNr_1_taskNr_3_trialNr_22_french_recording.wav",500392,"french","500392_blockNr_1_taskNr_3_trialNr_22_french_recording","pof"
"23","p_u","blockNr_1_taskNr_3_trialNr_23_french_recording.wav",500392,"french","500392_blockNr_1_taskNr_3_trialNr_23_french_recording","puf"
"24","f_i","blockNr_1_taskNr_3_trialNr_24_french_recording.wav",500392,"french","500392_blockNr_1_taskNr_3_trialNr_24_french_recording","fif"
"25","f_u","blockNr_1_taskNr_4_trialNr_1_German_recording.wav",500392,"German","500392_blockNr_1_taskNr_4_trialNr_1_German_recording","fuf"
"26","p_schwa","blockNr_1_taskNr_4_trialNr_2_German_recording.wav",500392,"German","500392_blockNr_1_taskNr_4_trialNr_2_German_recording","paf"
"27","p_o","blockNr_1_taskNr_4_trialNr_3_German_recording.wav",500392,"German","500392_blockNr_1_taskNr_4_trialNr_3_German_recording","pof"
"28","f_o","blockNr_1_taskNr_4_trialNr_4_German_recording.wav",500392,"German","500392_blockNr_1_taskNr_4_trialNr_4_German_recording","fof"
"29","f_i","blockNr_1_taskNr_4_trialNr_5_German_recording.wav",500392,"German","500392_blockNr_1_taskNr_4_trialNr_5_German_recording","fif"
"30","f_schwa","blockNr_1_taskNr_4_trialNr_6_German_recording.wav",500392,"German","500392_blockNr_1_taskNr_4_trialNr_6_German_recording","faf"
"31","f_schwa","blockNr_1_taskNr_4_trialNr_7_German_recording.wav",500392,"German","500392_blockNr_1_taskNr_4_trialNr_7_German_recording","faf"
"32","f_u","blockNr_1_taskNr_4_trialNr_8_German_recording.wav",500392,"German","500392_blockNr_1_taskNr_4_trialNr_8_German_recording","fuf"
"33","f_i","blockNr_1_taskNr_4_trialNr_9_German_recording.wav",500392,"German","500392_blockNr_1_taskNr_4_trialNr_9_German_recording","fif"
"34","f_o","blockNr_1_taskNr_4_trialNr_10_German_recording.wav",500392,"German","500392_blockNr_1_taskNr_4_trialNr_10_German_recording","fof"
"35","p_i","blockNr_1_taskNr_4_trialNr_11_German_recording.wav",500392,"German","500392_blockNr_1_taskNr_4_trialNr_11_German_recording","pif"
"36","f_u","blockNr_1_taskNr_4_trialNr_12_German_recording.wav",500392,"German","500392_blockNr_1_taskNr_4_trialNr_12_German_recording","fuf"
"37","p_i","blockNr_1_taskNr_4_trialNr_13_German_recording.wav",500392,"German","500392_blockNr_1_taskNr_4_trialNr_13_German_recording","pif"
"38","p_o","blockNr_1_taskNr_4_trialNr_14_German_recording.wav",500392,"German","500392_blockNr_1_taskNr_4_trialNr_14_German_recording","pof"
"39","f_o","blockNr_1_taskNr_4_trialNr_15_German_recording.wav",500392,"German","500392_blockNr_1_taskNr_4_trialNr_15_German_recording","fof"
"40","f_i","blockNr_1_taskNr_4_trialNr_16_German_recording.wav",500392,"German","500392_blockNr_1_taskNr_4_trialNr_16_German_recording","fif"
"41","p_schwa","blockNr_1_taskNr_4_trialNr_17_German_recording.wav",500392,"German","500392_blockNr_1_taskNr_4_trialNr_17_German_recording","paf"
"42","f_schwa","blockNr_1_taskNr_4_trialNr_18_German_recording.wav",500392,"German","500392_blockNr_1_taskNr_4_trialNr_18_German_recording","faf"
"43","p_u","blockNr_1_taskNr_4_trialNr_19_German_recording.wav",500392,"German","500392_blockNr_1_taskNr_4_trialNr_19_German_recording","puf"
"44","p_u","blockNr_1_taskNr_4_trialNr_20_German_recording.wav",500392,"German","500392_blockNr_1_taskNr_4_trialNr_20_German_recording","puf"
"45","p_schwa","blockNr_1_taskNr_4_trialNr_21_German_recording.wav",500392,"German","500392_blockNr_1_taskNr_4_trialNr_21_German_recording","paf"
"46","p_o","blockNr_1_taskNr_4_trialNr_22_German_recording.wav",500392,"German","500392_blockNr_1_taskNr_4_trialNr_22_German_recording","pof"
"47","p_u","blockNr_1_taskNr_4_trialNr_23_German_recording.wav",500392,"German","500392_blockNr_1_taskNr_4_trialNr_23_German_recording","puf"
"48","p_i","blockNr_1_taskNr_4_trialNr_24_German_recording.wav",500392,"German","500392_blockNr_1_taskNr_4_trialNr_24_German_recording","pif"
"49","p_o","blockNr_1_taskNr_6_trialNr_1_spanish_recording.wav",500392,"spanish","500392_blockNr_1_taskNr_6_trialNr_1_spanish_recording","pof"
"50","p_a","blockNr_1_taskNr_6_trialNr_2_spanish_recording.wav",500392,"spanish","500392_blockNr_1_taskNr_6_trialNr_2_spanish_recording","paf"
"51","p_u","blockNr_1_taskNr_6_trialNr_3_spanish_recording.wav",500392,"spanish","500392_blockNr_1_taskNr_6_trialNr_3_spanish_recording","puf"
"52","f_u","blockNr_1_taskNr_6_trialNr_4_spanish_recording.wav",500392,"spanish","500392_blockNr_1_taskNr_6_trialNr_4_spanish_recording","fuf"
"53","f_o","blockNr_1_taskNr_6_trialNr_5_spanish_recording.wav",500392,"spanish","500392_blockNr_1_taskNr_6_trialNr_5_spanish_recording","fof"
"54","p_i","blockNr_1_taskNr_6_trialNr_6_spanish_recording.wav",500392,"spanish","500392_blockNr_1_taskNr_6_trialNr_6_spanish_recording","pif"
"55","p_u","blockNr_1_taskNr_6_trialNr_7_spanish_recording.wav",500392,"spanish","500392_blockNr_1_taskNr_6_trialNr_7_spanish_recording","puf"
"56","p_o","blockNr_1_taskNr_6_trialNr_8_spanish_recording.wav",500392,"spanish","500392_blockNr_1_taskNr_6_trialNr_8_spanish_recording","pof"
"57","f_i","blockNr_1_taskNr_6_trialNr_9_spanish_recording.wav",500392,"spanish","500392_blockNr_1_taskNr_6_trialNr_9_spanish_recording","fif"
"58","p_a","blockNr_1_taskNr_6_trialNr_10_spanish_recording.wav",500392,"spanish","500392_blockNr_1_taskNr_6_trialNr_10_spanish_recording","paf"
"59","f_i","blockNr_1_taskNr_6_trialNr_11_spanish_recording.wav",500392,"spanish","500392_blockNr_1_taskNr_6_trialNr_11_spanish_recording","fif"
"60","f_u","blockNr_1_taskNr_6_trialNr_12_spanish_recording.wav",500392,"spanish","500392_blockNr_1_taskNr_6_trialNr_12_spanish_recording","fuf"
"61","p_a","blockNr_1_taskNr_6_trialNr_13_spanish_recording.wav",500392,"spanish","500392_blockNr_1_taskNr_6_trialNr_13_spanish_recording","paf"
"62","p_u","blockNr_1_taskNr_6_trialNr_14_spanish_recording.wav",500392,"spanish","500392_blockNr_1_taskNr_6_trialNr_14_spanish_recording","puf"
"63","f_a","blockNr_1_taskNr_6_trialNr_15_spanish_recording.wav",500392,"spanish","500392_blockNr_1_taskNr_6_trialNr_15_spanish_recording","faf"
"64","p_o","blockNr_1_taskNr_6_trialNr_16_spanish_recording.wav",500392,"spanish","500392_blockNr_1_taskNr_6_trialNr_16_spanish_recording","pof"
"65","f_i","blockNr_1_taskNr_6_trialNr_17_spanish_recording.wav",500392,"spanish","500392_blockNr_1_taskNr_6_trialNr_17_spanish_recording","fif"
"66","p_i","blockNr_1_taskNr_6_trialNr_18_spanish_recording.wav",500392,"spanish","500392_blockNr_1_taskNr_6_trialNr_18_spanish_recording","pif"
"67","f_a","blockNr_1_taskNr_6_trialNr_19_spanish_recording.wav",500392,"spanish","500392_blockNr_1_taskNr_6_trialNr_19_spanish_recording","faf"
"68","f_o","blockNr_1_taskNr_6_trialNr_20_spanish_recording.wav",500392,"spanish","500392_blockNr_1_taskNr_6_trialNr_20_spanish_recording","fof"
"69","p_i","blockNr_1_taskNr_6_trialNr_21_spanish_recording.wav",500392,"spanish","500392_blockNr_1_taskNr_6_trialNr_21_spanish_recording","pif"
"70","f_u","blockNr_1_taskNr_6_trialNr_22_spanish_recording.wav",500392,"spanish","500392_blockNr_1_taskNr_6_trialNr_22_spanish_recording","fuf"
"71","f_o","blockNr_1_taskNr_6_trialNr_23_spanish_recording.wav",500392,"spanish","500392_blockNr_1_taskNr_6_trialNr_23_spanish_recording","fof"
"72","f_a","blockNr_1_taskNr_6_trialNr_24_spanish_recording.wav",500392,"spanish","500392_blockNr_1_taskNr_6_trialNr_24_spanish_recording","faf"
"73","f_o","blockNr_1_taskNr_7_trialNr_1_english_recording.wav",500392,"english","500392_blockNr_1_taskNr_7_trialNr_1_english_recording","foff"
"74","p_schwa","blockNr_1_taskNr_7_trialNr_2_english_recording.wav",500392,"english","500392_blockNr_1_taskNr_7_trialNr_2_english_recording","puff"
"75","f_u","blockNr_1_taskNr_7_trialNr_3_english_recording.wav",500392,"english","500392_blockNr_1_taskNr_7_trialNr_3_english_recording","foof"
