"","file_word","n","group"
"1","492813",5,"Spanish L1"
"2","492821",6,"Spanish L1"
"3","492825",7,"Spanish L1"
"4","492828",7,"English L1"
"5","492880",6,"Spanish L1"
"6","492909",7,"Spanish L1"
"7","493072",5,"English L1"
"8","493215",8,"Spanish L1"
"9","493272",6,"Spanish L1"
"10","493275",9,"Spanish L1"
"11","493310",8,"Spanish L1"
"12","493453",6,"Spanish L1"
"13","493488",8,"Spanish L1"
"14","493499",8,"Spanish L1"
"15","494205",6,"Spanish L1"
"16","499438",8,"Spanish L1"
"17","499444",7,"Spanish L1"
"18","499458",9,"Spanish L1"
"19","499461",5,"Spanish L1"
"20","499466",9,"Spanish L1"
"21","499470",5,"Spanish L1"
"22","499477",9,"Spanish L1"
"23","499488",6,"Spanish L1"
"24","499497",9,"Spanish L1"
"25","499507",9,"Spanish L1"
"26","499512",6,"Spanish L1"
"27","499514",9,"Spanish L1"
"28","499516",9,"Spanish L1"
"29","499525",9,"Spanish L1"
"30","499532",5,"Spanish L1"
"31","499567",6,"Spanish L1"
"32","499570",9,"Spanish L1"
"33","500265",8,"English L1"
