"","f1e","f2e","language","text","participant","file_r","_","consonant","phoneme","prolific_id","l1"
"1",559.72,1302,"German","paf","492813","blockNr","1","p","schwa","5f15db42d62e996fdc5429d8","Spanish"
"2",651.78,1916.65,"German","puf","492813","blockNr","1","p","u","5f15db42d62e996fdc5429d8","Spanish"
"3",1096.44,2012.15,"German","pif","492813","blockNr","1","p","i","5f15db42d62e996fdc5429d8","Spanish"
"4",605.56,2131.88,"German","pof","492813","blockNr","1","p","o","5f15db42d62e996fdc5429d8","Spanish"
"5",717.62,1783.91,"German","fif","492813","blockNr","1","f","i","5f15db42d62e996fdc5429d8","Spanish"
"6",539.57,2293.13,"German","pif","492813","blockNr","1","p","i","5f15db42d62e996fdc5429d8","Spanish"
"7",481.44,2455.32,"German","faf","492813","blockNr","1","f","schwa","5f15db42d62e996fdc5429d8","Spanish"
"8",901.73,1966.66,"German","fuf","492813","blockNr","1","f","u","5f15db42d62e996fdc5429d8","Spanish"
"9",398.87,1455.31,"German","fof","492813","blockNr","1","f","o","5f15db42d62e996fdc5429d8","Spanish"
"10",252.62,1574.45,"German","paf","492813","blockNr","1","p","schwa","5f15db42d62e996fdc5429d8","Spanish"
"11",176.41,2315.11,"German","pif","492813","blockNr","1","p","i","5f15db42d62e996fdc5429d8","Spanish"
"12",246.9,2318.18,"German","fif","492813","blockNr","1","f","i","5f15db42d62e996fdc5429d8","Spanish"
"13",480.1,1622.07,"German","pof","492813","blockNr","1","p","o","5f15db42d62e996fdc5429d8","Spanish"
"14",436.56,1620.66,"German","puf","492813","blockNr","1","p","u","5f15db42d62e996fdc5429d8","Spanish"
"15",1063.9,2650.38,"German","fif","492813","blockNr","1","f","i","5f15db42d62e996fdc5429d8","Spanish"
"16",232.3,1595.67,"German","puf","492813","blockNr","1","p","u","5f15db42d62e996fdc5429d8","Spanish"
"17",795.7,2282.82,"German","fuf","492813","blockNr","1","f","u","5f15db42d62e996fdc5429d8","Spanish"
"18",646.46,2061.38,"German","fof","492813","blockNr","1","f","o","5f15db42d62e996fdc5429d8","Spanish"
"19",336.62,1038.84,"German","fof","492813","blockNr","1","f","o","5f15db42d62e996fdc5429d8","Spanish"
"20",836.08,1834.4,"German","paf","492813","blockNr","1","p","schwa","5f15db42d62e996fdc5429d8","Spanish"
"21",484.63,2046.34,"German","pof","492813","blockNr","1","p","o","5f15db42d62e996fdc5429d8","Spanish"
"22",449.17,1281.45,"German","faf","492813","blockNr","1","f","schwa","5f15db42d62e996fdc5429d8","Spanish"
"23",975.03,2205.01,"German","fuf","492813","blockNr","1","f","u","5f15db42d62e996fdc5429d8","Spanish"
"24",455.82,1470.12,"German","faf","492813","blockNr","1","f","schwa","5f15db42d62e996fdc5429d8","Spanish"
"25",256.73,1796.06,"french","puf","492813","blockNr","1","p","u","5f15db42d62e996fdc5429d8","Spanish"
"26",212.64,1949.29,"french","fif","492813","blockNr","1","f","i","5f15db42d62e996fdc5429d8","Spanish"
"27",234.81,1894.71,"french","paf","492813","blockNr","1","p","schwa","5f15db42d62e996fdc5429d8","Spanish"
"28",998.15,2119.57,"french","puf","492813","blockNr","1","p","u","5f15db42d62e996fdc5429d8","Spanish"
"29",449.91,1380.17,"french","pof","492813","blockNr","1","p","o","5f15db42d62e996fdc5429d8","Spanish"
"30",1295.36,2583.15,"french","fif","492813","blockNr","1","f","i","5f15db42d62e996fdc5429d8","Spanish"
"31",279.29,1619.45,"french","paf","492813","blockNr","1","p","schwa","5f15db42d62e996fdc5429d8","Spanish"
"32",2201.51,2587.32,"french","pif","492813","blockNr","1","p","i","5f15db42d62e996fdc5429d8","Spanish"
"33",558.27,1924.53,"french","puf","492813","blockNr","1","p","u","5f15db42d62e996fdc5429d8","Spanish"
"34",282.16,1115.62,"french","fuf","492813","blockNr","1","f","u","5f15db42d62e996fdc5429d8","Spanish"
"35",810.05,2158.76,"french","fuf","492813","blockNr","1","f","u","5f15db42d62e996fdc5429d8","Spanish"
"36",328.13,1512.19,"french","paf","492813","blockNr","1","p","schwa","5f15db42d62e996fdc5429d8","Spanish"
"37",449.96,1149.28,"french","pof","492813","blockNr","1","p","o","5f15db42d62e996fdc5429d8","Spanish"
"38",304.76,1196.7,"french","pof","492813","blockNr","1","p","o","5f15db42d62e996fdc5429d8","Spanish"
"39",848.03,2437.02,"french","pif","492813","blockNr","1","p","i","5f15db42d62e996fdc5429d8","Spanish"
"40",416.93,1598.61,"french","faf","492813","blockNr","1","f","schwa","5f15db42d62e996fdc5429d8","Spanish"
"41",422.88,1242.38,"french","fof","492813","blockNr","1","f","o","5f15db42d62e996fdc5429d8","Spanish"
"42",162.92,1678.68,"french","fof","492813","blockNr","1","f","o","5f15db42d62e996fdc5429d8","Spanish"
"43",285.1,1858.81,"french","faf","492813","blockNr","1","f","schwa","5f15db42d62e996fdc5429d8","Spanish"
"44",328.43,1540.68,"french","fof","492813","blockNr","1","f","o","5f15db42d62e996fdc5429d8","Spanish"
"45",328.08,1895.46,"french","faf","492813","blockNr","1","f","schwa","5f15db42d62e996fdc5429d8","Spanish"
"46",607.29,2274.82,"french","fuf","492813","blockNr","1","f","u","5f15db42d62e996fdc5429d8","Spanish"
"47",312.56,2482.77,"french","fif","492813","blockNr","1","f","i","5f15db42d62e996fdc5429d8","Spanish"
"48",611.46,2582.14,"french","pif","492813","blockNr","1","p","i","5f15db42d62e996fdc5429d8","Spanish"
"49",940.43,2389.57,"english","peef","492813","blockNr","1","p","i","5f15db42d62e996fdc5429d8","Spanish"
"50",348.26,1225.45,"english","poof","492813","blockNr","1","p","u","5f15db42d62e996fdc5429d8","Spanish"
"51",326.24,1261.82,"english","fuff","492813","blockNr","1","f","schwa","5f15db42d62e996fdc5429d8","Spanish"
"52",446.31,1787.96,"english","puff","492813","blockNr","1","p","schwa","5f15db42d62e996fdc5429d8","Spanish"
"53",686.68,2354.72,"english","feef","492813","blockNr","1","f","i","5f15db42d62e996fdc5429d8","Spanish"
"54",407.95,2067.47,"english","poof","492813","blockNr","1","p","u","5f15db42d62e996fdc5429d8","Spanish"
"55",734.15,2192.51,"english","fuff","492813","blockNr","1","f","schwa","5f15db42d62e996fdc5429d8","Spanish"
"56",596.38,2274.24,"english","foof","492813","blockNr","1","f","u","5f15db42d62e996fdc5429d8","Spanish"
"57",1065.44,2417.55,"english","feef","492813","blockNr","1","f","i","5f15db42d62e996fdc5429d8","Spanish"
"58",719.24,2091.64,"english","foof","492813","blockNr","1","f","u","5f15db42d62e996fdc5429d8","Spanish"
"59",428.5,2204.33,"english","poof","492813","blockNr","1","p","u","5f15db42d62e996fdc5429d8","Spanish"
"60",382.28,2171.88,"english","puff","492813","blockNr","1","p","schwa","5f15db42d62e996fdc5429d8","Spanish"
"61",206.1,1969.23,"english","peef","492813","blockNr","1","p","i","5f15db42d62e996fdc5429d8","Spanish"
"62",643.76,2521.2,"english","foff","492813","blockNr","1","f","o","5f15db42d62e996fdc5429d8","Spanish"
"63",309.24,1363.97,"english","foof","492813","blockNr","1","f","u","5f15db42d62e996fdc5429d8","Spanish"
"64",559.31,2442.99,"english","peef","492813","blockNr","1","p","i","5f15db42d62e996fdc5429d8","Spanish"
"65",332.61,1491.78,"english","puff","492813","blockNr","1","p","schwa","5f15db42d62e996fdc5429d8","Spanish"
"66",494.83,2365.6,"english","poff","492813","blockNr","1","p","o","5f15db42d62e996fdc5429d8","Spanish"
"67",568.38,2068.04,"english","foff","492813","blockNr","1","f","o","5f15db42d62e996fdc5429d8","Spanish"
"68",233.02,2273.8,"english","feef","492813","blockNr","1","f","i","5f15db42d62e996fdc5429d8","Spanish"
"69",493.16,932.64,"english","poff","492813","blockNr","1","p","o","5f15db42d62e996fdc5429d8","Spanish"
"70",389.62,1152.15,"english","foff","492813","blockNr","1","f","o","5f15db42d62e996fdc5429d8","Spanish"
"71",575.9,1127.71,"english","poff","492813","blockNr","1","p","o","5f15db42d62e996fdc5429d8","Spanish"
"72",355.6,2034.59,"english","fuff","492813","blockNr","1","f","schwa","5f15db42d62e996fdc5429d8","Spanish"
