Parameter,Median,HDI,% in ROPE,MPE,Rhat,ESS
Intercept,-0.18,"[-0.47, 0.11]",0.27,0.89,1.00,911
/o/,-1.48,"[-1.76, -1.20]",0.00,1.00,1.00,2883
"schwa, /a/",-1.67,"[-1.98, -1.38]",0.00,1.00,1.00,2985
"/u/, /y/",-0.62,"[-0.88, -0.37]",0.00,1.00,1.00,2688
Production,0.36,"[0.08, 0.66]",0.01,0.99,1.00,1949
/o/: Production,1.43,"[0.98, 1.85]",0.00,1.00,1.00,2414
"schwa, /a/: Production",1.46,"[1.02, 1.92]",0.00,1.00,1.00,2333
"/u/, /y/: Production",0.57,"[0.14, 0.99]",0.00,1.00,1.00,2297
