Parameter,Median,HDI,% in ROPE,MPE,Rhat,ESS
Intercept,-0.19,"[-0.45, 0.07]",0.21,0.93,1.00,536
/o/,-1.54,"[-1.73, -1.36]",0.00,1.00,1.00,3702
"schwa, /a/",-2.32,"[-2.55, -2.11]",0.00,1.00,1.00,3980
"/u/, /y/",0.04,"[-0.12, 0.20]",0.76,0.68,1.00,3649
Production,0.63,"[0.25, 1.01]",0.00,1.00,1.00,2037
/o/: Production,2.01,"[1.53, 2.47]",0.00,1.00,1.00,2882
"schwa, /a/: Production",2.43,"[1.98, 2.90]",0.00,1.00,1.00,2880
"/u/, /y/: Production",-0.18,"[-0.62, 0.26]",0.26,0.79,1.00,2630
