"","participant","stim","resp","stim_language","slider.response","phoneme","frame"
"1","5ab33d98580b990001730708","stim/f_schwa_g.wav","son_span","German","3.984375","schwa","fricative"
"2","5ab33d98580b990001730708","stim/feuf_g.wav","fool_eng","German","2.984375","y","fricative"
"3","5ab33d98580b990001730708","stim/peuf_g.wav","fun_eng","German","2.020833333","y","bilabial"
"4","5ab33d98580b990001730708","stim/pof_g.wav","fought_eng","German","3.885416667","o","bilabial"
"5","5ab33d98580b990001730708","stim/fief_g.wav","feel_eng","German","4.015625","i","fricative"
"6","5ab33d98580b990001730708","stim/fof_g.wav","fought_eng","German","3.135416667","o","fricative"
"7","5ab33d98580b990001730708","stim/p_schwa_g.wav","fool_eng","German","2.921875","schwa","bilabial"
"8","5ab33d98580b990001730708","stim/pief_g.wav","feel_eng","German","3.96875","i","bilabial"
"9","5ab33d98580b990001730708","stim/f_schwa_g.wav","son_span","German","3.854166667","schwa","fricative"
"10","5ab33d98580b990001730708","stim/pief_g.wav","fin_span","German","3.828125","i","bilabial"
"11","5ab33d98580b990001730708","stim/peuf_g.wav","su_span","German","3.135416667","y","bilabial"
"12","5ab33d98580b990001730708","stim/fof_g.wav","fought_eng","German","3.916666667","o","fricative"
"13","5ab33d98580b990001730708","stim/fief_g.wav","feel_eng","German","4.177083333","i","fricative"
"14","5ab33d98580b990001730708","stim/pof_g.wav","son_span","German","4.859375","o","bilabial"
"15","5ab33d98580b990001730708","stim/feuf_g.wav","su_span","German","4.03125","y","fricative"
"16","5ab33d98580b990001730708","stim/p_schwa_g.wav","son_span","German","4.921875","schwa","bilabial"
"17","5ab33d98580b990001730708","stim/fief_g.wav","feel_eng","German","4.21875","i","fricative"
"18","5ab33d98580b990001730708","stim/pof_g.wav","son_span","German","4.703125","o","bilabial"
"19","5ab33d98580b990001730708","stim/pief_g.wav","feel_eng","German","3.979166667","i","bilabial"
"20","5ab33d98580b990001730708","stim/peuf_g.wav","fun_eng","German","3.692708333","y","bilabial"
"21","5ab33d98580b990001730708","stim/p_schwa_g.wav","fought_eng","German","2.963541667","schwa","bilabial"
"22","5ab33d98580b990001730708","stim/fof_g.wav","fought_eng","German","4.765625","o","fricative"
"23","5ab33d98580b990001730708","stim/feuf_g.wav","su_span","German","3.958333333","y","fricative"
"24","5ab33d98580b990001730708","stim/f_schwa_g.wav","son_span","German","4.84375","schwa","fricative"
"25","5ab33d98580b990001730708","stim/pof_g.wav","son_span","German","4.041666667","o","bilabial"
"26","5ab33d98580b990001730708","stim/fof_g.wav","fought_eng","German","4.708333333","o","fricative"
"27","5ab33d98580b990001730708","stim/f_schwa_g.wav","son_span","German","4.911458333","schwa","fricative"
"28","5ab33d98580b990001730708","stim/fief_g.wav","feel_eng","German","4.796875","i","fricative"
"29","5ab33d98580b990001730708","stim/peuf_g.wav","fool_eng","German","4.005208333","y","bilabial"
"30","5ab33d98580b990001730708","stim/feuf_g.wav","fun_eng","German","2.947916667","y","fricative"
"31","5ab33d98580b990001730708","stim/pief_g.wav","fin_span","German","4.901041667","i","bilabial"
"32","5ab33d98580b990001730708","stim/p_schwa_g.wav","son_span","German","4.192708333","schwa","bilabial"
"33","5ab33d98580b990001730708","stim/peuf_g.wav","su_span","German","4","y","bilabial"
"34","5ab33d98580b990001730708","stim/fof_g.wav","son_span","German","4.052083333","o","fricative"
"35","5ab33d98580b990001730708","stim/f_schwa_g.wav","son_span","German","3.9375","schwa","fricative"
"36","5ab33d98580b990001730708","stim/fief_g.wav","feel_eng","German","4.75","i","fricative"
"37","5ab33d98580b990001730708","stim/feuf_g.wav","fool_eng","German","3.9375","y","fricative"
"38","5ab33d98580b990001730708","stim/p_schwa_g.wav","son_span","German","3.90625","schwa","bilabial"
"39","5ab33d98580b990001730708","stim/pof_g.wav","son_span","German","3.208333333","o","bilabial"
"40","5ab33d98580b990001730708","stim/pief_g.wav","fin_span","German","4.75","i","bilabial"
"41","5bfb724acad1240001e8f657","stim/feuf_g.wav","fool_eng","German","4.011111224","y","fricative"
"42","5bfb724acad1240001e8f657","stim/p_schwa_g.wav","fought_eng","German","3.985185129","schwa","bilabial"
"43","5bfb724acad1240001e8f657","stim/pief_g.wav","fin_span","German","4.003703647","i","bilabial"
"44","5bfb724acad1240001e8f657","stim/fof_g.wav","fought_eng","German","3.996296353","o","fricative"
"45","5bfb724acad1240001e8f657","stim/pof_g.wav","fool_eng","German","4.007407577","o","bilabial"
"46","5bfb724acad1240001e8f657","stim/peuf_g.wav","fun_eng","German","2.988889058","y","bilabial"
"47","5bfb724acad1240001e8f657","stim/fief_g.wav","feel_eng","German","3.992592706","i","fricative"
"48","5bfb724acad1240001e8f657","stim/f_schwa_g.wav","fought_eng","German","2.988889058","schwa","fricative"
"49","5bfb724acad1240001e8f657","stim/f_schwa_g.wav","fought_eng","German","2.996296353","schwa","fricative"
"50","5bfb724acad1240001e8f657","stim/feuf_g.wav","fun_eng","German","3.022222166","y","fricative"
"51","5bfb724acad1240001e8f657","stim/pief_g.wav","fin_span","German","3.97037054","i","bilabial"
"52","5bfb724acad1240001e8f657","stim/fief_g.wav","fin_span","German","3.981481481","i","fricative"
"53","5bfb724acad1240001e8f657","stim/fof_g.wav","fought_eng","German","4","o","fricative"
"54","5bfb724acad1240001e8f657","stim/p_schwa_g.wav","fought_eng","German","4.018518519","schwa","bilabial"
"55","5bfb724acad1240001e8f657","stim/pof_g.wav","fool_eng","German","3.996296353","o","bilabial"
"56","5bfb724acad1240001e8f657","stim/peuf_g.wav","fun_eng","German","3.985185129","y","bilabial"
"57","5bfb724acad1240001e8f657","stim/peuf_g.wav","fought_eng","German","3.985185129","y","bilabial"
"58","5bfb724acad1240001e8f657","stim/pof_g.wav","fought_eng","German","2.981481481","o","bilabial"
"59","5bfb724acad1240001e8f657","stim/p_schwa_g.wav","fought_eng","German","2.014814871","schwa","bilabial"
"60","5bfb724acad1240001e8f657","stim/fof_g.wav","fought_eng","German","4","o","fricative"
"61","5bfb724acad1240001e8f657","stim/fief_g.wav","fin_span","German","4.03333339","i","fricative"
"62","5bfb724acad1240001e8f657","stim/f_schwa_g.wav","fought_eng","German","1.959259316","schwa","fricative"
"63","5bfb724acad1240001e8f657","stim/feuf_g.wav","fool_eng","German","3.988889058","y","fricative"
"64","5bfb724acad1240001e8f657","stim/pief_g.wav","fin_span","German","3.996296353","i","bilabial"
"65","5bfb724acad1240001e8f657","stim/p_schwa_g.wav","fought_eng","German","3.018518519","schwa","bilabial"
"66","5bfb724acad1240001e8f657","stim/pief_g.wav","fin_span","German","3.988889058","i","bilabial"
"67","5bfb724acad1240001e8f657","stim/feuf_g.wav","fought_eng","German","3.011111224","y","fricative"
"68","5bfb724acad1240001e8f657","stim/pof_g.wav","fought_eng","German","3.955555669","o","bilabial"
"69","5bfb724acad1240001e8f657","stim/f_schwa_g.wav","fought_eng","German","3.988889058","schwa","fricative"
"70","5bfb724acad1240001e8f657","stim/fief_g.wav","fin_span","German","4.003703647","i","fricative"
"71","5bfb724acad1240001e8f657","stim/fof_g.wav","fought_eng","German","4.003703647","o","fricative"
"72","5bfb724acad1240001e8f657","stim/peuf_g.wav","fool_eng","German","4.003703647","y","bilabial"
"73","5bfb724acad1240001e8f657","stim/f_schwa_g.wav","fought_eng","German","1.988889058","schwa","fricative"
"74","5bfb724acad1240001e8f657","stim/feuf_g.wav","fought_eng","German","4.03333339","y","fricative"
"75","5bfb724acad1240001e8f657","stim/pof_g.wav","fought_eng","German","4.003703647","o","bilabial"
"76","5bfb724acad1240001e8f657","stim/p_schwa_g.wav","fought_eng","German","2.022222166","schwa","bilabial"
"77","5bfb724acad1240001e8f657","stim/pief_g.wav","fin_span","German","4","i","bilabial"
"78","5bfb724acad1240001e8f657","stim/fof_g.wav","fought_eng","German","3.988889058","o","fricative"
"79","5bfb724acad1240001e8f657","stim/peuf_g.wav","fool_eng","German","3.988889058","y","bilabial"
"80","5bfb724acad1240001e8f657","stim/fief_g.wav","fin_span","German","3.988889058","i","fricative"
"81","5c05922f4e1b7b00016af702","stim/pief_g.wav","fin_span","German","4.005208333","i","bilabial"
"82","5c05922f4e1b7b00016af702","stim/pof_g.wav","feel_eng","German","3.994791667","o","bilabial"
"83","5c05922f4e1b7b00016af702","stim/peuf_g.wav","feel_eng","German","3","y","bilabial"
"84","5c05922f4e1b7b00016af702","stim/feuf_g.wav","fin_span","German","4.979166667","y","fricative"
"85","5c05922f4e1b7b00016af702","stim/fof_g.wav","fool_eng","German","4.026041667","o","fricative"
"86","5c05922f4e1b7b00016af702","stim/p_schwa_g.wav","fought_eng","German","4.9375","schwa","bilabial"
"87","5c05922f4e1b7b00016af702","stim/fief_g.wav","feel_eng","German","4.03125","i","fricative"
"88","5c05922f4e1b7b00016af702","stim/f_schwa_g.wav","fought_eng","German","4.96875","schwa","fricative"
"89","5c05922f4e1b7b00016af702","stim/fief_g.wav","feel_eng","German","4.286458333","i","fricative"
"90","5c05922f4e1b7b00016af702","stim/f_schwa_g.wav","fought_eng","German","4.770833333","schwa","fricative"
"91","5c05922f4e1b7b00016af702","stim/fof_g.wav","fool_eng","German","4.916666667","o","fricative"
"92","5c05922f4e1b7b00016af702","stim/feuf_g.wav","fin_span","German","3.494791667","y","fricative"
"93","5c05922f4e1b7b00016af702","stim/pof_g.wav","fought_eng","German","4.161458333","o","bilabial"
"94","5c05922f4e1b7b00016af702","stim/p_schwa_g.wav","fought_eng","German","4.119791667","schwa","bilabial"
"95","5c05922f4e1b7b00016af702","stim/peuf_g.wav","feel_eng","German","3.510416667","y","bilabial"
"96","5c05922f4e1b7b00016af702","stim/pief_g.wav","fin_span","German","3.322916667","i","bilabial"
"97","5c05922f4e1b7b00016af702","stim/fof_g.wav","fool_eng","German","4.317708333","o","fricative"
"98","5c05922f4e1b7b00016af702","stim/pof_g.wav","fool_eng","German","4.322916667","o","bilabial"
"99","5c05922f4e1b7b00016af702","stim/peuf_g.wav","son_span","German","4.338541667","y","bilabial"
"100","5c05922f4e1b7b00016af702","stim/p_schwa_g.wav","fought_eng","German","3.895833333","schwa","bilabial"
"101","5c05922f4e1b7b00016af702","stim/fief_g.wav","fin_span","German","3.166666667","i","fricative"
"102","5c05922f4e1b7b00016af702","stim/pief_g.wav","fin_span","German","3.666666667","i","bilabial"
"103","5c05922f4e1b7b00016af702","stim/f_schwa_g.wav","fought_eng","German","3.59375","schwa","fricative"
"104","5c05922f4e1b7b00016af702","stim/feuf_g.wav","su_span","German","3.395833333","y","fricative"
"105","5c05922f4e1b7b00016af702","stim/peuf_g.wav","fought_eng","German","3.78125","y","bilabial"
"106","5c05922f4e1b7b00016af702","stim/fief_g.wav","fin_span","German","3.130208333","i","fricative"
"107","5c05922f4e1b7b00016af702","stim/pief_g.wav","fool_eng","German","3.291666667","i","bilabial"
"108","5c05922f4e1b7b00016af702","stim/feuf_g.wav","su_span","German","4.322916667","y","fricative"
"109","5c05922f4e1b7b00016af702","stim/pof_g.wav","son_span","German","2.677083333","o","bilabial"
"110","5c05922f4e1b7b00016af702","stim/fof_g.wav","su_span","German","3.432291667","o","fricative"
"111","5c05922f4e1b7b00016af702","stim/p_schwa_g.wav","fought_eng","German","4.244791667","schwa","bilabial"
"112","5c05922f4e1b7b00016af702","stim/f_schwa_g.wav","fought_eng","German","4.161458333","schwa","fricative"
"113","5c05922f4e1b7b00016af702","stim/fof_g.wav","fool_eng","German","3.244791667","o","fricative"
"114","5c05922f4e1b7b00016af702","stim/peuf_g.wav","feel_eng","German","3.317708333","y","bilabial"
"115","5c05922f4e1b7b00016af702","stim/feuf_g.wav","feel_eng","German","4.4375","y","fricative"
"116","5c05922f4e1b7b00016af702","stim/pief_g.wav","fin_span","German","3.354166667","i","bilabial"
"117","5c05922f4e1b7b00016af702","stim/pof_g.wav","fought_eng","German","3.223958333","o","bilabial"
"118","5c05922f4e1b7b00016af702","stim/f_schwa_g.wav","fought_eng","German","4.166666667","schwa","fricative"
"119","5c05922f4e1b7b00016af702","stim/fief_g.wav","feel_eng","German","3.510416667","i","fricative"
"120","5c05922f4e1b7b00016af702","stim/p_schwa_g.wav","fought_eng","German","4.59375","schwa","bilabial"
"121","5e3f7b673ba9991dc9cabcfa","stim/pief_g.wav","feel_eng","German","2.996296296","i","bilabial"
"122","5e3f7b673ba9991dc9cabcfa","stim/pof_g.wav","fool_eng","German","1.97037037","o","bilabial"
"123","5e3f7b673ba9991dc9cabcfa","stim/fief_g.wav","fin_span","German","3.062962963","i","fricative"
"124","5e3f7b673ba9991dc9cabcfa","stim/fof_g.wav","fool_eng","German","3.02962963","o","fricative"
"125","5e3f7b673ba9991dc9cabcfa","stim/peuf_g.wav","fun_eng","German","3.988888889","y","bilabial"
"126","5e3f7b673ba9991dc9cabcfa","stim/feuf_g.wav","fin_span","German","4.062962963","y","fricative"
"127","5e3f7b673ba9991dc9cabcfa","stim/p_schwa_g.wav","fought_eng","German","4.996296296","schwa","bilabial"
"128","5e3f7b673ba9991dc9cabcfa","stim/f_schwa_g.wav","fought_eng","German","4.988888889","schwa","fricative"
"129","5e3f7b673ba9991dc9cabcfa","stim/peuf_g.wav","fool_eng","German","4.022222222","y","bilabial"
"130","5e3f7b673ba9991dc9cabcfa","stim/p_schwa_g.wav","fought_eng","German","4.022222222","schwa","bilabial"
"131","5e3f7b673ba9991dc9cabcfa","stim/feuf_g.wav","fought_eng","German","4.022222222","y","fricative"
"132","5e3f7b673ba9991dc9cabcfa","stim/pief_g.wav","feel_eng","German","4.022222222","i","bilabial"
"133","5e3f7b673ba9991dc9cabcfa","stim/pof_g.wav","fought_eng","German","4.981481481","o","bilabial"
"134","5e3f7b673ba9991dc9cabcfa","stim/f_schwa_g.wav","fought_eng","German","4.981481481","schwa","fricative"
"135","5e3f7b673ba9991dc9cabcfa","stim/fof_g.wav","fool_eng","German","4.981481481","o","fricative"
"136","5e3f7b673ba9991dc9cabcfa","stim/fief_g.wav","fin_span","German","4.981481481","i","fricative"
"137","5e3f7b673ba9991dc9cabcfa","stim/feuf_g.wav","fought_eng","German","4.981481481","y","fricative"
"138","5e3f7b673ba9991dc9cabcfa","stim/pief_g.wav","feel_eng","German","4.985185185","i","bilabial"
"139","5e3f7b673ba9991dc9cabcfa","stim/peuf_g.wav","fool_eng","German","4.985185185","y","bilabial"
"140","5e3f7b673ba9991dc9cabcfa","stim/p_schwa_g.wav","fought_eng","German","4.985185185","schwa","bilabial"
"141","5e3f7b673ba9991dc9cabcfa","stim/fof_g.wav","fought_eng","German","4.966666667","o","fricative"
"142","5e3f7b673ba9991dc9cabcfa","stim/pof_g.wav","fought_eng","German","4.966666667","o","bilabial"
"143","5e3f7b673ba9991dc9cabcfa","stim/fief_g.wav","feel_eng","German","4.966666667","i","fricative"
"144","5e3f7b673ba9991dc9cabcfa","stim/f_schwa_g.wav","fought_eng","German","4.966666667","schwa","fricative"
"145","5e3f7b673ba9991dc9cabcfa","stim/pof_g.wav","fool_eng","German","4.966666667","o","bilabial"
"146","5e3f7b673ba9991dc9cabcfa","stim/fof_g.wav","fool_eng","German","4.966666667","o","fricative"
"147","5e3f7b673ba9991dc9cabcfa","stim/feuf_g.wav","fought_eng","German","4.966666667","y","fricative"
"148","5e3f7b673ba9991dc9cabcfa","stim/p_schwa_g.wav","fun_eng","German","4.966666667","schwa","bilabial"
"149","5e3f7b673ba9991dc9cabcfa","stim/pief_g.wav","feel_eng","German","4.966666667","i","bilabial"
"150","5e3f7b673ba9991dc9cabcfa","stim/peuf_g.wav","feel_eng","German","4.966666667","y","bilabial"
"151","5e3f7b673ba9991dc9cabcfa","stim/f_schwa_g.wav","fought_eng","German","4.966666667","schwa","fricative"
"152","5e3f7b673ba9991dc9cabcfa","stim/fief_g.wav","feel_eng","German","3.018518519","i","fricative"
"153","5e3f7b673ba9991dc9cabcfa","stim/p_schwa_g.wav","fought_eng","German","4.988888889","schwa","bilabial"
"154","5e3f7b673ba9991dc9cabcfa","stim/fief_g.wav","feel_eng","German","4.988888889","i","fricative"
"155","5e3f7b673ba9991dc9cabcfa","stim/pief_g.wav","fin_span","German","4.988888889","i","bilabial"
"156","5e3f7b673ba9991dc9cabcfa","stim/peuf_g.wav","fin_span","German","4.988888889","y","bilabial"
