stim,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,stim1,stim2,distance,isCorrect,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,fun.started,fun.stopped,fought.started,fought.stopped,feel.started,feel.stopped,fool.started,fool.stopped,son.started,son.stopped,su.started,su.stopped,fin.started,fin.stopped,instructions_task.started,instructions_task.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,stimulus.started,stimulus.stopped,text_2.started,text_2.stopped,slider.response,slider.rt,slider.started,slider.stopped,text_3.started,text_3.stopped,insructions.started,insructions.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,space,1.4910745410015807,29.134773208003026,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Mar_07_1558,vct_new,2021.2.3,60.143698454243136,
stim/faf_g.wav,0,0,0,1,,,,,,,,,,,,,28.952626375001273,None,30.900870166995446,None,30.900870166995446,None,30.900870166995446,None,30.900870166995446,None,30.900870166995446,None,30.900870166995446,None,30.900870166995446,None,30.660677332998603,None,1,1.6781289580103476,30.660677332998603,None,30.951033399696463,None,30.660677332998603,30.86768545799714,2.977777777777778,0.9807649170106743,32.37225062500511,None,32.37225062500511,None,,,,001,2022_Mar_07_1558,vct_new,2021.2.3,60.143698454243136,
stim/f_schwa_g.wav,0,1,1,0,,,,,,,,,,,,,,,33.60058341700642,None,33.60058341700642,None,33.60058341700642,None,33.60058341700642,None,33.60058341700642,None,33.60058341700642,None,33.60058341700642,None,33.366858000008506,None,4,1.0840496250020806,33.366858000008506,None,33.65038152470661,None,33.366858000008506,33.567925082999864,2.977777777777778,0.4814469169941731,34.48379329200543,None,34.48379329200543,None,,,,001,2022_Mar_07_1558,vct_new,2021.2.3,60.143698454243136,
stim/fof_g.wav,0,2,2,3,,,,,,,,,,,,,,,35.21654008299811,None,35.21654008299811,None,35.21654008299811,None,35.21654008299811,None,35.21654008299811,None,35.21654008299811,None,35.21654008299811,None,34.983570958007476,None,3,0.5761291249946225,34.983570958007476,None,35.26706364970014,None,34.983570958007476,35.184485749996384,2.977777777777778,0.8482895830093184,35.584164416999556,None,35.584164416999556,None,,,,001,2022_Mar_07_1558,vct_new,2021.2.3,60.143698454243136,
stim/pof_g.wav,0,3,3,7,,,,,,,,,,,,,,,36.684875167004066,None,36.684875167004066,None,36.684875167004066,None,36.684875167004066,None,36.684875167004066,None,36.684875167004066,None,36.684875167004066,None,36.45029758299643,None,3,1.0486333749868209,36.45029758299643,None,36.73359202470747,None,36.45029758299643,36.651157625005,2.977777777777778,0.7149388749967329,37.528103000004194,None,37.528103000004194,None,,,,001,2022_Mar_07_1558,vct_new,2021.2.3,60.143698454243136,
stim/paf_g.wav,0,4,4,5,,,,,,,,,,,,,,,38.4843174580019,None,38.4843174580019,None,38.4843174580019,None,38.4843174580019,None,38.4843174580019,None,38.4843174580019,None,38.4843174580019,None,38.25039420800749,None,4,0.6025350830022944,38.25039420800749,None,38.533731483703015,None,38.25039420800749,38.450961042006384,2.977777777777778,0.4482694589969469,38.883716833006474,None,38.883716833006474,None,,,,001,2022_Mar_07_1558,vct_new,2021.2.3,60.143698454243136,
stim/piep_g.wav,0,5,5,6,,,,,,,,,,,,,,,39.584311792001245,None,39.584311792001245,None,39.584311792001245,None,39.584311792001245,None,39.584311792001245,None,39.584311792001245,None,39.584311792001245,None,39.35021608299576,None,4,0.4905037909920793,39.35021608299576,None,39.63380735870451,None,39.35021608299576,39.550620167006855,2.977777777777778,0.48305112500383984,39.86730820800585,None,39.86730820800585,None,,,,001,2022_Mar_07_1558,vct_new,2021.2.3,60.143698454243136,
stim/fif_g.wav,0,6,6,2,,,,,,,,,,,,,,,40.601287124998635,None,40.601287124998635,None,40.601287124998635,None,40.601287124998635,None,40.601287124998635,None,40.601287124998635,None,40.601287124998635,None,40.36703958299768,None,4,0.5057547079923097,40.36703958299768,None,40.65013523370144,None,40.36703958299768,40.56745483299892,2.977777777777778,0.46399583300808445,40.90081849999842,None,40.90081849999842,None,,,,001,2022_Mar_07_1558,vct_new,2021.2.3,60.143698454243136,
stim/p_schwa_g.wav,0,7,7,4,,,,,,,,,,,,,,,41.617112708001514,None,41.617112708001514,None,41.617112708001514,None,41.617112708001514,None,41.617112708001514,None,41.617112708001514,None,41.617112708001514,None,41.38375329200062,None,4,0.4418424169998616,41.38375329200062,None,41.667253358705786,None,41.38375329200062,41.58331729199563,2.977777777777778,0.5817039160028799,41.85051345800457,None,41.85051345800457,None,,,,001,2022_Mar_07_1558,vct_new,2021.2.3,60.143698454243136,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.450748250004835,None,,,,,,,
