stim,stim1,stim2,distance,isCorrect,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,fun.started,fun.stopped,fought.started,fought.stopped,feel.started,feel.stopped,fool.started,fool.stopped,son.started,son.stopped,su.started,su.stopped,fin.started,fin.stopped,instructions_task.started,instructions_task.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,stimulus.started,stimulus.stopped,text_2.started,text_2.stopped,slider.response,slider.rt,slider.started,slider.stopped,text_3.started,text_3.stopped,insructions.started,insructions.stopped,sound_stim1.started,sound_stim1.stopped,sound_stim2.started,sound_stim2.stopped,text_response_same.started,text_response_same.stopped,text_response_diff.started,text_response_diff.stopped,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.started,key_resp_trial.stopped,text_trial_cross.started,text_trial_cross.stopped,key_resp_trial.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,space,1.0529319159977604,16.94799229199998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Mar_09_1057,vct_new,2021.2.3,59.57965090657536,
stim/fof_g.wav,,,,,0,0,0,3,,,,,,,,,16.79944416700164,None,18.31352424999932,None,18.31352424999932,None,18.31352424999932,None,18.31352424999932,None,18.31352424999932,None,18.31352424999932,None,18.31352424999932,None,18.075354041997343,None,1,15.151926541999273,18.075354041997343,None,18.363826387499284,None,18.075354041997343,18.280911499998183,3.36,1.3149055409958237,33.262876959001005,None,33.262876959001005,None,,,,,,,,,,,,,,,,,,,001,2022_Mar_09_1057,vct_new,2021.2.3,59.57965090657536,
stim/pof_g.wav,,,,,0,1,1,7,,,,,,,,,,,34.815120792001835,None,34.815120792001835,None,34.815120792001835,None,34.815120792001835,None,34.815120792001835,None,34.815120792001835,None,34.815120792001835,None,34.58031341699825,None,4,2.533903833005752,34.58031341699825,None,34.864068596495784,None,34.58031341699825,34.78128491700045,3.36,0.5982111249977606,37.14846091700019,None,37.14846091700019,None,,,,,,,,,,,,,,,,,,,001,2022_Mar_09_1057,vct_new,2021.2.3,59.57965090657536,
stim/faf_g.wav,,,,,0,2,2,1,,,,,,,,,,,37.99719216700032,None,37.99719216700032,None,37.99719216700032,None,37.99719216700032,None,37.99719216700032,None,37.99719216700032,None,37.99719216700032,None,37.76386483399983,None,1,2.004319875006331,37.76386483399983,None,38.047308304502806,None,37.76386483399983,37.96493704200111,3.128888888888889,0.8479021250022925,39.79758629199932,None,39.79758629199932,None,,,,,,,,,,,,,,,,,,,001,2022_Mar_09_1057,vct_new,2021.2.3,59.57965090657536,
stim/piep_g.wav,,,,,0,3,3,6,,,,,,,,,,,40.89720462499827,None,40.89720462499827,None,40.89720462499827,None,40.89720462499827,None,40.89720462499827,None,40.89720462499827,None,40.89720462499827,None,40.663822666996566,None,7,6.467434291000245,40.663822666996566,None,40.94748313750024,None,40.663822666996566,40.8647633340006,3.351111111111111,1.6474060409964295,47.164064541997504,None,47.164064541997504,None,,,,,,,,,,,,,,,,,,,001,2022_Mar_09_1057,vct_new,2021.2.3,59.57965090657536,
stim/p_schwa_g.wav,,,,,0,4,4,4,,,,,,,,,,,49.06406304200209,None,49.06406304200209,None,49.06406304200209,None,49.06406304200209,None,49.06406304200209,None,49.06406304200209,None,49.06406304200209,None,48.829834333999315,None,5,2.5514405830035685,48.829834333999315,None,49.1146575124978,None,48.829834333999315,49.03138945899991,3.1911111111111112,1.2147205000001122,51.4151665419995,None,51.4151665419995,None,,,,,,,,,,,,,,,,,,,001,2022_Mar_09_1057,vct_new,2021.2.3,59.57965090657536,
stim/fif_g.wav,,,,,0,5,5,2,,,,,,,,,,,52.88109487499605,None,52.88109487499605,None,52.88109487499605,None,52.88109487499605,None,52.88109487499605,None,52.88109487499605,None,52.88109487499605,None,52.64765083399834,None,4,0.660897957997804,52.64765083399834,None,52.93098688750179,None,52.64765083399834,52.84736204199726,3.1911111111111112,0.38123704199824715,53.3310265839973,None,53.3310265839973,None,,,,,,,,,,,,,,,,,,,001,2022_Mar_09_1057,vct_new,2021.2.3,59.57965090657536,
stim/paf_g.wav,,,,,0,6,6,5,,,,,,,,,,,53.96489612499863,None,53.96489612499863,None,53.96489612499863,None,53.96489612499863,None,53.96489612499863,None,53.96489612499863,None,53.96489612499863,None,53.73110158400232,None,4,0.512288375000935,53.73110158400232,None,54.01440267949802,None,53.73110158400232,53.93174824999733,3.1911111111111112,0.2648338330036495,54.27388091699686,None,54.27388091699686,None,,,,,,,,,,,,,,,,,,,001,2022_Mar_09_1057,vct_new,2021.2.3,59.57965090657536,
stim/f_schwa_g.wav,,,,,0,7,7,0,,,,,,,,,,,54.78086333400279,None,54.78086333400279,None,54.78086333400279,None,54.78086333400279,None,54.78086333400279,None,54.78086333400279,None,54.78086333400279,None,54.548716917001,None,4,0.6185169169984874,54.548716917001,None,54.83252901250235,None,54.548716917001,54.74979483400239,3.1911111111111112,0.1815732089962694,55.197863000001234,None,55.197863000001234,None,,,,,,,,,,,,,,,,,,,001,2022_Mar_09_1057,vct_new,2021.2.3,59.57965090657536,
,stim/Step_2.wav,stim/Step_3.wav,-1,1,,,,,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.397794750002504,None,56.58099117949605,56.83180454200192,57.331878262502144,57.581932417000644,56.58215279199794,None,56.58215279199794,None,None,0,57.33167012500053,None,56.33424283399654,56.54929779200029,,,001,2022_Mar_09_1057,vct_new,2021.2.3,59.57965090657536,
