key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
space,0.33742804199573584,6.563946624999517,None,,, ,001,2022_Mar_07_1214,vct_new,2021.2.3,60.12299674348352,
,,,,6.358829333999893,None,,,,,,,
