key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,fun.started,fun.stopped,fought.started,fought.stopped,feel.started,feel.stopped,fool.started,fool.stopped,son.started,son.stopped,su.started,su.stopped,fin.started,fin.stopped,instructions_task.started,instructions_task.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
space,0.9591249160002917,8.061500625000917,None,,,,,,,,,,,,,,,,,,,,,,, ,001,2022_Mar_07_1216,vct_new,2021.2.3,59.583984382229296,
,,,,7.870781165998778,None,9.111002957986784,None,9.111002957986784,None,9.111002957986784,None,9.111002957986784,None,9.111002957986784,None,9.111002957986784,None,9.111002957986784,None,9.044348665993311,None,1,2.682963248997112,9.044348665993311,None, ,001,2022_Mar_07_1216,vct_new,2021.2.3,59.583984382229296,
