word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,button.started,button.stopped,button.numClicks,button.timesOn,button.timesOff,button_2.started,button_2.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,participant,session,date,expName,psychopyVersion,frameRate,
stim2,0,0,0,1,20.35663312500037,None,20.35663312500037,None,1,[1.835409332998097],[1.8354131250016508],20.35663312500037,None,0,,,,001,2022_Mar_05_1359,simple_text,2021.2.3,59.94408715264339,
stim3,0,1,1,2,22.665680041998712,None,22.665680041998712,None,2,"[1.835409332998097, 0.6341185409983154]","[1.8354131250016508, 0.6341214159983792]",22.665680041998712,None,0,,,,001,2022_Mar_05_1359,simple_text,2021.2.3,59.94408715264339,
stim1,0,2,2,0,23.78187358300056,None,23.78187358300056,None,3,"[1.835409332998097, 0.6341185409983154, 0.4825620829979016]","[1.8354131250016508, 0.6341214159983792, 0.4825644579977961]",23.78187358300056,None,0,,,,001,2022_Mar_05_1359,simple_text,2021.2.3,59.94408715264339,
stim2,1,0,3,1,24.74893704200076,None,24.74893704200076,None,4,"[1.835409332998097, 0.6341185409983154, 0.4825620829979016, 0.5174342499994964]","[1.8354131250016508, 0.6341214159983792, 0.4825644579977961, 0.5174368330008292]",24.74893704200076,None,0,,,,001,2022_Mar_05_1359,simple_text,2021.2.3,59.94408715264339,
stim1,1,1,4,0,25.74922158299887,None,25.74922158299887,None,5,"[1.835409332998097, 0.6341185409983154, 0.4825620829979016, 0.5174342499994964, 0.41811541600327473]","[1.8354131250016508, 0.6341214159983792, 0.4825644579977961, 0.5174368330008292, 0.4181182910033385]",25.74922158299887,None,0,,,,001,2022_Mar_05_1359,simple_text,2021.2.3,59.94408715264339,
stim3,1,2,5,2,26.649057708000328,None,26.649057708000328,None,6,"[1.835409332998097, 0.6341185409983154, 0.4825620829979016, 0.5174342499994964, 0.41811541600327473, 0.38427745800072444]","[1.8354131250016508, 0.6341214159983792, 0.4825644579977961, 0.5174368330008292, 0.4181182910033385, 0.3842802079998364]",26.649057708000328,None,0,,,,001,2022_Mar_05_1359,simple_text,2021.2.3,59.94408715264339,
