key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
space,1.274733373997151,5.6299091249966295,None,,,,001,2022_Mar_07_1212,vct_new,2021.2.3,59.91943831559585,
,,,,5.444945374998497,None,,,,,,,
