key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
space,1.5304722909932025,17.681206415989436,None,,,,001,2022_Mar_07_1204,vct_new,2021.2.3,59.88014987887342,
,,,,17.493701457991847,None,,,,,,,
