stim,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,fun.started,fun.stopped,fought.started,fought.stopped,feel.started,feel.stopped,fool.started,fool.stopped,son.started,son.stopped,su.started,su.stopped,fin.started,fin.stopped,instructions_task.started,instructions_task.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,stimulus.started,stimulus.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,space,1.712953958005528,8.658578624992515,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_Mar_07_1233,vct_new,2021.2.3,59.29066135010046,
stim/pof_g.wav,0,0,0,7,,,,,8.471605665996321,None,10.490473208003095,None,10.490473208003095,None,10.490473208003095,None,10.490473208003095,None,10.490473208003095,None,10.490473208003095,None,10.490473208003095,None,10.421688207992702,None,4,5.835794291997445,10.421688207992702,None,10.490823987500335,None,,001,2022_Mar_07_1233,vct_new,2021.2.3,59.29066135010046,
stim/fif_g.wav,0,1,1,2,,,,,,,16.3750336660014,None,16.3750336660014,None,16.3750336660014,None,16.3750336660014,None,16.3750336660014,None,16.3750336660014,None,16.3750336660014,None,16.290559957997175,None,3,5.888608249995741,16.290559957997175,None,16.374465070497536,None,,001,2022_Mar_07_1233,vct_new,2021.2.3,59.29066135010046,
stim/piep_g.wav,0,2,2,6,,,,,,,22.291112249993603,None,22.291112249993603,None,22.291112249993603,None,22.291112249993603,None,22.291112249993603,None,22.291112249993603,None,22.291112249993603,None,22.20764391600096,None,3,2.2814071669999976,22.20764391600096,None,22.291825153493846,None,,001,2022_Mar_07_1233,vct_new,2021.2.3,59.29066135010046,
stim/p_schwa_g.wav,0,3,3,4,,,,,,,24.591079707999597,None,24.591079707999597,None,24.591079707999597,None,24.591079707999597,None,24.591079707999597,None,24.591079707999597,None,24.591079707999597,None,24.510600499997963,None,1,4.509048708001501,24.510600499997963,None,24.591108278495085,None,,001,2022_Mar_07_1233,vct_new,2021.2.3,59.29066135010046,
stim/faf_g.wav,0,4,4,1,,,,,,,29.124693499994464,None,29.124693499994464,None,29.124693499994464,None,29.124693499994464,None,29.124693499994464,None,29.124693499994464,None,29.124693499994464,None,29.04126112499216,None,2,3.105279124007211,29.04126112499216,None,29.12586661249952,None,,001,2022_Mar_07_1233,vct_new,2021.2.3,59.29066135010046,
stim/fof_g.wav,0,5,5,3,,,,,,,32.257950040992,None,32.257950040992,None,32.257950040992,None,32.257950040992,None,32.257950040992,None,32.257950040992,None,32.257950040992,None,32.17517741599295,None,5,3.638426083009108,32.17517741599295,None,32.259050195491,None,,001,2022_Mar_07_1233,vct_new,2021.2.3,59.29066135010046,
stim/paf_g.wav,0,6,6,5,,,,,,,35.92478029099584,None,35.92478029099584,None,35.92478029099584,None,35.92478029099584,None,35.92478029099584,None,35.92478029099584,None,35.92478029099584,None,35.8415689579997,None,1,3.480069415993057,35.8415689579997,None,35.92584811249253,None,,001,2022_Mar_07_1233,vct_new,2021.2.3,59.29066135010046,
stim/f_schwa_g.wav,0,7,7,0,,,,,,,39.424731666003936,None,39.424731666003936,None,39.424731666003936,None,39.424731666003936,None,39.424731666003936,None,39.424731666003936,None,39.424731666003936,None,39.341130082990276,None,5,1.4286976250004955,39.341130082990276,None,39.42475565350469,None,,001,2022_Mar_07_1233,vct_new,2021.2.3,59.29066135010046,
