key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
space,0.744599957994069,7.905416207999224,None,,,,001,2022_Mar_07_1144,vct_new,2021.2.3,59.94242530346606,
,,,,7.717488000009325,None,,,,,,,
