stim,phone,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fleece.started,fleece.stopped,fleece.numClicks,fleece.timesOn,fleece.timesOff,foot.started,foot.stopped,foot.numClicks,foot.timesOn,foot.timesOff,strut.started,strut.stopped,strut.numClicks,strut.timesOn,strut.timesOff,stimulus.started,stimulus.stopped,puso.started,puso.stopped,puso.numClicks,puso.timesOn,puso.timesOff,button_2.started,button_2.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,ins.started,ins.stopped,cross.started,cross.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
stim/u.wav,u,0,0,0,1,6.578989666013513,None,0,,,6.578989666013513,None,0,,,6.578989666013513,None,0,,,6.578045182733331,None,6.578989666013513,None,1,[2.1336204999824986],[2.133623124973383],6.578989666013513,None,0,,,6.578989666013513,None,6.094546958047431,6.594519375008531,,,,,,,,001,2021_Sep_28_1658,untitled,2021.2.3,60.01563407294697,
stim/o.wav,o,0,1,1,0,9.194366458046716,None,0,,,9.194366458046716,None,1,[1.3336025419994257],[1.3336050829966553],9.194366458046716,None,0,,,9.195063391746952,None,9.194366458046716,None,1,[2.1336204999824986],[2.133623124973383],9.194366458046716,None,0,,,9.194366458046716,None,8.711364875023719,9.211113916011527,,,,,,,,001,2021_Sep_28_1658,untitled,2021.2.3,60.01563407294697,
stim/u.wav,u,1,0,2,1,11.011072541004978,None,0,,,11.011072541004978,None,1,[1.3336025419994257],[1.3336050829966553],11.011072541004978,None,1,[1.6008713329792954],[1.6008736250223592],11.011414599709678,None,11.011072541004978,None,1,[2.1336204999824986],[2.133623124973383],11.011072541004978,None,0,,,11.011072541004978,None,10.52795529103605,11.027776541013736,,,,,,,,001,2021_Sep_28_1658,untitled,2021.2.3,60.01563407294697,
stim/o.wav,o,1,1,3,0,13.094566791027319,None,0,,,13.094566791027319,None,1,[1.3336025419994257],[1.3336050829966553],13.094566791027319,None,1,[1.6008713329792954],[1.6008736250223592],13.095316807727794,None,13.094566791027319,None,1,[2.1336204999824986],[2.133623124973383],13.094566791027319,None,1,[1.8828919589868747],[1.8828942499822006],13.094566791027319,None,12.611544166051317,13.111438208026811,,,,,,,,001,2021_Sep_28_1658,untitled,2021.2.3,60.01563407294697,
stim/u.wav,u,2,0,4,1,15.461004083044827,None,0,,,15.461004083044827,None,1,[1.3336025419994257],[1.3336050829966553],15.461004083044827,None,2,"[1.6008713329792954, 3.1676849169889465]","[1.6008736250223592, 3.167687457986176]",15.46145239174366,None,15.461004083044827,None,1,[2.1336204999824986],[2.133623124973383],15.461004083044827,None,1,[1.8828919589868747],[1.8828942499822006],15.461004083044827,None,14.97795233305078,15.477762625028845,,,,,,,,001,2021_Sep_28_1658,untitled,2021.2.3,60.01563407294697,
stim/o.wav,o,2,1,5,0,19.11010333301965,None,0,,,19.11010333301965,None,1,[1.3336025419994257],[1.3336050829966553],19.11010333301965,None,2,"[1.6008713329792954, 3.1676849169889465]","[1.6008736250223592, 3.167687457986176]",19.11016964172013,None,19.11010333301965,None,1,[2.1336204999824986],[2.133623124973383],19.11010333301965,None,2,"[1.8828919589868747, 1.152103625005111]","[1.8828942499822006, 1.1521060829982162]",19.11010333301965,None,18.627662416023668,19.127532458049245,,,,,,,,001,2021_Sep_28_1658,untitled,2021.2.3,60.01563407294697,
stim/u.wav,u,3,0,6,1,20.74484737502644,None,0,,,20.74484737502644,None,1,[1.3336025419994257],[1.3336050829966553],20.74484737502644,None,2,"[1.6008713329792954, 3.1676849169889465]","[1.6008736250223592, 3.167687457986176]",20.745126474753487,None,20.74484737502644,None,1,[2.1336204999824986],[2.133623124973383],20.74484737502644,None,3,"[1.8828919589868747, 1.152103625005111, 1.3674289580085315]","[1.8828942499822006, 1.1521060829982162, 1.3674316249671392]",20.74484737502644,None,20.26146187505219,20.76122279104311,,,,,,,,001,2021_Sep_28_1658,untitled,2021.2.3,60.01563407294697,
stim/o.wav,o,3,1,7,0,22.594888666004408,None,0,,,22.594888666004408,None,1,[1.3336025419994257],[1.3336050829966553],22.594888666004408,None,2,"[1.6008713329792954, 3.1676849169889465]","[1.6008736250223592, 3.167687457986176]",22.595217682700603,None,22.594888666004408,None,1,[2.1336204999824986],[2.133623124973383],22.594888666004408,None,4,"[1.8828919589868747, 1.152103625005111, 1.3674289580085315, 1.1669045420130715]","[1.8828942499822006, 1.1521060829982162, 1.3674316249671392, 1.1669068339979276]",22.594888666004408,None,22.11163854104234,22.611340791045222,,,,,,,,001,2021_Sep_28_1658,untitled,2021.2.3,60.01563407294697,
stim/u.wav,u,4,0,8,1,24.24475054105278,None,0,,,24.24475054105278,None,1,[1.3336025419994257],[1.3336050829966553],24.24475054105278,None,2,"[1.6008713329792954, 3.1676849169889465]","[1.6008736250223592, 3.167687457986176]",24.245252516749314,None,24.24475054105278,None,2,"[2.1336204999824986, 2.0173899169894867]","[2.133623124973383, 2.017392208974343]",24.24475054105278,None,4,"[1.8828919589868747, 1.152103625005111, 1.3674289580085315, 1.1669045420130715]","[1.8828942499822006, 1.1521060829982162, 1.3674316249671392, 1.1669068339979276]",24.24475054105278,None,23.761650125030428,24.261224166024476,,,,,,,,001,2021_Sep_28_1658,untitled,2021.2.3,60.01563407294697,
stim/o.wav,o,4,1,9,0,26.74484412500169,None,0,,,26.74484412500169,None,1,[1.3336025419994257],[1.3336050829966553],26.74484412500169,None,2,"[1.6008713329792954, 3.1676849169889465]","[1.6008736250223592, 3.167687457986176]",26.745863474719226,None,26.74484412500169,None,2,"[2.1336204999824986, 2.0173899169894867]","[2.133623124973383, 2.017392208974343]",26.74484412500169,None,5,"[1.8828919589868747, 1.152103625005111, 1.3674289580085315, 1.1669045420130715, 1.1995281250565313]","[1.8828942499822006, 1.1521060829982162, 1.3674316249671392, 1.1669068339979276, 1.1995304580195807]",26.74484412500169,None,26.261465958028566,26.761562958010472,,,,,,,,001,2021_Sep_28_1658,untitled,2021.2.3,60.01563407294697,
