key_resp_2.keys,key_resp_2.rt,key_resp_5.keys,key_resp_5.rt,slider_2.response,slider_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,stim,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,12.666,p,18.006,2.951388889,5.038,0,0,0,1,1,stim/sos.wav,6125b040ffa3c0b9e67b92c9,001,2021-10-26_20h05.19.667,phoneme_categorization_task,2021.2.3,Win32,60.0240096,,,,,,,,,,,
,,z,9.751,3.958333333,3.043,0,1,1,0,1,stim/sis.wav,6125b040ffa3c0b9e67b92c9,001,2021-10-26_20h05.19.667,phoneme_categorization_task,2021.2.3,Win32,60.0240096,,,,,,,,,,,
,,,,,,,,,,,stim/sus.wav,6125b040ffa3c0b9e67b92c9,001,2021-10-26_20h05.19.667,phoneme_categorization_task,2021.2.3,Win32,60.0240096,space,2.279,p,19.469,2.013888889,1.542,0,0,0,2,1
,,,,,,,,,,,stim/sos.wav,6125b040ffa3c0b9e67b92c9,001,2021-10-26_20h05.19.667,phoneme_categorization_task,2021.2.3,Win32,60.0240096,,,p,7.633,3.034722222,1.71,0,1,1,1,1
,,,,,,,,,,,stim/sys.wav,6125b040ffa3c0b9e67b92c9,001,2021-10-26_20h05.19.667,phoneme_categorization_task,2021.2.3,Win32,60.0240096,,,z,4.951,4.027777778,1.873,0,2,2,3,1
,,,,,,,,,,,stim/sis.wav,6125b040ffa3c0b9e67b92c9,001,2021-10-26_20h05.19.667,phoneme_categorization_task,2021.2.3,Win32,60.0240096,,,q,3.034,4.951388889,1.54,0,3,3,0,1
,,,,,,,,,,,stim/sis.wav,6125b040ffa3c0b9e67b92c9,001,2021-10-26_20h05.19.667,phoneme_categorization_task,2021.2.3,Win32,60.0240096,,,q,2.585,4.979166667,1.466,1,0,4,0,1
,,,,,,,,,,,stim/sos.wav,6125b040ffa3c0b9e67b92c9,001,2021-10-26_20h05.19.667,phoneme_categorization_task,2021.2.3,Win32,60.0240096,,,p,2.155,3.020833333,2.091,1,1,5,1,1
,,,,,,,,,,,stim/sus.wav,6125b040ffa3c0b9e67b92c9,001,2021-10-26_20h05.19.667,phoneme_categorization_task,2021.2.3,Win32,60.0240096,,,m,6.534,2.069444444,1.579,1,2,6,2,1
,,,,,,,,,,,stim/sys.wav,6125b040ffa3c0b9e67b92c9,001,2021-10-26_20h05.19.667,phoneme_categorization_task,2021.2.3,Win32,60.0240096,,,q,3.168,3.993055556,2.222,1,3,7,3,1
,,,,,,,,,,,stim/sus.wav,6125b040ffa3c0b9e67b92c9,001,2021-10-26_20h05.19.667,phoneme_categorization_task,2021.2.3,Win32,60.0240096,,,m,1.801,2.166666667,1.843,2,0,8,2,1
,,,,,,,,,,,stim/sis.wav,6125b040ffa3c0b9e67b92c9,001,2021-10-26_20h05.19.667,phoneme_categorization_task,2021.2.3,Win32,60.0240096,,,q,3.117,4.027777778,1.909,2,1,9,0,1
,,,,,,,,,,,stim/sos.wav,6125b040ffa3c0b9e67b92c9,001,2021-10-26_20h05.19.667,phoneme_categorization_task,2021.2.3,Win32,60.0240096,,,p,3.054,5.020833333,3.206,2,2,10,1,1
,,,,,,,,,,,stim/sys.wav,6125b040ffa3c0b9e67b92c9,001,2021-10-26_20h05.19.667,phoneme_categorization_task,2021.2.3,Win32,60.0240096,,,z,5.717,2.986111111,1.742,2,3,11,3,1
,,,,,,,,,,,stim/sis.wav,6125b040ffa3c0b9e67b92c9,001,2021-10-26_20h05.19.667,phoneme_categorization_task,2021.2.3,Win32,60.0240096,,,z,4.967,3.006944444,1.991,3,0,12,0,1
,,,,,,,,,,,stim/sys.wav,6125b040ffa3c0b9e67b92c9,001,2021-10-26_20h05.19.667,phoneme_categorization_task,2021.2.3,Win32,60.0240096,,,z,2.816,3.930555556,1.11,3,1,13,3,1
,,,,,,,,,,,stim/sos.wav,6125b040ffa3c0b9e67b92c9,001,2021-10-26_20h05.19.667,phoneme_categorization_task,2021.2.3,Win32,60.0240096,,,m,3.332,2.013888889,2.291,3,2,14,1,1
,,,,,,,,,,,stim/sus.wav,6125b040ffa3c0b9e67b92c9,001,2021-10-26_20h05.19.667,phoneme_categorization_task,2021.2.3,Win32,60.0240096,,,m,3.4,2.006944444,1.804,3,3,15,2,1
,,,,,,,,,,,stim/sis.wav,6125b040ffa3c0b9e67b92c9,001,2021-10-26_20h05.19.667,phoneme_categorization_task,2021.2.3,Win32,60.0240096,,,z,3.351,3.986111111,1.471,4,0,16,0,1
,,,,,,,,,,,stim/sos.wav,6125b040ffa3c0b9e67b92c9,001,2021-10-26_20h05.19.667,phoneme_categorization_task,2021.2.3,Win32,60.0240096,,,p,1.871,2.986111111,1.649,4,1,17,1,1
,,,,,,,,,,,stim/sus.wav,6125b040ffa3c0b9e67b92c9,001,2021-10-26_20h05.19.667,phoneme_categorization_task,2021.2.3,Win32,60.0240096,,,m,10.353,1.013888889,2.722,4,2,18,2,1
,,,,,,,,,,,stim/sys.wav,6125b040ffa3c0b9e67b92c9,001,2021-10-26_20h05.19.667,phoneme_categorization_task,2021.2.3,Win32,60.0240096,,,z,3.857,3.041666667,1.674,4,3,19,3,1
