stim,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_6.started,text_6.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,seek_3.started,seek_3.stopped,seek_3.numClicks,seek_3.timesOn,seek_3.timesOff,sock_3.started,sock_3.stopped,sock_3.numClicks,sock_3.timesOn,sock_3.timesOff,son_3.started,son_3.stopped,son_3.numClicks,son_3.timesOn,son_3.timesOff,stimulus_3.started,stimulus_3.stopped,sin_sp_3.started,sin_sp_3.stopped,sin_sp_3.numClicks,sin_sp_3.timesOn,sin_sp_3.timesOff,son_sp_3.started,son_sp_3.stopped,son_sp_3.numClicks,son_sp_3.timesOn,son_sp_3.timesOff,ins_3.started,ins_3.stopped,cross_3.started,cross_3.stopped,su_3.started,su_3.stopped,su_3.numClicks,su_3.timesOn,su_3.timesOff,soon_3.started,soon_3.stopped,soon_3.numClicks,soon_3.timesOn,soon_3.timesOff,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,top_ins_2.started,top_ins_2.stopped,bottom_ins_2.started,bottom_ins_2.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_7.started,text_7.stopped,stimulus_4.started,stimulus_4.stopped,ins_4.started,ins_4.stopped,cross_4.started,cross_4.stopped,seek_text.started,seek_text.stopped,sock_text.started,sock_text.stopped,such_text.started,such_text.stopped,soon_text.started,soon_text.stopped,sin_text.started,sin_text.stopped,son_text.started,son_text.stopped,su_text.started,su_text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,slider.response,slider.rt,slider.started,slider.stopped,top_ins.started,top_ins.stopped,bottom_ins.started,bottom_ins.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,30.770358375000797,None,space,1.063952500000596,30.770358375000797,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Oct_23_1538,untitled,2021.2.3,59.83472142069701,
stim/sos.wav,0,0,0,1,,,,,,,,,,,32.36376683399976,None,0,,,32.36376683399976,None,1,[0.7675646250008867],[0.7675671249999141],32.36376683399976,None,0,,,32.355404000001,None,32.36376683399976,None,0,,,32.36376683399976,None,0,,,32.36376683399976,None,31.863546833999862,32.37845337500039,32.36376683399976,None,0,,,32.36376683399976,None,0,,,3.5933333333333333,0.6782213329988735,33.123656292000305,None,33.123656292000305,None,33.123656292000305,None,33.123656292000305,None,33.123656292000305,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Oct_23_1538,untitled,2021.2.3,59.83472142069701,
stim/sis.wav,0,1,1,0,,,,,,,,,,,34.306777417001285,None,0,,,34.306777417001285,None,1,[0.7675646250008867],[0.7675671249999141],34.306777417001285,None,0,,,34.30625900000014,None,34.306777417001285,None,0,,,34.306777417001285,None,0,,,34.306777417001285,None,33.82212241700108,34.323081667000224,34.306777417001285,None,0,,,34.306777417001285,None,1,[0.4990709579997201],[0.49907308299953],4.406666666666667,0.5143862089989852,34.80530891700073,None,34.80530891700073,None,34.80530891700073,None,34.80530891700073,None,34.80530891700073,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Oct_23_1538,untitled,2021.2.3,59.83472142069701,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.6528889989986055,35.339037625000856,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Oct_23_1538,untitled,2021.2.3,59.83472142069701,
stim/sys.wav,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.339037625000856,None,36.50628708400036,None,36.50526291700044,None,36.025241875000575,36.53873016699981,36.50526291700044,None,36.50526291700044,None,36.50526291700044,None,36.50526291700044,None,36.50526291700044,None,36.50526291700044,None,36.50526291700044,None,q,14.833315624000534,36.025241875000575,None,4.4,1.1305026249992807,50.888846208999894,None,50.888846208999894,None,50.888846208999894,None,50.888846208999894,None,50.888846208999894,None,,001,2021_Oct_23_1538,untitled,2021.2.3,59.83472142069701,
stim/sos.wav,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.52338333400003,None,52.522753209001166,None,52.03856195899971,52.53884300000027,52.522753209001166,None,52.522753209001166,None,52.522753209001166,None,52.522753209001166,None,52.522753209001166,None,52.522753209001166,None,52.522753209001166,None,y,1.4701934570002777,52.03856195899971,None,4.4,1.1478439580005215,53.53874512500079,None,53.53874512500079,None,53.53874512500079,None,53.53874512500079,None,53.53874512500079,None,,001,2021_Oct_23_1538,untitled,2021.2.3,59.83472142069701,
stim/sis.wav,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.188688834000644,None,55.188829083999735,None,54.70599879200017,55.20550270900094,55.188829083999735,None,55.188829083999735,None,55.188829083999735,None,55.188829083999735,None,55.188829083999735,None,55.188829083999735,None,55.188829083999735,None,p,1.437978624000607,54.70599879200017,None,4.4,0.7812720000001718,56.17230791700058,None,56.17230791700058,None,56.17230791700058,None,56.17230791700058,None,56.17230791700058,None,,001,2021_Oct_23_1538,untitled,2021.2.3,59.83472142069701,
stim/sus.wav,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.456310042001135,None,57.4559835,None,56.9720448750013,57.47271020900007,57.4559835,None,57.4559835,None,57.4559835,None,57.4559835,None,57.4559835,None,57.4559835,None,57.4559835,None,g,1.3317387079987384,56.9720448750013,None,4.4,0.914729541998895,58.3223883339997,None,58.3223883339997,None,58.3223883339997,None,58.3223883339997,None,58.3223883339997,None,,001,2021_Oct_23_1538,untitled,2021.2.3,59.83472142069701,
stim/sys.wav,,,,,1,0,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.739867999999845,None,59.73955150000074,None,59.25602187500044,59.7556434170001,59.73955150000074,None,59.73955150000074,None,59.73955150000074,None,59.73955150000074,None,59.73955150000074,None,59.73955150000074,None,59.73955150000074,None,z,1.5098508739993122,59.25602187500044,None,2.6266666666666665,1.0144449589988653,60.78910379199988,None,60.78910379199988,None,60.78910379199988,None,60.78910379199988,None,60.78910379199988,None,,001,2021_Oct_23_1538,untitled,2021.2.3,59.83472142069701,
stim/sus.wav,,,,,1,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.306572874999986,None,62.30613954200089,None,61.82227570900068,62.32244054200055,62.30613954200089,None,62.30613954200089,None,62.30613954200089,None,62.30613954200089,None,62.30613954200089,None,62.30613954200089,None,62.30613954200089,None,v,1.4127802080001857,61.82227570900068,None,3.033333333333333,0.7982828340009291,63.25585599999977,None,63.25585599999977,None,63.25585599999977,None,63.25585599999977,None,63.25585599999977,None,,001,2021_Oct_23_1538,untitled,2021.2.3,59.83472142069701,
