session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
62c9e588c556f86da290eb39,60d6394a300a5e5eab28aac1,APPROVED,2022-07-09 20:31:10.612000,2022-07-09 20:39:21.424000,490.812,23,67,0,100,2022-07-09 20:40:20.993000,NOCODE,United States,United States,DATA EXPIRED,English,English,United States,Female,Yes
62c9e75f1471eb31a912ef4c,60fef4f0e296f6e528f45a51,RETURNED,2022-07-09 20:38:58.023000,,20837.352707,20,187,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62c9e8c946293455a1bc7184,5e076e0c53e8461018058048,AWAITING REVIEW,2022-07-09 20:45:17.032000,2022-07-09 21:01:07.371000,950.339,53,144,0,100,,NOCODE,United States,United States,Other,English,English,United States,Female,No
62c9e922b41e766bb356f40d,60ff9bc2f984e562c58812f6,AWAITING REVIEW,2022-07-09 20:46:30.312000,2022-07-09 20:52:25.505000,355.193,22,82,1,99,,NOCODE,United States,United States,DATA EXPIRED,Farsi,"Farsi, English",United States,Female,Yes
62c9eacd1633a3bb5f6e2e3d,5d4bed118cbe900016c1f6d0,RETURNED,2022-07-09 20:53:37.292000,,19958.125567,30,690,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62c9eaf3942cc05bd7ca4a35,60b296b907e5c81c0ea774fb,AWAITING REVIEW,2022-07-09 20:54:19.026000,2022-07-09 21:34:05.330000,2386.304,47,575,1,100,,NOCODE,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,English,United States,Female,No
62c9eb4f431e634957858410,60a2c25b9ee91ba606a45f5d,AWAITING REVIEW,2022-07-09 20:56:41.624000,2022-07-09 21:11:21.055000,879.431,27,388,5,97,,NOCODE,United States,United States,Part-Time,English,English,United States,Female,No
62c9eb947aa1cb73a8e4c789,610462fe9130a29881eeb085,RETURNED,2022-07-09 20:56:56.718000,,19758.735883,34,1377,3,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62c9ec99eab4b2d54924b63c,62be1aa003ee7631a82cf04c,AWAITING REVIEW,2022-07-09 21:01:15.522000,2022-07-09 21:07:45.520000,389.998,31,2,0,100,,NOCODE,United States,United States,Full-Time,English,English,United States,Male,No
62c9ecca97341c19a9c83a95,5d26b1a4c22768000166c809,AWAITING REVIEW,2022-07-09 21:02:09.893000,2022-07-09 21:07:56.784000,346.891,35,1390,11,99,,NOCODE,United States,United States,Unemployed (and job seeking),English,English,United States,Female,No
62c9ecd7db537cbead391a11,612962f44f151ddfd0298c52,RETURNED,2022-07-09 21:02:25.024000,,19430.464825,62,1,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62c9ecf1f266b114ad1abdcd,5a063c2d844c7a00015e477d,RETURNED,2022-07-09 21:02:46.483000,,19409.020901,33,1109,4,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62c9ecf5c290c2187beb27c2,616cd7d2ade7fb7148eeed39,RETURNED,2022-07-09 21:02:47.517000,,19408.000014,18,286,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
