"","group","language","mean_p","hdi_lo","hdi_hi"
"1","English","French",0.387252032640498,-0.0263272670260312,0.800430495511016
"2","English","German",0.365391080154897,-0.038874334274104,0.749848598447009
"3","Spanish","French",0.018934408895193,-0.397332882016106,0.375194211744176
"4","Spanish","German",-0.141832447351861,-0.56576706810419,0.204282336831147
