"","X","prolific_id","l2_ao","l2_aoa","l2_prof_production","l2_prof_perception","L1_group"
"1",1,"5edcfe625cd39c9efd5cc2ae","8","8",4,4,"English"
"2",2,"5bebd4111296920001d55c5a","14","20+",6,6,"English"
"3",3,"5fed41e3e14422f5e308c6e5","14","18",5,5,"English"
"4",4,"5dc483cf74939e34e55c3619","20+","20+",4,5,"English"
"5",5,"5ff5f7ad932d56101bf7c90d","12","18",6,5,"English"
"6",6,"5898b6e256357700011c2c6b","20+","20+",5,5,"English"
"7",8,"5f989fa02b5a611b2df1a305","12","16",5,5,"English"
"8",9,"5fa4c21a04bc5912180291bc","13","20+",4,2,"English"
"9",10,"60fd444309e999dd905f78f8","13","16",3,3,"English"
"10",11,"5f9b6cc0e01ad13902b38f60","20+","20+",3,3,"English"
"11",15,"5977e3867412f8000194e1fe","10","16",3,3,"English"
"12",17,"6108295fdd0270d7544b5a8a","19","20+",1,2,"English"
"13",18,"5e869a2ada38292db0605de5","20+","20+",2,4,"English"
"14",19,"5e483052a742a3000f7c15e8","12","14",3,4,"English"
"15",21,"6277cd4fea5f69868617658b","8","20+",2,2,"English"
"16",23,"5b9f09697b196f000195e1ed","13","16",3,4,"English"
"17",28,"611112142433b5e95c84acd9","7","20+",3,4,"English"
"18",31,"6094c0e7af94737806eca8f2","6","17",6,5,"English"
"19",34,"60528f0a86ecd7828ccd7492","15","17",4,4,"English"
"20",44,"5b7aefd06c1ccb000178b710","18","20+",2,3,"English"
"21",49,"5bf08d054863520001b1e1dc","13","13",1,1,"English"
"22",1,"61390220e2050f8b8bf41f27","7","15",5,6,"Spanish"
"23",2,"60b805f47d6292141781c36e","3","12",5,5,"Spanish"
"24",3,"6142883565f2f12724b5e613","5","0",5,6,"Spanish"
"25",4,"5f3cc983e81de700092fa67e","4","12",4,4,"Spanish"
"26",5,"615b4d67bd21e66571f5581b","3","10",6,6,"Spanish"
"27",6,"613abdfce6575a7bc72a6b85","10","15",4,5,"Spanish"
"28",7,"613cdc44e90da78d34e36cf9","4","16",4,5,"Spanish"
"29",8,"6142102f6c590438c4704e3f","6","12",5,5,"Spanish"
"30",9,"5ab33d98580b990001730708","10","12",4,6,"Spanish"
"31",10,"614413848bec31a0e770cc25","15","20+",3,4,"Spanish"
"32",11,"613af18151be953036664b9a","12","20+",5,5,"Spanish"
"33",12,"614215e5a85111f66a9abbfc","12","16",5,6,"Spanish"
"34",13,"613bcc7803e6e071da0b7b3f","4","6",4,6,"Spanish"
"35",14,"5bd764370aac450001f94690","6","10",5,5,"Spanish"
"36",15,"614a6c398ca700d6d8d520d8","6","7",5,5,"Spanish"
"37",17,"616ed97200b22fa9725353b3","7","20+",4,5,"Spanish"
"38",18,"61400425790ab5dbef568393","8","12",5,5,"Spanish"
"39",19,"613a4182d75ec66fcd3292e9","6","20+",3,5,"Spanish"
"40",20,"5bfb724acad1240001e8f657","7","14",5,5,"Spanish"
"41",21,"5fad55bc57e5f004b095ca80","10","15",4,6,"Spanish"
"42",22,"5ec2a21d6053200957b486f9","12","17",5,6,"Spanish"
"43",23,"615ccde70c1ce067fc831306","9","12",4,5,"Spanish"
"44",24,"5f2f5ffc7144073520501a57","20+","20+",4,5,"Spanish"
"45",25,"613a3838d8479f4bc5723974","12","18",4,5,"Spanish"
"46",26,"612f0b6e7e79ca1b544a064d","0","3",6,6,"Spanish"
"47",27,"60943427c11ddfd172f619e3","6","12",6,6,"Spanish"
"48",28,"613a8edf1dccc076d9b59330","7","16",4,4,"Spanish"
"49",29,"613a9a32098c4cfe776b69de","8","20+",4,5,"Spanish"
