"","id","the_col_fr","correct rejection","fa","hit","miss","d_prime","language","group","l2_prof_perception","cont_type"
"1","558a9729fdf99b6567d005ab","fisch",1,6,2,0,0.0802750070828255,"German","English",4,"i"
"2","558a9729fdf99b6567d005ab","pake",4,7,2,0,0.648782202137326,"German","English",4,"a"
"3","558a9729fdf99b6567d005ab","pike",2,9,1,0,-0.137728051303831,"German","English",4,"i"
"4","558a9729fdf99b6567d005ab","pisch",1,12,2,0,-0.274445225741619,"German","English",4,"i"
"5","55c784b8fdf99b479e522427","fisch",6,2,1,0,1.26394554804586,"German","English monolingual",NA,"i"
"6","55c784b8fdf99b479e522427","pake",6,4,1,2,-0.0887552463851431,"German","English monolingual",NA,"a"
"7","55c784b8fdf99b479e522427","pike",1,13,3,0,-0.131202185168593,"German","English monolingual",NA,"i"
"8","55c784b8fdf99b479e522427","pisch",2,8,0,0,-0.747858594763302,"German","English monolingual",NA,"i"
"9","565a4547c51d43000587507d","fisch",2,8,4,0,0.533692970781299,"German","English",4,"i"
"10","565a4547c51d43000587507d","pake",3,6,2,0,0.582101099694134,"German","English",4,"a"
"11","565a4547c51d43000587507d","pike",1,10,1,0,-0.475859630179926,"German","English",4,"i"
"12","565a4547c51d43000587507d","pisch",2,10,0,0,-0.869423773288886,"German","English",4,"i"
"13","57a2caf8275be6000135b3aa","fisch",2,4,3,1,0.158294155907471,"German","English monolingual",NA,"i"
"14","57a2caf8275be6000135b3aa","pake",8,5,0,1,-0.402609744796821,"German","English monolingual",NA,"a"
"15","57a2caf8275be6000135b3aa","pike",14,1,0,1,0.643521147107455,"German","English monolingual",NA,"i"
"16","57a2caf8275be6000135b3aa","pisch",6,2,0,1,-0.0850339523463032,"German","English monolingual",NA,"i"
"17","58477607f1b9b3000192bb01","fisch",4,11,0,1,-1.25362191245164,"German","English",4,"i"
"18","58477607f1b9b3000192bb01","pake",4,3,0,4,-1.12424088093443,"German","English",4,"a"
"19","58477607f1b9b3000192bb01","pike",7,5,0,2,-0.773393423677775,"German","English",4,"i"
"20","58477607f1b9b3000192bb01","pisch",3,5,0,0,-0.282216147062508,"German","English",4,"i"
"21","5898b6e256357700011c2c6b","fisch",1,6,1,0,-0.212656808822794,"German","English",5,"i"
"22","5898b6e256357700011c2c6b","pake",7,6,3,0,1.23999173145177,"German","English",5,"a"
"23","5898b6e256357700011c2c6b","pike",3,5,2,0,0.685205419039193,"German","English",5,"i"
"24","5898b6e256357700011c2c6b","pisch",3,11,1,0,-0.0534235406855628,"German","English",5,"i"
"25","591921e38b0b6e00012897fa","fisch",6,4,1,0,0.904373867775314,"German","English monolingual",NA,"i"
"26","591921e38b0b6e00012897fa","pake",2,6,4,1,0.0850339523463032,"German","English monolingual",NA,"a"
"27","591921e38b0b6e00012897fa","pike",7,4,0,0,0.318639363964375,"German","English monolingual",NA,"i"
"28","591921e38b0b6e00012897fa","pisch",8,5,1,0,0.946369755595343,"German","English monolingual",NA,"i"
"29","59349d79f1b3f00001964d04","fisch",10,3,2,0,1.64191131629778,"German","English",4,"i"
"30","59349d79f1b3f00001964d04","pake",1,7,0,0,-0.967421566101701,"German","English",4,"a"
"31","59349d79f1b3f00001964d04","pike",3,7,0,0,-0.472789120992267,"German","English",4,"i"
"32","59349d79f1b3f00001964d04","pisch",5,6,5,0,1.27836067148656,"German","English",4,"i"
"33","59601fb03d5051000114b843","fisch",6,5,1,0,0.779123205810157,"German","English monolingual",NA,"i"
"34","59601fb03d5051000114b843","pake",4,5,1,0,0.548828403341008,"German","English monolingual",NA,"a"
"35","59601fb03d5051000114b843","pike",2,9,3,1,-0.287817288791872,"German","English monolingual",NA,"i"
"36","59c0a297c458e800017b5499","fisch",5,6,3,0,1.04571592476193,"German","English monolingual",NA,"i"
"37","59c0a297c458e800017b5499","pake",2,9,1,0,-0.137728051303831,"German","English monolingual",NA,"a"
"38","59c0a297c458e800017b5499","pike",6,3,2,0,1.35274203250927,"German","English monolingual",NA,"i"
"39","59c0a297c458e800017b5499","pisch",4,7,1,0,0.355850386231707,"German","English monolingual",NA,"i"
"40","5a02083e087f2e0001eadbdb","fisch",9,6,2,0,1.20462367543049,"German","English monolingual",NA,"i"
"41","5a02083e087f2e0001eadbdb","pake",2,8,1,0,-0.0733688445672204,"German","English monolingual",NA,"a"
"42","5a02083e087f2e0001eadbdb","pike",3,4,3,0,0.993038695765837,"German","English monolingual",NA,"i"
"43","5a02083e087f2e0001eadbdb","pisch",5,5,1,0,0.674489750196082,"German","English monolingual",NA,"i"
"44","5a063c2d844c7a00015e477d","fisch",6,5,2,0,1.07205502171578,"German","English monolingual",NA,"i"
"45","5a063c2d844c7a00015e477d","pake",4,9,2,0,0.503713814644522,"German","English monolingual",NA,"a"
"46","5a063c2d844c7a00015e477d","pike",4,5,3,0,1.02468803352093,"German","English monolingual",NA,"i"
"47","5a063c2d844c7a00015e477d","pisch",2,7,0,0,-0.674489750196082,"German","English monolingual",NA,"i"
"48","5a08ddd0df3fa800015c36ac","fisch",9,1,4,0,2.37835512763811,"German","English",3,"i"
"49","5a08ddd0df3fa800015c36ac","pake",5,2,2,0,1.45619797721637,"German","English",3,"a"
"50","5a08ddd0df3fa800015c36ac","pike",4,8,1,0,0.278764454381594,"German","English",3,"i"
"51","5a08ddd0df3fa800015c36ac","pisch",7,6,0,0,0.0896423510757625,"German","English",3,"i"
"52","5a2dc611390d120001c70ac2","fisch",9,5,2,0,1.3081163931895,"German","English monolingual",NA,"i"
"53","5a2dc611390d120001c70ac2","pike",2,9,3,0,0.338131578876095,"German","English monolingual",NA,"i"
"54","5a2dc611390d120001c70ac2","pisch",3,4,2,0,0.810110881491531,"German","English monolingual",NA,"i"
"55","5a6d5ae19d65ec00017e9bae","fisch",6,8,1,0,0.506595745407976,"German","English",4,"i"
"56","5a6d5ae19d65ec00017e9bae","pake",2,6,3,0,0.560893582526229,"German","English",4,"a"
"57","5a6d5ae19d65ec00017e9bae","pike",3,6,1,0,0.289169283788514,"German","English",4,"i"
"58","5a6d5ae19d65ec00017e9bae","pisch",4,7,2,0,0.648782202137326,"German","English",4,"i"
"59","5ab33d98580b990001730708","fisch",5,5,3,1,0.524400512708041,"German","Spanish",6,"i"
"60","5ab33d98580b990001730708","pake",1,12,1,0,-0.567377041647239,"German","Spanish",6,"a"
"61","5ab33d98580b990001730708","pike",6,7,1,0,0.584847399120319,"German","Spanish",6,"i"
"62","5ab33d98580b990001730708","pisch",1,5,1,0,-0.117148857547293,"German","Spanish",6,"i"
"63","5adeb4e9f6b58c0001fa70aa","fisch",8,1,0,3,-0.113915990882218,"German","English monolingual",NA,"i"
"64","5adeb4e9f6b58c0001fa70aa","pake",12,3,0,3,-0.37392761922808,"German","English monolingual",NA,"a"
"65","5adeb4e9f6b58c0001fa70aa","pike",6,0,0,0,1.46523379268552,"German","English monolingual",NA,"i"
"66","5adeb4e9f6b58c0001fa70aa","pisch",9,3,0,1,-0.0593486456001081,"German","English monolingual",NA,"i"
"67","5ae0afd709eae20001131fb9","fisch",8,5,2,0,1.23930157150096,"German","English monolingual",NA,"i"
"68","5ae0afd709eae20001131fb9","pike",3,7,2,0,0.494632445109434,"German","English monolingual",NA,"i"
"69","5ae0afd709eae20001131fb9","pisch",6,6,2,0,0.967421566101701,"German","English monolingual",NA,"i"
