"","phoneme","choice","l2_prof_perception","participant","cond__","cats__","effect1__","effect2__","estimate__","se__","lower__","upper__","language","stim_language","L1"
"1","i","feel",5.23728813559322,NA,"1","feel","i","feel",0.458375075651125,0.0489204632053285,0.364906264106322,0.555467333549053,"English","French","Spanish"
"2","o","feel",5.23728813559322,NA,"1","feel","o","feel",0.03136362570524,0.00796311912129629,0.0186763188314315,0.0493829919301737,"English","French","Spanish"
"3","schwa","feel",5.23728813559322,NA,"1","feel","schwa","feel",0.213757251239978,0.0237617455579369,0.169868788236637,0.262466148077526,"English","French","Spanish"
"4","y","feel",5.23728813559322,NA,"1","feel","y","feel",0.0275811143450456,0.0075905089510034,0.0152124349165866,0.0451776581725647,"English","French","Spanish"
"5","i","feel",5.23728813559322,NA,"1","fin","i","fin",0.457388533499749,0.0558956709682868,0.349419738948515,0.566700547147443,"Spanish","French","Spanish"
"6","o","feel",5.23728813559322,NA,"1","fin","o","fin",0.00140133060783671,0.00107623565713533,0.00018099700231955,0.00533445332729636,"Spanish","French","Spanish"
"7","schwa","feel",5.23728813559322,NA,"1","fin","schwa","fin",0.00950921692858117,0.00373553680814438,0.00417157359886753,0.0202166771783514,"Spanish","French","Spanish"
"8","y","feel",5.23728813559322,NA,"1","fin","y","fin",0.0175853432569954,0.00610572732268058,0.00858269521374758,0.0347002460083841,"Spanish","French","Spanish"
"9","i","feel",5.23728813559322,NA,"1","fool","i","fool",0.0301383829719,0.00800900493451204,0.0177726419796908,0.0499051684802136,"English","French","Spanish"
"10","o","feel",5.23728813559322,NA,"1","fool","o","fool",0.129793761553945,0.022203122484043,0.0902828413342652,0.179928116755256,"English","French","Spanish"
"11","schwa","feel",5.23728813559322,NA,"1","fool","schwa","fool",0.0439333170356696,0.0102059760464869,0.0269267737768289,0.0672146970892213,"English","French","Spanish"
"12","y","feel",5.23728813559322,NA,"1","fool","y","fool",0.259731028605921,0.0367207467723704,0.19122551451167,0.337635845640457,"English","French","Spanish"
"13","i","feel",5.23728813559322,NA,"1","fought","i","fought",0.0260701604998055,0.00734598612280739,0.0149520751521084,0.0444311618458135,"English","French","Spanish"
"14","o","feel",5.23728813559322,NA,"1","fought","o","fought",0.554706379289945,0.0429383497452437,0.466788116236934,0.636314855602423,"English","French","Spanish"
"15","schwa","feel",5.23728813559322,NA,"1","fought","schwa","fought",0.514407269477103,0.04090786014988,0.432023862772659,0.596089096590018,"English","French","Spanish"
"16","y","feel",5.23728813559322,NA,"1","fought","y","fought",0.226471602116263,0.0339368575490997,0.165798065895537,0.305002364613356,"English","French","Spanish"
"17","i","feel",5.23728813559322,NA,"1","fun","i","fun",0.0191711044696046,0.00601648080032489,0.00991521663571701,0.0336209629799901,"English","French","Spanish"
"18","o","feel",5.23728813559322,NA,"1","fun","o","fun",0.138002124191352,0.0259425885025776,0.0929880494450409,0.191534230931749,"English","French","Spanish"
"19","schwa","feel",5.23728813559322,NA,"1","fun","schwa","fun",0.130762985803287,0.0244164301585953,0.0876690881484522,0.181194852815116,"English","French","Spanish"
"20","y","feel",5.23728813559322,NA,"1","fun","y","fun",0.110437288175803,0.0218432211692533,0.0729148580312247,0.15937253562305,"English","French","Spanish"
