"","phoneme","choice","l2_prof_perception","participant","cond__","cats__","effect1__","effect2__","estimate__","se__","lower__","upper__","language","stim_language","L1"
"21","i","feel",5.23728813559322,NA,"1","son","i","son",0.000530766775678604,0.000567981275549824,1.8160185816072e-05,0.00329819662818317,"Spanish","French","Spanish"
"22","o","feel",5.23728813559322,NA,"1","son","o","son",0.109451041136591,0.0264721598137903,0.0659194533191284,0.170443184067015,"Spanish","French","Spanish"
"23","schwa","feel",5.23728813559322,NA,"1","son","schwa","son",0.0603830210067465,0.0162929484479591,0.033991065894305,0.098688624618487,"Spanish","French","Spanish"
"24","y","feel",5.23728813559322,NA,"1","son","y","son",0.00386876816961008,0.00218031831404485,0.00101507450447865,0.0108136576866438,"Spanish","French","Spanish"
"25","i","feel",5.23728813559322,NA,"1","su","i","su",0.00367324998771256,0.00203622299899644,0.00104172141781243,0.01026138829128,"Spanish","French","Spanish"
"26","o","feel",5.23728813559322,NA,"1","su","o","su",0.0293128997387145,0.00883170344486281,0.0157150181782678,0.0514010567338125,"Spanish","French","Spanish"
"27","schwa","feel",5.23728813559322,NA,"1","su","schwa","su",0.0215785554182417,0.00700095063119684,0.0111098330285487,0.0392655800897879,"Spanish","French","Spanish"
"28","y","feel",5.23728813559322,NA,"1","su","y","su",0.347250421959071,0.053720055243021,0.248936534911897,0.452378527883768,"Spanish","French","Spanish"
"29","i","feel",5.23728813559322,NA,"1","feel","i","feel",0.611247681119515,0.0366663624145772,0.53559970113383,0.682718035008197,"English","German","Spanish"
"30","o","feel",5.23728813559322,NA,"1","feel","o","feel",0.0122744403632282,0.00472456985157143,0.00521561734349002,0.0242604487740865,"English","German","Spanish"
"31","schwa","feel",5.23728813559322,NA,"1","feel","schwa","feel",0.0149167567371775,0.00507176730047485,0.00723752691846339,0.0279453674289774,"English","German","Spanish"
"32","y","feel",5.23728813559322,NA,"1","feel","y","feel",0.0823222719095978,0.0129566125976789,0.0597516110866198,0.111148499885933,"English","German","Spanish"
"33","i","feel",5.23728813559322,NA,"1","fin","i","fin",0.36725047536369,0.0373027494719595,0.295225332078721,0.445995574553334,"Spanish","German","Spanish"
"34","o","feel",5.23728813559322,NA,"1","fin","o","fin",0.000952859892577394,0.000976590081308613,2.96345922864041e-05,0.00501146141686301,"Spanish","German","Spanish"
"35","schwa","feel",5.23728813559322,NA,"1","fin","schwa","fin",0.00552023828815169,0.00264030469670466,0.00177760963953929,0.0132696318344976,"Spanish","German","Spanish"
"36","y","feel",5.23728813559322,NA,"1","fin","y","fin",0.0384925526463363,0.00961430601313428,0.0229225407900546,0.0622324427940301,"Spanish","German","Spanish"
"37","i","feel",5.23728813559322,NA,"1","fool","i","fool",0.00623328425574215,0.00300007887062412,0.00208111807689537,0.0144429544785103,"English","German","Spanish"
"38","o","feel",5.23728813559322,NA,"1","fool","o","fool",0.27681952588168,0.031284929920194,0.217861334920242,0.340690641120203,"English","German","Spanish"
"39","schwa","feel",5.23728813559322,NA,"1","fool","schwa","fool",0.0106431305225996,0.00408668426581252,0.00475191139538847,0.021385258022376,"English","German","Spanish"
"40","y","feel",5.23728813559322,NA,"1","fool","y","fool",0.429164521169353,0.03841165248732,0.353784763120008,0.506673448855893,"English","German","Spanish"
"41","i","feel",5.23728813559322,NA,"1","fought","i","fought",0.0097173514366388,0.00391336691145874,0.00394680140230624,0.0201318624166495,"English","German","Spanish"
"42","o","feel",5.23728813559322,NA,"1","fought","o","fought",0.596581236627647,0.0338212144532811,0.526353994047578,0.665867035654817,"English","German","Spanish"
"43","schwa","feel",5.23728813559322,NA,"1","fought","schwa","fought",0.675431144454791,0.0314986301253779,0.607500412050459,0.737503724293698,"English","German","Spanish"
"44","y","feel",5.23728813559322,NA,"1","fought","y","fought",0.178015768195529,0.0230540230132029,0.136042356760063,0.227060653314811,"English","German","Spanish"
"45","i","feel",5.23728813559322,NA,"1","fun","i","fun",0.000970997120659156,0.00100217712480962,4.10884188273255e-05,0.0053920457790564,"English","German","Spanish"
"46","o","feel",5.23728813559322,NA,"1","fun","o","fun",0.0378828498251759,0.00903042878071501,0.0233122269414563,0.0590541274484394,"English","German","Spanish"
"47","schwa","feel",5.23728813559322,NA,"1","fun","schwa","fun",0.261987831588025,0.0296241029462618,0.203915644112313,0.325297957784813,"English","German","Spanish"
"48","y","feel",5.23728813559322,NA,"1","fun","y","fun",0.113300469120454,0.0183458192613686,0.079628924655432,0.154692608653248,"English","German","Spanish"
"49","i","feel",5.23728813559322,NA,"1","son","i","son",0.000558306131333427,0.000586140385782988,2.17690893704298e-05,0.0033893319865466,"Spanish","German","Spanish"
"50","o","feel",5.23728813559322,NA,"1","son","o","son",0.0526012434928891,0.0155387979441615,0.0264862305644426,0.0900210826101316,"Spanish","German","Spanish"
"51","schwa","feel",5.23728813559322,NA,"1","son","schwa","son",0.0223024320314484,0.00742744394212168,0.0101170770321619,0.0412413141006191,"Spanish","German","Spanish"
"52","y","feel",5.23728813559322,NA,"1","son","y","son",0.00554869683885064,0.002832393906673,0.00176648469162713,0.0135898993557231,"Spanish","German","Spanish"
"53","i","feel",5.23728813559322,NA,"1","su","i","su",0.00116636160953489,0.000908256014838829,0.000176518725490124,0.00472224893097676,"Spanish","German","Spanish"
"54","o","feel",5.23728813559322,NA,"1","su","o","su",0.0194997945104328,0.00676988437337094,0.00885133691688468,0.0377248202770792,"Spanish","German","Spanish"
"55","schwa","feel",5.23728813559322,NA,"1","su","schwa","su",0.00573472103970545,0.00252792389019791,0.00228432272195631,0.0129539411339329,"Spanish","German","Spanish"
"56","y","feel",5.23728813559322,NA,"1","su","y","su",0.146808218691288,0.0352947309271614,0.0833878246985972,0.224093670714463,"Spanish","German","Spanish"
"57","i","feel",4.38181818181818,NA,"1","feel","i","feel",0.495842367993233,0.0526039874446621,0.391832141033149,0.598453804262476,"English","French","English"
"58","o","feel",4.38181818181818,NA,"1","feel","o","feel",0.0112092050022707,0.00356318090437191,0.00564429086141234,0.0197645266307735,"English","French","English"
"59","schwa","feel",4.38181818181818,NA,"1","feel","schwa","feel",0.0343129109548654,0.00649928772057477,0.0230823816350228,0.0497354372628243,"English","French","English"
"60","y","feel",4.38181818181818,NA,"1","feel","y","feel",0.0218158887224643,0.00478551779330676,0.0138094916717576,0.0324066857768377,"English","French","English"
"61","i","feel",4.38181818181818,NA,"1","fin","i","fin",0.482740043888818,0.0548922430238465,0.378195438228379,0.590753919051986,"Spanish","French","English"
"62","o","feel",4.38181818181818,NA,"1","fin","o","fin",0.000316259478510183,0.000332014102531238,1.09869237945124e-05,0.00185386361516356,"Spanish","French","English"
"63","schwa","feel",4.38181818181818,NA,"1","fin","schwa","fin",0.00730590436379472,0.00265520847381307,0.00359765096005885,0.0142885440624768,"Spanish","French","English"
"64","y","feel",4.38181818181818,NA,"1","fin","y","fin",0.00340793442586361,0.00146242222585757,0.00137362969086067,0.00745816698161313,"Spanish","French","English"
"65","i","feel",4.38181818181818,NA,"1","fool","i","fool",0.0115119437173557,0.0034204168241441,0.00611529788820233,0.0198774820728399,"English","French","English"
"66","o","feel",4.38181818181818,NA,"1","fool","o","fool",0.313257779834028,0.0310982044049245,0.256435386404807,0.375930093842514,"English","French","English"
"67","schwa","feel",4.38181818181818,NA,"1","fool","schwa","fool",0.0206586646837059,0.00499554841449434,0.0124165446541872,0.0333157300550138,"English","French","English"
"68","y","feel",4.38181818181818,NA,"1","fool","y","fool",0.450375270212053,0.0414467323057252,0.37052392528425,0.535446179055451,"English","French","English"
"69","i","feel",4.38181818181818,NA,"1","fought","i","fought",0.00273543953669872,0.00128958124948894,0.000969713654052105,0.00626018833690777,"English","French","English"
"70","o","feel",4.38181818181818,NA,"1","fought","o","fought",0.175209978563486,0.030831295806765,0.120936636345363,0.239382297187619,"English","French","English"
"71","schwa","feel",4.38181818181818,NA,"1","fought","schwa","fought",0.145473576029773,0.0295156956998701,0.097414388063615,0.213473886889701,"English","French","English"
"72","y","feel",4.38181818181818,NA,"1","fought","y","fought",0.0144179982799729,0.00400816432561003,0.00800789590763485,0.0243334381451928,"English","French","English"
"73","i","feel",4.38181818181818,NA,"1","fun","i","fun",0.00109698853224673,0.000824141548835768,0.000147637060291823,0.00395646051791765,"English","French","English"
"74","o","feel",4.38181818181818,NA,"1","fun","o","fun",0.346176160623237,0.0384930056936961,0.274124507832448,0.423563443388145,"English","French","English"
"75","schwa","feel",4.38181818181818,NA,"1","fun","schwa","fun",0.734659222978981,0.0365441157124676,0.65585048131742,0.79994188165653,"English","French","English"
"76","y","feel",4.38181818181818,NA,"1","fun","y","fun",0.015068149166609,0.00405436210074339,0.00869954238073463,0.0253941678944524,"English","French","English"
"77","i","feel",4.38181818181818,NA,"1","son","i","son",6.4329664705629e-13,9.53751608925656e-13,4.490604511444e-33,0.000121979508541897,"Spanish","French","English"
"78","o","feel",4.38181818181818,NA,"1","son","o","son",0.0627135894874896,0.0173014928119179,0.0328898424484967,0.102377987438716,"Spanish","French","English"
"79","schwa","feel",4.38181818181818,NA,"1","son","schwa","son",0.0299218471569817,0.00939378096402204,0.0151649488488227,0.0527693927827908,"Spanish","French","English"
"80","y","feel",4.38181818181818,NA,"1","son","y","son",0.0032323037831433,0.00140030295235557,0.00123657751422516,0.00719556490340948,"Spanish","French","English"
"81","i","feel",4.38181818181818,NA,"1","su","i","su",0.00473468717853288,0.00205251378979991,0.00181719956372088,0.0102860148784988,"Spanish","French","English"
"82","o","feel",4.38181818181818,NA,"1","su","o","su",0.0857083324586727,0.016080550469119,0.0585807035860548,0.122212982390869,"Spanish","French","English"
"83","schwa","feel",4.38181818181818,NA,"1","su","schwa","su",0.0236487869403527,0.00604884448161166,0.0137071210966876,0.0391353972512761,"Spanish","French","English"
"84","y","feel",4.38181818181818,NA,"1","su","y","su",0.489781969367425,0.0441373053663924,0.401251566239219,0.578469778828338,"Spanish","French","English"
"85","i","feel",4.38181818181818,NA,"1","feel","i","feel",0.546591275365046,0.0653106195105241,0.415121706977896,0.673644481978533,"English","German","English"
"86","o","feel",4.38181818181818,NA,"1","feel","o","feel",0.00528926094902069,0.00311415086518478,0.00124887893893388,0.0147435279423153,"English","German","English"
"87","schwa","feel",4.38181818181818,NA,"1","feel","schwa","feel",6.80738033407162e-10,1.0092622083269e-09,2.46820855414027e-21,0.000534475034776701,"English","German","English"
"88","y","feel",4.38181818181818,NA,"1","feel","y","feel",0.0160431800879836,0.00539802802979877,0.00782680469556693,0.0302025641897797,"English","German","English"
"89","i","feel",4.38181818181818,NA,"1","fin","i","fin",0.436504720986459,0.0666720272869457,0.302861353872876,0.572053605915143,"Spanish","German","English"
"90","o","feel",4.38181818181818,NA,"1","fin","o","fin",0.000362518342081706,0.000374523887872518,1.29846666606185e-05,0.00235580231132415,"Spanish","German","English"
"91","schwa","feel",4.38181818181818,NA,"1","fin","schwa","fin",1.17512425177667e-15,1.74223921568409e-15,1.06137854462006e-38,3.02782062140627e-05,"Spanish","German","English"
"92","y","feel",4.38181818181818,NA,"1","fin","y","fin",0.00249664373041275,0.00143954964996662,0.000652308716855519,0.00715455810106333,"Spanish","German","English"
"93","i","feel",4.38181818181818,NA,"1","fool","i","fool",0.00618344024073725,0.00311461275873228,0.00195973333980574,0.0147517568674315,"English","German","English"
"94","o","feel",4.38181818181818,NA,"1","fool","o","fool",0.566697318046124,0.041601938081282,0.482048947191677,0.647053643132543,"English","German","English"
"95","schwa","feel",4.38181818181818,NA,"1","fool","schwa","fool",0.00439366275588697,0.00248749668263641,0.00120842732045095,0.0119275625247093,"English","German","English"
"96","y","feel",4.38181818181818,NA,"1","fool","y","fool",0.425094190865717,0.04275390532837,0.342094122560984,0.513957347520423,"English","German","English"
"97","i","feel",4.38181818181818,NA,"1","fought","i","fought",0.00315646528332631,0.001757396196265,0.000915272196587185,0.0091218058749272,"English","German","English"
"98","o","feel",4.38181818181818,NA,"1","fought","o","fought",0.188853896681874,0.0382975085596891,0.119972843316365,0.272740588413155,"English","German","English"
"99","schwa","feel",4.38181818181818,NA,"1","fought","schwa","fought",0.162023657692875,0.0439917826059024,0.0864162270507964,0.266078705381018,"English","German","English"
"100","y","feel",4.38181818181818,NA,"1","fought","y","fought",0.0105523134778655,0.0038647992565072,0.00482163244468826,0.0214548592482668,"English","German","English"
"101","i","feel",4.38181818181818,NA,"1","fun","i","fun",0.00120245890044562,0.00092561202674746,0.000171663715590822,0.00487797515320294,"English","German","English"
"102","o","feel",4.38181818181818,NA,"1","fun","o","fun",0.0199558183140793,0.0070382341697368,0.00948603343817027,0.0388707713018092,"English","German","English"
"103","schwa","feel",4.38181818181818,NA,"1","fun","schwa","fun",0.791637734771578,0.0502711963683682,0.674958164375048,0.879411758260418,"English","German","English"
"104","y","feel",4.38181818181818,NA,"1","fun","y","fun",0.00622169364800752,0.00278050121782354,0.0024751825219528,0.0148113420941661,"English","German","English"
"105","i","feel",4.38181818181818,NA,"1","son","i","son",1.26286401980508e-15,1.87232219576301e-15,1.92507099991981e-40,9.52180701893726e-05,"Spanish","German","English"
"106","o","feel",4.38181818181818,NA,"1","son","o","son",0.081643592095925,0.0235199599001688,0.042612576225086,0.136957555647837,"Spanish","German","English"
"107","schwa","feel",4.38181818181818,NA,"1","son","schwa","son",0.0282851391452394,0.0109402899559898,0.0120888490227512,0.0565645155856898,"Spanish","German","English"
"108","y","feel",4.38181818181818,NA,"1","son","y","son",0.00323494307442698,0.00178325734863394,0.000927158294919807,0.00880297624220165,"Spanish","German","English"
"109","i","feel",4.38181818181818,NA,"1","su","i","su",0.00500063425695903,0.00262429977247905,0.00137104174862939,0.0128944719490735,"Spanish","German","English"
"110","o","feel",4.38181818181818,NA,"1","su","o","su",0.129458543198817,0.0237217741044137,0.0884871103750376,0.184546657067933,"Spanish","German","English"
"111","schwa","feel",4.38181818181818,NA,"1","su","schwa","su",0.0113647492988282,0.0044501547365663,0.00473337103617484,0.0236902041869313,"Spanish","German","English"
"112","y","feel",4.38181818181818,NA,"1","su","y","su",0.532843863508561,0.0446427241074784,0.439912266100395,0.618214598206768,"Spanish","German","English"
