"","prolific_id","l2_ao","l2_aoa","l2_prof_production","l2_prof_perception"
"1","61676f1a2848847e886d00c5","12","14",5,6
"2","61390220e2050f8b8bf41f27","7","15",5,6
"3","60b805f47d6292141781c36e","3","12",5,5
"4","6144e07daad38d78db932d30","7","12",5,6
"5","5eecf71ff9be240d72d2dddf","6","14",4,5
"6","6142883565f2f12724b5e613","5","Tan pronto como recuerdo.",5,6
"7","5f3cc983e81de700092fa67e","4","12",4,4
"8","601584d717cbb906851646b7","10","15",4,4
"9","613b8c9719c838f7c5e7297c","8","12",6,6
"10","6145448f8b3cd18fb19f0b0e","9","15",3,4
"11","613abdfce6575a7bc72a6b85","10","15",4,5
"12","613a886056265d62028d15d2","9","15",4,5
"13","613a3379edee9c64f31e9b23","15","20+",4,4
"14","5f5065d2fd3fc11d40575ce7","6","19",5,6
"15","6142102f6c590438c4704e3f","6","12",5,5
"16","61135eb097c6eb84381896ac","3","7",5,5
"17","611023befc2052d878c7f50c","6","20+",5,6
"18","5ab33d98580b990001730708","10","12",4,6
"19","60b3db45abbe2124a40638b8","2","Tan pronto como recuerdo.",5,6
"20","6170415761bdcffcdda9c970","11","16",5,5
"21","614413848bec31a0e770cc25","15","20+",3,4
"22","613af18151be953036664b9a","12","20+",5,5
"23","614215e5a85111f66a9abbfc","12","16",5,6
"24","608886445a92c991daa8f03f","5","15",4,6
"25","613bcc7803e6e071da0b7b3f","4","6",4,6
"26","614a6c398ca700d6d8d520d8","6","7",5,5
"27","5f5d6c3cbacc025bf0a03440","12","20+",4,4
"28","613a68a9f9bc0d833831eff0","9","15",5,5
"29","5c05922f4e1b7b00016af702","14","15",4,5
"30","616ed97200b22fa9725353b3","7","20+",4,5
"31","61400425790ab5dbef568393","8","12",5,5
"32","613a4182d75ec66fcd3292e9","6","20+",3,5
"33","6151cfe3ba49dd3ad62708ee","8","14",4,4
"34","5bfb724acad1240001e8f657","7","14",5,5
"35","5fad55bc57e5f004b095ca80","10","15",4,6
"36","5ec2a21d6053200957b486f9","12","17",5,6
"37","615ccde70c1ce067fc831306","9","12",4,5
"38","613a69d8ed1c11f70b3d37c7","4","19",5,5
"39","5f2f5ffc7144073520501a57","20+","20+",4,5
"40","613a3838d8479f4bc5723974","12","18",4,5
"41","612f0b6e7e79ca1b544a064d","Desde el nacimiento","3",6,6
"42","60943427c11ddfd172f619e3","6","12",6,6
"43","5fc86c1b2df6ff1ff7a51ea5","10","15",4,5
"44","613a8edf1dccc076d9b59330","7","16",4,4
"45","5f66457793e8240d22e60ea3","5","12",5,6
"46","613a9a32098c4cfe776b69de","8","20+",4,5
"47","5e9fdd5effe6a51855448d1b","9","19",3,6
"48","614d05f9b577ed47c8b6db75","6","14",6,6
"49","5f740f60b8a1e41acc020269","14","20+",3,5
"50","6062d6036cdaef33b66e7f62","10","19",4,5
"51","613add879e40150ca89fd051","6","8",5,6
"52","5f15db42d62e996fdc5429d8","14","20+",2,4
"53","5e3f7b673ba9991dc9cabcfa","5","20+",6,5
"54","6036e5c365451fffd2c800b2","1","6",5,6
"55","60a4cadc8c4109eeeb9fda14","12","15",5,6
"56","5f30c06d1cdf4953b62ae475","14","18",4,6
"57","5f15db42d62e996fdc5429d8","14","20+",2,4
"58","613a4182d75ec66fcd3292e9","6","20+",3,5
"59","6176c86c754429f29f4e83ea","9","13",6,6
