"","prolific_id","l2_ao","l2_aoa","l2_prof_production","l2_prof_perception"
"1","5edcfe625cd39c9efd5cc2ae","8","8",4,4
"2","5bebd4111296920001d55c5a","14","20+",6,6
"3","5fed41e3e14422f5e308c6e5","14","18",5,5
"4","5dc483cf74939e34e55c3619","20+","20+",4,5
"5","5ff5f7ad932d56101bf7c90d","12","18",6,5
"6","5898b6e256357700011c2c6b","20+","20+",5,5
"7","5ddc07391e42a9000b2622be","16","Not yet comfortable.",4,2
"8","5f989fa02b5a611b2df1a305","12","16",5,5
"9","5fa4c21a04bc5912180291bc","13","20+",4,2
"10","60fd444309e999dd905f78f8","13","16",3,3
"11","5f9b6cc0e01ad13902b38f60","20+","20+",3,3
"12","60ff3a07d734239b4406270b","14","Not yet comfortable.",3,4
"13","628e3768a418a3b5d079e097","--","--",0,1
"14","57bf14513c449a000189c89a","20+","Not yet comfortable.",0,0
"15","5977e3867412f8000194e1fe","10","16",3,3
"16","611d7da2640a2e31818c3e18","3","Not yet comfortable.",2,3
"17","6108295fdd0270d7544b5a8a","19","20+",1,2
"18","5e869a2ada38292db0605de5","20+","20+",2,4
"19","5e483052a742a3000f7c15e8","12","14",3,4
"20","5d79375d794d900017671c07","18","Not yet comfortable.",1,2
"21","6277cd4fea5f69868617658b","8","20+",2,2
"22","5b894987e79bf50001e1ff95","11","Not yet comfortable.",1,1
"23","5b9f09697b196f000195e1ed","13","16",3,4
"24","5f59ce6bf4d188227440a9d2","20+","Not yet comfortable.",1,1
"25","6111a8e5c22c39a1c92edb70","20+","Not yet comfortable.",0,0
"26","60fd080d5476f4a77211bafb","9","Not yet comfortable.",1,2
"27","62695cc87ae7102ea7863e8d","--","Not yet comfortable.",0,1
"28","611112142433b5e95c84acd9","7","20+",3,4
"29","55e59b81c70c7a000b2a5ad9","16","Not yet comfortable.",1,4
"30","601373dbd735b324b32818bd","--","Not yet comfortable.",0,1
"31","6094c0e7af94737806eca8f2","6","17",6,5
"32","5b2bfb37163ead00013fb8b4","14","Not yet comfortable.",1,2
"33","5a348ea750833c0001ee9550","16","Not yet comfortable.",2,3
"34","60528f0a86ecd7828ccd7492","15","17",4,4
"35","628b9a0c406bd1573eb608f2","5","Not yet comfortable.",2,3
"36","610860255929b4914b27719d","13","Not yet comfortable.",1,2
"37","5ac2a84e5cd10500016219e9","10","Not yet comfortable.",1,1
"38","605cd1b167207b8209b39fee","--","Not yet comfortable.",0,0
"39","60fdee22273f69b19ee4b8fb","20+","Not yet comfortable.",1,1
"40","5fc5c6e3dfa8ca1557012d44","9","Not yet comfortable.",2,3
"41","6282ba94e9695c9209596a49","15","Not yet comfortable.",1,4
"42","611e9927369094f6ffdafd55","12","Not yet comfortable.",0,2
"43","6237ca974050879378c8fea8","20+","Not yet comfortable.",2,3
"44","5b7aefd06c1ccb000178b710","18","20+",2,3
"45","61084d4214248ad7ba69ae8e","14","Not yet comfortable.",3,3
"46","61099879ad45eb8f3c0db110","--","--",0,0
"47","5e954b384491ad117052cd48","17","Not yet comfortable.",2,3
"48","6108c2ac0c4da97b67463cfe","6","Not yet comfortable.",1,1
"49","5bf08d054863520001b1e1dc","13","13",1,1
"50","590eb4006d77630001d3a28a","15","Not yet comfortable.",2,3
