"","X","f1e","f2e","language","participant","text","group","consonant","phoneme","prolific_id","l2_ao","l2_aoa","l2_prof_production","l2_prof_perception"
"49",49,281.99,1014.06,"english",509313,"peef","L1 English monolingual","p","i","627426f35bbef15c65add1cd",NA,NA,NA,NA
"50",50,293.03,2093.8,"english",509313,"feef","L1 English monolingual","f","i","627426f35bbef15c65add1cd",NA,NA,NA,NA
"51",51,291.7,1198.02,"english",509313,"peef","L1 English monolingual","p","i","627426f35bbef15c65add1cd",NA,NA,NA,NA
"52",52,831.52,1164.76,"english",509313,"foff","L1 English monolingual","f","o","627426f35bbef15c65add1cd",NA,NA,NA,NA
"53",53,372.66,1517.35,"english",509313,"poof","L1 English monolingual","p","u","627426f35bbef15c65add1cd",NA,NA,NA,NA
"54",54,786.37,1165.29,"english",509313,"foff","L1 English monolingual","f","o","627426f35bbef15c65add1cd",NA,NA,NA,NA
"55",55,687.95,1135.12,"english",509313,"poff","L1 English monolingual","p","o","627426f35bbef15c65add1cd",NA,NA,NA,NA
"56",56,818.95,1228.7,"english",509313,"fuff","L1 English monolingual","f","schwa","627426f35bbef15c65add1cd",NA,NA,NA,NA
"57",57,856.04,1160.53,"english",509313,"puff","L1 English monolingual","p","schwa","627426f35bbef15c65add1cd",NA,NA,NA,NA
"58",58,414.59,1502.68,"english",509313,"poof","L1 English monolingual","p","u","627426f35bbef15c65add1cd",NA,NA,NA,NA
"59",59,709.89,1100.04,"english",509313,"fuff","L1 English monolingual","f","schwa","627426f35bbef15c65add1cd",NA,NA,NA,NA
"60",60,798.85,1285.42,"english",509313,"poff","L1 English monolingual","p","o","627426f35bbef15c65add1cd",NA,NA,NA,NA
"61",61,315.83,1566.49,"english",509313,"foof","L1 English monolingual","f","u","627426f35bbef15c65add1cd",NA,NA,NA,NA
"62",62,295.85,1481.46,"english",509313,"peef","L1 English monolingual","p","i","627426f35bbef15c65add1cd",NA,NA,NA,NA
"63",63,438.61,1443.03,"english",509313,"foof","L1 English monolingual","f","u","627426f35bbef15c65add1cd",NA,NA,NA,NA
"64",64,267.08,1596.12,"english",509313,"feef","L1 English monolingual","f","i","627426f35bbef15c65add1cd",NA,NA,NA,NA
"65",65,566.85,1394,"english",509313,"poof","L1 English monolingual","p","u","627426f35bbef15c65add1cd",NA,NA,NA,NA
"66",66,744.17,1114.84,"english",509313,"puff","L1 English monolingual","p","schwa","627426f35bbef15c65add1cd",NA,NA,NA,NA
"67",67,892.35,1207.73,"english",509313,"poff","L1 English monolingual","p","o","627426f35bbef15c65add1cd",NA,NA,NA,NA
"68",68,356.7,1433.65,"english",509313,"foof","L1 English monolingual","f","u","627426f35bbef15c65add1cd",NA,NA,NA,NA
"69",69,787.09,1124.67,"english",509313,"foff","L1 English monolingual","f","o","627426f35bbef15c65add1cd",NA,NA,NA,NA
"70",70,337.95,2312.84,"english",509313,"feef","L1 English monolingual","f","i","627426f35bbef15c65add1cd",NA,NA,NA,NA
"71",71,520.77,1311.96,"english",509313,"puff","L1 English monolingual","p","schwa","627426f35bbef15c65add1cd",NA,NA,NA,NA
"72",72,655.49,1371.78,"english",509313,"fuff","L1 English monolingual","f","schwa","627426f35bbef15c65add1cd",NA,NA,NA,NA
"73",73,406.13,1438.41,"french",509318,"fuf","L1 English monolingual","f","u","61127edae420c460b6e45aa0",NA,NA,NA,NA
"74",74,370.42,1402.57,"french",509318,"puf","L1 English monolingual","p","u","61127edae420c460b6e45aa0",NA,NA,NA,NA
"75",75,409.95,2608.85,"french",509318,"pif","L1 English monolingual","p","i","61127edae420c460b6e45aa0",NA,NA,NA,NA
"76",76,707.73,1578.69,"french",509318,"faf","L1 English monolingual","f","schwa","61127edae420c460b6e45aa0",NA,NA,NA,NA
"77",77,630.66,1269.36,"french",509318,"pof","L1 English monolingual","p","o","61127edae420c460b6e45aa0",NA,NA,NA,NA
"78",78,710.14,1708.7,"french",509318,"paf","L1 English monolingual","p","schwa","61127edae420c460b6e45aa0",NA,NA,NA,NA
"79",79,720.96,1357.38,"french",509318,"pof","L1 English monolingual","p","o","61127edae420c460b6e45aa0",NA,NA,NA,NA
"80",80,438.88,2397.61,"french",509318,"pif","L1 English monolingual","p","i","61127edae420c460b6e45aa0",NA,NA,NA,NA
"81",81,379.93,1609.71,"french",509318,"puf","L1 English monolingual","p","u","61127edae420c460b6e45aa0",NA,NA,NA,NA
"82",82,617.85,1801.27,"french",509318,"paf","L1 English monolingual","p","schwa","61127edae420c460b6e45aa0",NA,NA,NA,NA
"83",83,1178.56,2408.46,"french",509318,"fuf","L1 English monolingual","f","u","61127edae420c460b6e45aa0",NA,NA,NA,NA
"84",84,688.33,1636.17,"french",509318,"faf","L1 English monolingual","f","schwa","61127edae420c460b6e45aa0",NA,NA,NA,NA
"85",85,687.91,1341.7,"french",509318,"fof","L1 English monolingual","f","o","61127edae420c460b6e45aa0",NA,NA,NA,NA
"86",86,704.24,1653.81,"french",509318,"paf","L1 English monolingual","p","schwa","61127edae420c460b6e45aa0",NA,NA,NA,NA
"87",87,643.98,1343.02,"french",509318,"pof","L1 English monolingual","p","o","61127edae420c460b6e45aa0",NA,NA,NA,NA
"88",88,600.59,1510.15,"french",509318,"fof","L1 English monolingual","f","o","61127edae420c460b6e45aa0",NA,NA,NA,NA
"89",89,1622.12,2714.35,"french",509318,"pif","L1 English monolingual","p","i","61127edae420c460b6e45aa0",NA,NA,NA,NA
"90",90,525.51,1694.46,"french",509318,"fof","L1 English monolingual","f","o","61127edae420c460b6e45aa0",NA,NA,NA,NA
"91",91,447.38,1399.33,"french",509318,"puf","L1 English monolingual","p","u","61127edae420c460b6e45aa0",NA,NA,NA,NA
"92",92,369.7,1638.17,"french",509318,"fuf","L1 English monolingual","f","u","61127edae420c460b6e45aa0",NA,NA,NA,NA
"93",93,701.58,1533.52,"french",509318,"faf","L1 English monolingual","f","schwa","61127edae420c460b6e45aa0",NA,NA,NA,NA
"94",94,386.14,2437.76,"french",509318,"fif","L1 English monolingual","f","i","61127edae420c460b6e45aa0",NA,NA,NA,NA
"95",95,416.75,2471.54,"french",509318,"fif","L1 English monolingual","f","i","61127edae420c460b6e45aa0",NA,NA,NA,NA
"96",96,375.76,1802.98,"German",509318,"puf","L1 English monolingual","p","u","61127edae420c460b6e45aa0",NA,NA,NA,NA
"97",97,419.23,821.22,"German",509318,"pof","L1 English monolingual","p","o","61127edae420c460b6e45aa0",NA,NA,NA,NA
"98",98,776.08,1286.13,"German",509318,"paf","L1 English monolingual","p","schwa","61127edae420c460b6e45aa0",NA,NA,NA,NA
"99",99,467.03,1244.76,"German",509318,"fof","L1 English monolingual","f","o","61127edae420c460b6e45aa0",NA,NA,NA,NA
"100",100,411.87,2017.53,"German",509318,"fuf","L1 English monolingual","f","u","61127edae420c460b6e45aa0",NA,NA,NA,NA
"101",101,429.19,888.77,"German",509318,"pof","L1 English monolingual","p","o","61127edae420c460b6e45aa0",NA,NA,NA,NA
"102",102,378.64,2651.81,"German",509318,"pif","L1 English monolingual","p","i","61127edae420c460b6e45aa0",NA,NA,NA,NA
"103",103,442.42,1548.89,"German",509318,"fof","L1 English monolingual","f","o","61127edae420c460b6e45aa0",NA,NA,NA,NA
"104",104,856.58,1383.26,"German",509318,"faf","L1 English monolingual","f","schwa","61127edae420c460b6e45aa0",NA,NA,NA,NA
"105",105,864.8,1471.83,"German",509318,"faf","L1 English monolingual","f","schwa","61127edae420c460b6e45aa0",NA,NA,NA,NA
"106",106,405.02,854.88,"German",509318,"pof","L1 English monolingual","p","o","61127edae420c460b6e45aa0",NA,NA,NA,NA
"107",107,853.9,1411.72,"German",509318,"paf","L1 English monolingual","p","schwa","61127edae420c460b6e45aa0",NA,NA,NA,NA
"108",108,425.57,899.43,"German",509318,"fof","L1 English monolingual","f","o","61127edae420c460b6e45aa0",NA,NA,NA,NA
"109",109,312.09,1020.33,"German",509318,"puf","L1 English monolingual","p","u","61127edae420c460b6e45aa0",NA,NA,NA,NA
"110",110,399.8,2491.86,"German",509318,"fif","L1 English monolingual","f","i","61127edae420c460b6e45aa0",NA,NA,NA,NA
"111",111,353.81,2195.22,"German",509318,"fuf","L1 English monolingual","f","u","61127edae420c460b6e45aa0",NA,NA,NA,NA
"112",112,407.4,2344.79,"German",509318,"fif","L1 English monolingual","f","i","61127edae420c460b6e45aa0",NA,NA,NA,NA
"113",113,387.99,1743.99,"German",509318,"fuf","L1 English monolingual","f","u","61127edae420c460b6e45aa0",NA,NA,NA,NA
"114",114,418.31,2367.32,"German",509318,"fif","L1 English monolingual","f","i","61127edae420c460b6e45aa0",NA,NA,NA,NA
"115",115,383.68,2520.74,"German",509318,"pif","L1 English monolingual","p","i","61127edae420c460b6e45aa0",NA,NA,NA,NA
"116",116,324.92,1364.17,"German",509318,"puf","L1 English monolingual","p","u","61127edae420c460b6e45aa0",NA,NA,NA,NA
"117",117,757.87,1398.3,"German",509318,"faf","L1 English monolingual","f","schwa","61127edae420c460b6e45aa0",NA,NA,NA,NA
"118",118,792.85,1352.33,"German",509318,"paf","L1 English monolingual","p","schwa","61127edae420c460b6e45aa0",NA,NA,NA,NA
"119",119,390.62,2592.5,"German",509318,"pif","L1 English monolingual","p","i","61127edae420c460b6e45aa0",NA,NA,NA,NA
"120",120,455.57,1163.84,"english",509318,"poof","L1 English monolingual","p","u","61127edae420c460b6e45aa0",NA,NA,NA,NA
"121",121,893.8,1320.34,"english",509318,"puff","L1 English monolingual","p","schwa","61127edae420c460b6e45aa0",NA,NA,NA,NA
"122",122,842.26,1305.33,"english",509318,"fuff","L1 English monolingual","f","schwa","61127edae420c460b6e45aa0",NA,NA,NA,NA
"123",123,396.35,2630.23,"english",509318,"feef","L1 English monolingual","f","i","61127edae420c460b6e45aa0",NA,NA,NA,NA
"124",124,502,1286.79,"english",509318,"foof","L1 English monolingual","f","u","61127edae420c460b6e45aa0",NA,NA,NA,NA
"125",125,877.17,1218.84,"english",509318,"foff","L1 English monolingual","f","o","61127edae420c460b6e45aa0",NA,NA,NA,NA
"126",126,373.03,2647.92,"english",509318,"peef","L1 English monolingual","p","i","61127edae420c460b6e45aa0",NA,NA,NA,NA
"127",127,439.47,2538.11,"english",509318,"feef","L1 English monolingual","f","i","61127edae420c460b6e45aa0",NA,NA,NA,NA
"128",128,970.15,1255.06,"english",509318,"poff","L1 English monolingual","p","o","61127edae420c460b6e45aa0",NA,NA,NA,NA
"129",129,421.82,2644.53,"english",509318,"feef","L1 English monolingual","f","i","61127edae420c460b6e45aa0",NA,NA,NA,NA
"130",130,817.84,1318.92,"english",509318,"fuff","L1 English monolingual","f","schwa","61127edae420c460b6e45aa0",NA,NA,NA,NA
"131",131,819.08,1354.77,"english",509318,"fuff","L1 English monolingual","f","schwa","61127edae420c460b6e45aa0",NA,NA,NA,NA
"132",132,835.36,1293.85,"english",509318,"puff","L1 English monolingual","p","schwa","61127edae420c460b6e45aa0",NA,NA,NA,NA
"133",133,450.02,1114.32,"english",509318,"poof","L1 English monolingual","p","u","61127edae420c460b6e45aa0",NA,NA,NA,NA
"134",134,408.42,2777.07,"english",509318,"peef","L1 English monolingual","p","i","61127edae420c460b6e45aa0",NA,NA,NA,NA
"135",135,729.76,1160.56,"english",509318,"foff","L1 English monolingual","f","o","61127edae420c460b6e45aa0",NA,NA,NA,NA
"136",136,443.36,1118.46,"english",509318,"poof","L1 English monolingual","p","u","61127edae420c460b6e45aa0",NA,NA,NA,NA
"137",137,884.39,1226.57,"english",509318,"poff","L1 English monolingual","p","o","61127edae420c460b6e45aa0",NA,NA,NA,NA
"138",138,878.79,1381.24,"english",509318,"puff","L1 English monolingual","p","schwa","61127edae420c460b6e45aa0",NA,NA,NA,NA
"139",139,464.94,1325.78,"english",509318,"foof","L1 English monolingual","f","u","61127edae420c460b6e45aa0",NA,NA,NA,NA
"140",140,397.7,2691.86,"english",509318,"peef","L1 English monolingual","p","i","61127edae420c460b6e45aa0",NA,NA,NA,NA
"141",141,945.11,1312.25,"english",509318,"poff","L1 English monolingual","p","o","61127edae420c460b6e45aa0",NA,NA,NA,NA
"142",142,448.11,1383.64,"english",509318,"foof","L1 English monolingual","f","u","61127edae420c460b6e45aa0",NA,NA,NA,NA
"143",143,902.21,1279.9,"english",509318,"foff","L1 English monolingual","f","o","61127edae420c460b6e45aa0",NA,NA,NA,NA
"144",144,558.37,1543.01,"french",509322,"paf","L1 English monolingual","p","schwa","615b613de1aeca77a48c4125",NA,NA,NA,NA
"145",145,581.9,1526.73,"french",509322,"pof","L1 English monolingual","p","o","615b613de1aeca77a48c4125",NA,NA,NA,NA
"146",146,567.9,1611.08,"french",509322,"fof","L1 English monolingual","f","o","615b613de1aeca77a48c4125",NA,NA,NA,NA
"147",147,416.13,2007.58,"french",509322,"fuf","L1 English monolingual","f","u","615b613de1aeca77a48c4125",NA,NA,NA,NA
"148",148,437.31,2131.74,"french",509322,"puf","L1 English monolingual","p","u","615b613de1aeca77a48c4125",NA,NA,NA,NA
"149",149,277.68,1970.65,"french",509322,"pif","L1 English monolingual","p","i","615b613de1aeca77a48c4125",NA,NA,NA,NA
"150",150,558.11,1366.99,"french",509322,"pof","L1 English monolingual","p","o","615b613de1aeca77a48c4125",NA,NA,NA,NA
