"","prolific_id","l2_ao","l2_aoa","l2_prof_production","l2_prof_perception"
"1","61390220e2050f8b8bf41f27","7","15",5,6
"2","60b805f47d6292141781c36e","3","12",5,5
"3","6142883565f2f12724b5e613","5","Tan pronto como recuerdo.",5,6
"4","5f3cc983e81de700092fa67e","4","12",4,4
"5","615b4d67bd21e66571f5581b","3","10",6,6
"6","613abdfce6575a7bc72a6b85","10","15",4,5
"7","613cdc44e90da78d34e36cf9","4","16",4,5
"8","6142102f6c590438c4704e3f","6","12",5,5
"9","5ab33d98580b990001730708","10","12",4,6
"10","614413848bec31a0e770cc25","15","20+",3,4
"11","613af18151be953036664b9a","12","20+",5,5
"12","614215e5a85111f66a9abbfc","12","16",5,6
"13","613bcc7803e6e071da0b7b3f","4","6",4,6
"14","5bd764370aac450001f94690","6","10",5,5
"15","614a6c398ca700d6d8d520d8","6","7",5,5
"16","60183e25b4423c05ee0ee791","14","Aún no me siento cómodo.",1,4
"17","616ed97200b22fa9725353b3","7","20+",4,5
"18","61400425790ab5dbef568393","8","12",5,5
"19","613a4182d75ec66fcd3292e9","6","20+",3,5
"20","5bfb724acad1240001e8f657","7","14",5,5
"21","5fad55bc57e5f004b095ca80","10","15",4,6
"22","5ec2a21d6053200957b486f9","12","17",5,6
"23","615ccde70c1ce067fc831306","9","12",4,5
"24","5f2f5ffc7144073520501a57","20+","20+",4,5
"25","613a3838d8479f4bc5723974","12","18",4,5
"26","612f0b6e7e79ca1b544a064d","Desde el nacimiento","3",6,6
"27","60943427c11ddfd172f619e3","6","12",6,6
"28","613a8edf1dccc076d9b59330","7","16",4,4
"29","613a9a32098c4cfe776b69de","8","20+",4,5
"30","5e9fdd5effe6a51855448d1b","9","19",3,6
"31","5f740f60b8a1e41acc020269","14","20+",3,5
"32","5f15db42d62e996fdc5429d8","14","20+",2,4
"33","60a4cadc8c4109eeeb9fda14","12","15",5,6
"34","5f15db42d62e996fdc5429d8","14","20+",2,4
"35","613a4182d75ec66fcd3292e9","6","20+",3,5
"36","5f38c9aa0c68ee3f7c72f7b4","7","16",5,5
"37","5f2f8d1f71440737f85aeed8","3","Tan pronto como recuerdo.",6,6
"38","613e5f8850eae60e0e24d723","6","10",6,6
"39","613fde254759385b5d464ee5","3","13",5,6
"40","613e9b08d2ffa0e074c21eb4","10","18",5,5
"41","613ad069b7f1de6a11fbf6b5","Desde el nacimiento","10",5,5
"42","5d9a74f72aae4c031a29af9b","6","10",5,5
"43","613a7d067a00c792ee41f36d","6","Aún no me siento cómodo.",3,4
"44","5f38c9aa0c68ee3f7c72f7b4","6","15",4,5
"45","6143b2fcec68812bfc17fca6","4","6",6,6
"46","60c0fe89173c2b1f4fe2c578","5","10",1,5
"47","613e18e92e4ed15176362aa2","5","16",5,4
"48","5eb0cb5afb9e2418da928edb","12","13",5,6
"49","5f6c343552bdce1aedca6ae1","9","17",5,5
"50","5f4c1b5626199983e1285d83","7","14",4,3
"51","6091c8c45595f158e17f0a0e","7","11",4,5
"52","613a3f32a52f4d656d45bff7","8","12",6,5
"53","613923bfba966877e7764cd8","12","18",4,4
"54","613908791cbd2f097b2f7707","9","9",4,5
"55","613a5a785f9cc6cb102fcc00","7","Aún no me siento cómodo.",5,6
"56","5eccb086d314a0887ac5c3b5","3","8",4,5
"57","6148baf1d5974f3958c332d2","4","10",5,5
"58","614a2f8df39b9ec154e1f640","6","10",5,5
"59","6115d9fa61078b29b8db91ff","6","15",4,5
"60","5ffcda06813bad1d87f925d0","4","6",6,6
"61","614a1e625dc267ba7fb33e91","4","6",4,4
"62","614f2c8f26989c9393e41457","3","12",6,6
"63","5ee6ad67f110e14399a888ee","2","5",6,6
"64","614a65127dcd9777f0707cf4","6","Tan pronto como recuerdo.",4,5
"65","613abcc8a654d0ca925f9434","2","4",4,6
"66","613a841903fdfa91319d424e","4","Aún no me siento cómodo.",3,4
"67","613f8d6600a918d57f57908b","5","8",6,6
"68","5d4ba0be2fe36d00163e73db","11","14",5,5
"69","61453be84f4fdcbe12189aea","10","Aún no me siento cómodo.",3,5
"70","5f9371409b8ab214fb35c7e5","18","Aún no me siento cómodo.",4,5
"71","6092dee68abf98f0b677315d","11","14",5,6
"72","60612657188e55012dfbe71f","11","20+",4,5
"73","5e18cc8f30626119a3998c31","Desde el nacimiento","Tan pronto como recuerdo.",5,6
"74","613a82769f5da68de915153c","5","11",4,4
"75","60fef403b3b6d8b4cbfa281a","5","17",6,6
"76","613b7bdaa7318ef4e18e41f4","5","14",6,6
"77","613a99cc4a787a8d30ddd7e8","7","14",4,5
"78","615b4d67bd21e66571f5581b","3","10",6,6
