"","file_word"
"1","stim/492813_blockNr_1_taskNr_6_trialNr_1_english_recording.wav"
"2","stim/492813_blockNr_1_taskNr_6_trialNr_10_english_recording.wav"
"3","stim/492813_blockNr_1_taskNr_6_trialNr_11_english_recording.wav"
"4","stim/492813_blockNr_1_taskNr_6_trialNr_15_english_recording.wav"
"5","stim/492813_blockNr_1_taskNr_6_trialNr_21_english_recording.wav"
"6","stim/492813_blockNr_1_taskNr_6_trialNr_24_english_recording.wav"
"7","stim/492813_blockNr_1_taskNr_6_trialNr_3_english_recording.wav"
"8","stim/492813_blockNr_1_taskNr_6_trialNr_6_english_recording.wav"
"9","stim/492813_blockNr_1_taskNr_6_trialNr_8_english_recording.wav"
"10","stim/492814_blockNr_1_taskNr_7_trialNr_1_spanish_recording.wav"
"11","stim/492814_blockNr_1_taskNr_7_trialNr_10_spanish_recording.wav"
"12","stim/492814_blockNr_1_taskNr_7_trialNr_11_spanish_recording.wav"
"13","stim/492814_blockNr_1_taskNr_7_trialNr_15_spanish_recording.wav"
"14","stim/492814_blockNr_1_taskNr_7_trialNr_18_spanish_recording.wav"
"15","stim/492814_blockNr_1_taskNr_7_trialNr_19_spanish_recording.wav"
"16","stim/492814_blockNr_1_taskNr_7_trialNr_20_spanish_recording.wav"
"17","stim/492814_blockNr_1_taskNr_7_trialNr_22_spanish_recording.wav"
"18","stim/492814_blockNr_1_taskNr_7_trialNr_7_spanish_recording.wav"
"19","stim/492817_blockNr_1_taskNr_7_trialNr_11_english_recording.wav"
"20","stim/492817_blockNr_1_taskNr_7_trialNr_13_english_recording.wav"
"21","stim/492817_blockNr_1_taskNr_7_trialNr_15_english_recording.wav"
"22","stim/492817_blockNr_1_taskNr_7_trialNr_16_english_recording.wav"
"23","stim/492817_blockNr_1_taskNr_7_trialNr_2_english_recording.wav"
"24","stim/492817_blockNr_1_taskNr_7_trialNr_20_english_recording.wav"
"25","stim/492817_blockNr_1_taskNr_7_trialNr_24_english_recording.wav"
"26","stim/492817_blockNr_1_taskNr_7_trialNr_4_english_recording.wav"
"27","stim/492817_blockNr_1_taskNr_7_trialNr_7_english_recording.wav"
"28","stim/492818_blockNr_1_taskNr_6_trialNr_10_english_recording.wav"
"29","stim/492818_blockNr_1_taskNr_6_trialNr_12_english_recording.wav"
"30","stim/492818_blockNr_1_taskNr_6_trialNr_18_english_recording.wav"
"31","stim/492818_blockNr_1_taskNr_6_trialNr_19_english_recording.wav"
"32","stim/492818_blockNr_1_taskNr_6_trialNr_20_english_recording.wav"
"33","stim/492818_blockNr_1_taskNr_6_trialNr_21_english_recording.wav"
"34","stim/492818_blockNr_1_taskNr_6_trialNr_23_english_recording.wav"
"35","stim/492818_blockNr_1_taskNr_6_trialNr_3_english_recording.wav"
"36","stim/492818_blockNr_1_taskNr_6_trialNr_6_english_recording.wav"
"37","stim/492821_blockNr_1_taskNr_7_trialNr_13_english_recording.wav"
"38","stim/492821_blockNr_1_taskNr_7_trialNr_15_english_recording.wav"
"39","stim/492821_blockNr_1_taskNr_7_trialNr_18_english_recording.wav"
"40","stim/492821_blockNr_1_taskNr_7_trialNr_2_english_recording.wav"
"41","stim/492821_blockNr_1_taskNr_7_trialNr_23_english_recording.wav"
"42","stim/492821_blockNr_1_taskNr_7_trialNr_24_english_recording.wav"
"43","stim/492821_blockNr_1_taskNr_7_trialNr_3_english_recording.wav"
"44","stim/492821_blockNr_1_taskNr_7_trialNr_4_english_recording.wav"
"45","stim/492821_blockNr_1_taskNr_7_trialNr_9_english_recording.wav"
"46","stim/492825_blockNr_1_taskNr_7_trialNr_1_english_recording.wav"
"47","stim/492825_blockNr_1_taskNr_7_trialNr_17_english_recording.wav"
"48","stim/492825_blockNr_1_taskNr_7_trialNr_19_english_recording.wav"
"49","stim/492825_blockNr_1_taskNr_7_trialNr_21_english_recording.wav"
"50","stim/492825_blockNr_1_taskNr_7_trialNr_24_english_recording.wav"
"51","stim/492825_blockNr_1_taskNr_7_trialNr_5_english_recording.wav"
"52","stim/492825_blockNr_1_taskNr_7_trialNr_7_english_recording.wav"
"53","stim/492825_blockNr_1_taskNr_7_trialNr_8_english_recording.wav"
"54","stim/492825_blockNr_1_taskNr_7_trialNr_9_english_recording.wav"
"55","stim/492828_blockNr_1_taskNr_6_trialNr_11_spanish_recording.wav"
"56","stim/492828_blockNr_1_taskNr_6_trialNr_13_spanish_recording.wav"
"57","stim/492828_blockNr_1_taskNr_6_trialNr_15_spanish_recording.wav"
"58","stim/492828_blockNr_1_taskNr_6_trialNr_20_spanish_recording.wav"
"59","stim/492828_blockNr_1_taskNr_6_trialNr_21_spanish_recording.wav"
"60","stim/492828_blockNr_1_taskNr_6_trialNr_22_spanish_recording.wav"
"61","stim/492828_blockNr_1_taskNr_6_trialNr_24_spanish_recording.wav"
"62","stim/492828_blockNr_1_taskNr_6_trialNr_3_spanish_recording.wav"
"63","stim/492828_blockNr_1_taskNr_6_trialNr_7_spanish_recording.wav"
"64","stim/492835_blockNr_1_taskNr_6_trialNr_1_spanish_recording.wav"
"65","stim/492835_blockNr_1_taskNr_6_trialNr_11_spanish_recording.wav"
