"","X","phoneme","choice","l2_prof_perception","participant","cond__","cats__","effect1__","effect2__","estimate__","se__","lower__","upper__","language","stim_language","L1","total_prob","total_prob_upper","total_prob_lower","conditional_prob","conditional_prob_upper","conditional_prob_lower"
"1",29,"i","feel",5.23728813559322,NA,1,"feel","i","feel",0.611247681119515,0.0366663624145772,0.53559970113383,0.682718035008197,"English","German","Spanish",0.628169313932555,0.722684897682413,0.541668709031859,0.973061987528323,0.944696695887258,0.988795719972682
"2",37,"i","feel",5.23728813559322,NA,1,"fool","i","fool",0.00623328425574215,0.00300007887062412,0.00208111807689537,0.0144429544785103,"English","German","Spanish",0.628169313932555,0.722684897682413,0.541668709031859,0.00992293656740355,0.0199851339426458,0.00384204965543425
"3",41,"i","feel",5.23728813559322,NA,1,"fought","i","fought",0.0097173514366388,0.00391336691145874,0.00394680140230624,0.0201318624166495,"English","German","Spanish",0.628169313932555,0.722684897682413,0.541668709031859,0.0154693188939855,0.027857040435203,0.00728637511544737
"4",45,"i","feel",5.23728813559322,NA,1,"fun","i","fun",0.000970997120659156,0.00100217712480962,4.10884188273255e-05,0.0053920457790564,"English","German","Spanish",0.628169313932555,0.722684897682413,0.541668709031859,0.00154575701028817,0.00746112973489306,7.58552564366586e-05
"5",1,"i","feel",5.23728813559322,NA,1,"feel","i","feel",0.458375075651125,0.0489204632053285,0.364906264106322,0.555467333549053,"English","French","Spanish",0.533754723592435,0.68342462685507,0.407546197873838,0.858774743136759,0.812770438351276,0.895373987071974
"6",9,"i","feel",5.23728813559322,NA,1,"fool","i","fool",0.0301383829719,0.00800900493451204,0.0177726419796908,0.0499051684802136,"English","French","Spanish",0.533754723592435,0.68342462685507,0.407546197873838,0.0564648548101901,0.0730221980876857,0.0436089014507076
"7",13,"i","feel",5.23728813559322,NA,1,"fought","i","fought",0.0260701604998055,0.00734598612280739,0.0149520751521084,0.0444311618458135,"English","French","Spanish",0.533754723592435,0.68342462685507,0.407546197873838,0.0488429597856115,0.0650125267657874,0.0366880496741551
"8",17,"i","feel",5.23728813559322,NA,1,"fun","i","fun",0.0191711044696046,0.00601648080032489,0.00991521663571701,0.0336209629799901,"English","French","Spanish",0.533754723592435,0.68342462685507,0.407546197873838,0.0359174422674398,0.0491948367952504,0.0243290618031637
"9",30,"o","feel",5.23728813559322,NA,1,"feel","o","feel",0.0122744403632282,0.00472456985157143,0.00521561734349002,0.0242604487740865,"English","German","Spanish",0.923558052697731,1.08987225299755,0.772743173252766,0.0132903831300851,0.0222599012933501,0.00674948355937656
"10",38,"o","feel",5.23728813559322,NA,1,"fool","o","fool",0.27681952588168,0.031284929920194,0.217861334920242,0.340690641120203,"English","German","Spanish",0.923558052697731,1.08987225299755,0.772743173252766,0.299731592478767,0.312596857276786,0.28193239676668
"11",42,"o","feel",5.23728813559322,NA,1,"fought","o","fought",0.596581236627647,0.0338212144532811,0.526353994047578,0.665867035654817,"English","German","Spanish",0.923558052697731,1.08987225299755,0.772743173252766,0.645959650164948,0.610958792485486,0.681149976171198
"12",46,"o","feel",5.23728813559322,NA,1,"fun","o","fun",0.0378828498251759,0.00903042878071501,0.0233122269414563,0.0590541274484394,"English","German","Spanish",0.923558052697731,1.08987225299755,0.772743173252766,0.0410183742261998,0.0541844489443777,0.0301681435027454
"13",2,"o","feel",5.23728813559322,NA,1,"feel","o","feel",0.03136362570524,0.00796311912129629,0.0186763188314315,0.0493829919301737,"English","French","Spanish",0.853865890740482,1.0571601952196,0.668735325847672,0.0367313251944531,0.0467128748826146,0.0279278185398055
"14",10,"o","feel",5.23728813559322,NA,1,"fool","o","fool",0.129793761553945,0.022203122484043,0.0902828413342652,0.179928116755256,"English","French","Spanish",0.853865890740482,1.0571601952196,0.668735325847672,0.152007198040651,0.170199481184476,0.135005341941261
"15",14,"o","feel",5.23728813559322,NA,1,"fought","o","fought",0.554706379289945,0.0429383497452437,0.466788116236934,0.636314855602423,"English","French","Spanish",0.853865890740482,1.0571601952196,0.668735325847672,0.649641103252055,0.601909586153348,0.698016237807156
"16",18,"o","feel",5.23728813559322,NA,1,"fun","o","fun",0.138002124191352,0.0259425885025776,0.0929880494450409,0.191534230931749,"English","French","Spanish",0.853865890740482,1.0571601952196,0.668735325847672,0.161620373512842,0.181178057779561,0.139050601711778
"17",32,"y","feel",5.23728813559322,NA,1,"feel","y","feel",0.0823222719095978,0.0129566125976789,0.0597516110866198,0.111148499885933,"English","German","Spanish",0.802803030394934,0.999575210709885,0.629207655622123,0.102543549031074,0.111195734643116,0.0949632614173154
"18",40,"y","feel",5.23728813559322,NA,1,"fool","y","fool",0.429164521169353,0.03841165248732,0.353784763120008,0.506673448855893,"English","German","Spanish",0.802803030394934,0.999575210709885,0.629207655622123,0.534582587410299,0.506888769776574,0.562270277481298
"19",44,"y","feel",5.23728813559322,NA,1,"fought","y","fought",0.178015768195529,0.0230540230132029,0.136042356760063,0.227060653314811,"English","German","Spanish",0.802803030394934,0.999575210709885,0.629207655622123,0.221742770587145,0.227157147238131,0.216212176607344
