"","X","participant","stim","word","language","stim_language","rating","phoneme","frame","language_num"
"51",51,"5898b6e256357700011c2c6b","stim/p_schwa_f.wav","fought","eng","french",1.392380952,"schwa","bilabial",1
"52",52,"5898b6e256357700011c2c6b","stim/fof_f.wav","feel","eng","french",1.392380952,"o","fricative",1
"53",53,"5898b6e256357700011c2c6b","stim/pif_f.wav","feel","eng","french",1.392380952,"i","bilabial",1
"54",54,"5898b6e256357700011c2c6b","stim/feuf_f.wav","feel","eng","french",1.392380952,"y","fricative",1
"55",55,"5898b6e256357700011c2c6b","stim/f_schwa_f.wav","fool","eng","french",1.392380952,"schwa","fricative",1
"56",56,"5898b6e256357700011c2c6b","stim/peuf_f.wav","fought","eng","french",1.392380952,"y","bilabial",1
"57",57,"5898b6e256357700011c2c6b","stim/p_schwa_f.wav","feel","eng","french",1.392380952,"schwa","bilabial",1
"58",58,"5898b6e256357700011c2c6b","stim/pof_f.wav","fought","eng","french",1.392380952,"o","bilabial",1
"59",59,"5898b6e256357700011c2c6b","stim/pif_f.wav","fool","eng","french",1.392380952,"i","bilabial",1
"60",60,"5898b6e256357700011c2c6b","stim/fif_f.wav","fool","eng","french",1.392380952,"i","fricative",1
"61",61,"5898b6e256357700011c2c6b","stim/f_schwa_f.wav","fought","eng","french",1.392380952,"schwa","fricative",1
"62",62,"5898b6e256357700011c2c6b","stim/peuf_f.wav","feel","eng","french",1.392380952,"y","bilabial",1
"63",63,"5898b6e256357700011c2c6b","stim/fof_f.wav","fool","eng","french",1.392380952,"o","fricative",1
"64",64,"5898b6e256357700011c2c6b","stim/feuf_f.wav","feel","eng","french",1.392380952,"y","fricative",1
"65",65,"5898b6e256357700011c2c6b","stim/fif_f.wav","feel","eng","french",1.392380952,"i","fricative",1
"66",66,"5898b6e256357700011c2c6b","stim/feuf_f.wav","feel","eng","french",1.396190476,"y","fricative",1
"67",67,"5898b6e256357700011c2c6b","stim/fof_f.wav","fool","eng","french",1.396190476,"o","fricative",1
"68",68,"5898b6e256357700011c2c6b","stim/peuf_f.wav","feel","eng","french",1.396190476,"y","bilabial",1
"69",69,"5898b6e256357700011c2c6b","stim/f_schwa_f.wav","fun","eng","french",1.396190476,"schwa","fricative",1
"70",70,"5898b6e256357700011c2c6b","stim/pif_f.wav","feel","eng","french",1.396190476,"i","bilabial",1
"71",71,"5898b6e256357700011c2c6b","stim/p_schwa_f.wav","fought","eng","french",1.396190476,"schwa","bilabial",1
"72",72,"5898b6e256357700011c2c6b","stim/pof_f.wav","fought","eng","french",1.396190476,"o","bilabial",1
"73",73,"5898b6e256357700011c2c6b","stim/pof_f.wav","fought","eng","french",1.396190476,"o","bilabial",1
"74",74,"5898b6e256357700011c2c6b","stim/fif_f.wav","fool","eng","french",1.396190476,"i","fricative",1
"75",75,"5898b6e256357700011c2c6b","stim/fof_f.wav","fought","eng","french",1.396190476,"o","fricative",1
"76",76,"5898b6e256357700011c2c6b","stim/feuf_f.wav","fool","eng","french",1.396190476,"y","fricative",1
"77",77,"5898b6e256357700011c2c6b","stim/peuf_f.wav","fool","eng","french",1.396190476,"y","bilabial",1
"78",78,"5898b6e256357700011c2c6b","stim/f_schwa_f.wav","fun","eng","french",1.396190476,"schwa","fricative",1
"79",79,"5898b6e256357700011c2c6b","stim/p_schwa_f.wav","fought","eng","french",1.396190476,"schwa","bilabial",1
"80",80,"5898b6e256357700011c2c6b","stim/pif_f.wav","feel","eng","french",1.396190476,"i","bilabial",1
"81",81,"5a5479b4ac56240001537ffa","stim/fof_f.wav","fun","eng","french",3.014814871,"o","fricative",1
"82",82,"5a5479b4ac56240001537ffa","stim/p_schwa_f.wav","fin","span","french",2.014814871,"schwa","bilabial",0
"83",83,"5a5479b4ac56240001537ffa","stim/peuf_f.wav","fool","eng","french",2.014814871,"y","bilabial",1
"84",84,"5a5479b4ac56240001537ffa","stim/pif_f.wav","feel","eng","french",4.022222166,"i","bilabial",1
"85",85,"5a5479b4ac56240001537ffa","stim/pof_f.wav","fun","eng","french",1.977777834,"o","bilabial",1
"86",86,"5a5479b4ac56240001537ffa","stim/f_schwa_f.wav","fin","span","french",1.051851908,"schwa","fricative",0
"87",87,"5a5479b4ac56240001537ffa","stim/fif_f.wav","feel","eng","french",3.03333339,"i","fricative",1
"88",88,"5a5479b4ac56240001537ffa","stim/feuf_f.wav","fool","eng","french",4,"y","fricative",1
"89",89,"5a5479b4ac56240001537ffa","stim/fof_f.wav","fun","eng","french",2.085185298,"o","fricative",1
"90",90,"5a5479b4ac56240001537ffa","stim/feuf_f.wav","fool","eng","french",4.003703647,"y","fricative",1
"91",91,"5a5479b4ac56240001537ffa","stim/pof_f.wav","fun","eng","french",2.018518519,"o","bilabial",1
"92",92,"5a5479b4ac56240001537ffa","stim/f_schwa_f.wav","fun","eng","french",2.03333339,"schwa","fricative",1
"93",93,"5a5479b4ac56240001537ffa","stim/p_schwa_f.wav","fin","span","french",1.148148148,"schwa","bilabial",0
"94",94,"5a5479b4ac56240001537ffa","stim/peuf_f.wav","fool","eng","french",2.97037054,"y","bilabial",1
"95",95,"5a5479b4ac56240001537ffa","stim/pif_f.wav","feel","eng","french",2.029629743,"i","bilabial",1
"96",96,"5a5479b4ac56240001537ffa","stim/fif_f.wav","feel","eng","french",3.514814871,"i","fricative",1
"97",97,"5a5479b4ac56240001537ffa","stim/pof_f.wav","fun","eng","french",1.977777834,"o","bilabial",1
"98",98,"5a5479b4ac56240001537ffa","stim/fif_f.wav","feel","eng","french",3,"i","fricative",1
"99",99,"5a5479b4ac56240001537ffa","stim/p_schwa_f.wav","fun","eng","french",2.011111224,"schwa","bilabial",1
"100",100,"5a5479b4ac56240001537ffa","stim/f_schwa_f.wav","fin","span","french",2.018518519,"schwa","fricative",0
"101",101,"5a5479b4ac56240001537ffa","stim/peuf_f.wav","fool","eng","french",1.981481481,"y","bilabial",1
"102",102,"5a5479b4ac56240001537ffa","stim/pif_f.wav","feel","eng","french",2.944444444,"i","bilabial",1
"103",103,"5a5479b4ac56240001537ffa","stim/feuf_f.wav","fool","eng","french",2.985185129,"y","fricative",1
"104",104,"5a5479b4ac56240001537ffa","stim/fof_f.wav","fought","eng","french",1.974074187,"o","fricative",1
"105",105,"5a5479b4ac56240001537ffa","stim/f_schwa_f.wav","fun","eng","french",1.633333418,"schwa","fricative",1
"106",106,"5a5479b4ac56240001537ffa","stim/fif_f.wav","feel","eng","french",3.311111168,"i","fricative",1
"107",107,"5a5479b4ac56240001537ffa","stim/pif_f.wav","feel","eng","french",2.992592706,"i","bilabial",1
"108",108,"5a5479b4ac56240001537ffa","stim/fof_f.wav","fool","eng","french",3.451852021,"o","fricative",1
"109",109,"5a5479b4ac56240001537ffa","stim/p_schwa_f.wav","fun","eng","french",1.466666751,"schwa","bilabial",1
"110",110,"5a5479b4ac56240001537ffa","stim/feuf_f.wav","fool","eng","french",3.422222279,"y","fricative",1
"111",111,"5a5479b4ac56240001537ffa","stim/peuf_f.wav","fool","eng","french",2.455555669,"y","bilabial",1
"112",112,"5a5479b4ac56240001537ffa","stim/pof_f.wav","fun","eng","french",1.48518527,"o","bilabial",1
"113",113,"5a5479b4ac56240001537ffa","stim/peuf_f.wav","fool","eng","french",3.366666723,"y","bilabial",1
"114",114,"5a5479b4ac56240001537ffa","stim/fof_f.wav","fun","eng","french",3.681481538,"o","fricative",1
"115",115,"5a5479b4ac56240001537ffa","stim/f_schwa_f.wav","fought","eng","french",2.244444388,"schwa","fricative",1
"116",116,"5a5479b4ac56240001537ffa","stim/pif_f.wav","feel","eng","french",2.992592706,"i","bilabial",1
"117",117,"5a5479b4ac56240001537ffa","stim/fif_f.wav","feel","eng","french",2.97037054,"i","fricative",1
"118",118,"5a5479b4ac56240001537ffa","stim/feuf_f.wav","fool","eng","french",3.496296353,"y","fricative",1
"119",119,"5a5479b4ac56240001537ffa","stim/p_schwa_f.wav","fin","span","french",1.062962991,"schwa","bilabial",0
"120",120,"5a5479b4ac56240001537ffa","stim/pof_f.wav","fun","eng","french",1.462962963,"o","bilabial",1
"121",121,"5bcc60b95c2b810001dc68e2","stim/pif_f.wav","feel","eng","french",3.017777778,"i","bilabial",1
"122",122,"5bcc60b95c2b810001dc68e2","stim/feuf_f.wav","fool","eng","french",3.017777778,"y","fricative",1
