"","stim","resp","language","response","rating","rating_sd","phoneme","frame"
"1","stim/f_schwa_g.wav","feel","eng",3,4.14370370366667,0.490790912860057,"schwa","fricative"
"2","stim/f_schwa_g.wav","fin","span",2,2.4935761445,0.861653451374921,"schwa","fricative"
"3","stim/f_schwa_g.wav","fool","eng",34,3.17264038476471,0.806071156328823,"schwa","fricative"
"4","stim/f_schwa_g.wav","fought","eng",82,3.09469632452033,1.08015546526951,"schwa","fricative"
"5","stim/f_schwa_g.wav","fun","eng",188,3.476279727763,1.06051996717498,"schwa","fricative"
"6","stim/f_schwa_g.wav","son","span",13,3.33054962453846,1.06673933072017,"schwa","fricative"
"7","stim/f_schwa_g.wav","su","span",21,3.15540738947619,1.07615953944047,"schwa","fricative"
"8","stim/feuf_g.wav","feel","eng",9,2.31984996411111,1.03281883409703,"y","fricative"
"9","stim/feuf_g.wav","fin","span",4,3.51564062430556,0.528862788851605,"y","fricative"
"10","stim/feuf_g.wav","fool","eng",108,3.3483755859537,0.811946407289032,"y","fricative"
"11","stim/feuf_g.wav","fought","eng",14,2.37518348942857,0.646257370522127,"y","fricative"
"12","stim/feuf_g.wav","fun","eng",19,2.94582257681287,1.134320653583,"y","fricative"
"13","stim/feuf_g.wav","son","span",4,3.65828845547222,1.74527925736775,"y","fricative"
"14","stim/feuf_g.wav","su","span",97,3.63612749419015,0.824001517606048,"y","fricative"
"15","stim/fief_g.wav","feel","eng",129,3.49088604613178,0.96606021872195,"i","fricative"
"16","stim/fief_g.wav","fin","span",99,3.86465053091919,0.864460104523134,"i","fricative"
"17","stim/fief_g.wav","fool","eng",7,3.44064210892063,1.28475580288722,"i","fricative"
"18","stim/fief_g.wav","fought","eng",5,3.27572949197778,1.260890848164,"i","fricative"
"19","stim/fief_g.wav","fun","eng",11,2.94275883833333,0.89970920644485,"i","fricative"
"20","stim/fief_g.wav","su","span",3,2.74387718566667,1.41474684999935,"i","fricative"
"21","stim/fof_g.wav","feel","eng",3,3.40549232162963,1.24202006124282,"o","fricative"
"22","stim/fof_g.wav","fin","span",1,3.998968008,NA,"o","fricative"
"23","stim/fof_g.wav","fool","eng",118,3.58988229793315,0.847838797607054,"o","fricative"
"24","stim/fof_g.wav","fought","eng",115,3.25498513051304,0.823879975639774,"o","fricative"
"25","stim/fof_g.wav","fun","eng",32,3.22751005670486,0.934448030828199,"o","fricative"
"26","stim/fof_g.wav","son","span",45,3.30586179655556,0.823006467533399,"o","fricative"
"27","stim/fof_g.wav","su","span",29,3.25786697517241,1.01320401949067,"o","fricative"
"28","stim/p_schwa_g.wav","feel","eng",3,4.18814814803704,0.212978099397287,"schwa","bilabial"
"29","stim/p_schwa_g.wav","fool","eng",32,3.14496698065972,1.01605940171783,"schwa","bilabial"
"30","stim/p_schwa_g.wav","fought","eng",57,2.85196684055945,1.15125243560118,"schwa","bilabial"
"31","stim/p_schwa_g.wav","fun","eng",190,NA,NA,"schwa","bilabial"
"32","stim/p_schwa_g.wav","son","span",26,3.33897910976923,1.06637261418153,"schwa","bilabial"
"33","stim/p_schwa_g.wav","su","span",34,2.62401790017647,1.12595617132879,"schwa","bilabial"
"34","stim/peuf_g.wav","feel","eng",8,3.116155586625,1.18754779881813,"y","bilabial"
"35","stim/peuf_g.wav","fin","span",1,3.008255934,NA,"y","bilabial"
"36","stim/peuf_g.wav","fool","eng",100,3.23401983792889,0.952237874412779,"y","bilabial"
"37","stim/peuf_g.wav","fought","eng",8,2.394239512125,1.12794988347249,"y","bilabial"
"38","stim/peuf_g.wav","fun","eng",16,NA,NA,"y","bilabial"
"39","stim/peuf_g.wav","son","span",3,3.08393820266667,0.801176321652708,"y","bilabial"
"40","stim/peuf_g.wav","su","span",120,3.49886120376667,0.891335021498042,"y","bilabial"
"41","stim/pief_g.wav","feel","eng",137,3.37606191867072,1.06260009410566,"i","bilabial"
"42","stim/pief_g.wav","fin","span",99,3.75061920371717,0.92990925027998,"i","bilabial"
"43","stim/pief_g.wav","fool","eng",3,2.75259259259259,1.66406513009607,"i","bilabial"
"44","stim/pief_g.wav","fought","eng",3,2.74880405,1.35322748542337,"i","bilabial"
"45","stim/pief_g.wav","fun","eng",8,3.45833333330556,0.700066764225144,"i","bilabial"
"46","stim/pief_g.wav","son","span",3,3.44035957118519,1.24494521302761,"i","bilabial"
"47","stim/pief_g.wav","su","span",1,2.988888889,NA,"i","bilabial"
"48","stim/pof_g.wav","feel","eng",3,2.672537575,2.0721748673055,"o","bilabial"
"49","stim/pof_g.wav","fin","span",3,3.27301702248148,1.98022368777612,"o","bilabial"
"50","stim/pof_g.wav","fool","eng",117,3.40122846609497,0.866360972126227,"o","bilabial"
"51","stim/pof_g.wav","fought","eng",96,3.1286685013125,1.03804437632092,"o","bilabial"
"52","stim/pof_g.wav","fun","eng",49,3.08953209586621,0.883858521665717,"o","bilabial"
"53","stim/pof_g.wav","son","span",45,3.30124101915309,0.770340213414245,"o","bilabial"
"54","stim/pof_g.wav","su","span",29,3.07780466272797,0.892168155645197,"o","bilabial"
