key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,stim1,stim2,distance,isCorrect
space,6.067,2,11.67,2.009259259,3.656,0,0,0,3,1,stim/fof_g.wav,6125b040ffa3c0b9e67b92c9,001,2022-03-09_15h21.00.988,vct_new,2021.2.3,Win32,60.0240096,,,,,,,,,,,,
,,1,6.331,3.046296296,1.527,0,1,1,1,1,stim/faf_g.wav,6125b040ffa3c0b9e67b92c9,001,2022-03-09_15h21.00.988,vct_new,2021.2.3,Win32,60.0240096,,,,,,,,,,,,
,,1,3.593,3.00462963,0.953,0,2,2,5,1,stim/paf_g.wav,6125b040ffa3c0b9e67b92c9,001,2022-03-09_15h21.00.988,vct_new,2021.2.3,Win32,60.0240096,,,,,,,,,,,,
,,5,5.66,2.074074074,1.108,0,3,3,4,1,stim/p_schwa_g.wav,6125b040ffa3c0b9e67b92c9,001,2022-03-09_15h21.00.988,vct_new,2021.2.3,Win32,60.0240096,,,,,,,,,,,,
,,1,4.399,2.092592593,0.821,0,4,4,0,1,stim/f_schwa_g.wav,6125b040ffa3c0b9e67b92c9,001,2022-03-09_15h21.00.988,vct_new,2021.2.3,Win32,60.0240096,,,,,,,,,,,,
,,7,4.105,4.009259259,1.275,0,5,5,6,1,stim/piep_g.wav,6125b040ffa3c0b9e67b92c9,001,2022-03-09_15h21.00.988,vct_new,2021.2.3,Win32,60.0240096,,,,,,,,,,,,
,,7,2.457,3.99537037,1.287,0,6,6,2,1,stim/fif_g.wav,6125b040ffa3c0b9e67b92c9,001,2022-03-09_15h21.00.988,vct_new,2021.2.3,Win32,60.0240096,,,,,,,,,,,,
,,1,2.124,2.148148148,0.922,0,7,7,7,1,stim/pof_g.wav,6125b040ffa3c0b9e67b92c9,001,2022-03-09_15h21.00.988,vct_new,2021.2.3,Win32,60.0240096,,,,,,,,,,,,
,,7,1.688,3.916666667,1.128,1,0,8,2,1,stim/fif_g.wav,6125b040ffa3c0b9e67b92c9,001,2022-03-09_15h21.00.988,vct_new,2021.2.3,Win32,60.0240096,,,,,,,,,,,,
,,1,2.319,1.953703704,0.893,1,1,9,1,1,stim/faf_g.wav,6125b040ffa3c0b9e67b92c9,001,2022-03-09_15h21.00.988,vct_new,2021.2.3,Win32,60.0240096,,,,,,,,,,,,
,,1,2.218,1.976851852,0.555,1,2,10,5,1,stim/paf_g.wav,6125b040ffa3c0b9e67b92c9,001,2022-03-09_15h21.00.988,vct_new,2021.2.3,Win32,60.0240096,,,,,,,,,,,,
,,7,2.384,4.768518519,1.055,1,3,11,6,1,stim/piep_g.wav,6125b040ffa3c0b9e67b92c9,001,2022-03-09_15h21.00.988,vct_new,2021.2.3,Win32,60.0240096,,,,,,,,,,,,
,,2,2.568,1.99537037,0.748,1,4,12,3,1,stim/fof_g.wav,6125b040ffa3c0b9e67b92c9,001,2022-03-09_15h21.00.988,vct_new,2021.2.3,Win32,60.0240096,,,,,,,,,,,,
