key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_trial.keys,key_resp_trial.corr,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,stim1,stim2,distance,isCorrect,key_resp_trial.rt
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,0,5,5,11,1,stim/Step_2.wav,stim/Step_5.wav,-3,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,0,6,6,33,1,stim/Step_5.wav,stim/Step_6.wav,-1,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,0,7,7,37,1,stim/Step_6.wav,stim/Step_3.wav,3,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,0,8,8,40,1,stim/Step_6.wav,stim/Step_6.wav,0,0,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,0,9,9,43,1,stim/Step_7.wav,stim/Step_2.wav,5,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,0,10,10,13,1,stim/Step_2.wav,stim/Step_7.wav,-5,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,0,11,11,0,1,stim/Step_1.wav,stim/Step_1.wav,0,0,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,0,12,12,9,1,stim/Step_2.wav,stim/Step_3.wav,-1,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,0,13,13,48,1,stim/Step_7.wav,stim/Step_7.wav,0,0,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,0,14,14,41,1,stim/Step_6.wav,stim/Step_7.wav,-1,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,0,15,15,18,1,stim/Step_3.wav,stim/Step_5.wav,-2,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,0,16,16,30,1,stim/Step_5.wav,stim/Step_3.wav,2,1,
,,,,,,,,,,,,5da8b26395be5f0017360ad5,001,2022-03-09_14h13.17.217,vct_new,2021.2.3,Win32,59.91611744,,0,0,17,17,38,1,stim/Step_6.wav,stim/Step_4.wav,2,1,
