key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_2.keys,key_resp_2.rt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.rt,slider_2.response,slider_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran
1,2.3324,space,3.6611,6,6.624,3.001784643,4.2944,0,0,0,0,1,stim/pof_g.wav,60f83b167c76803d88b92d53,001,2022-03-13_14h12.02.741,task,2021.2.3,Linux x86_64,30.00480077,,,,,,,,,,,
,,,,7,3.2356,2.990808169,3.745,0,1,1,5,1,stim/fief_g.wav,60f83b167c76803d88b92d53,001,2022-03-13_14h12.02.741,task,2021.2.3,Linux x86_64,30.00480077,,,,,,,,,,,
,,,,1,4.4588,3.981965065,2.2048,0,2,2,3,1,stim/p_schwa_g.wav,60f83b167c76803d88b92d53,001,2022-03-13_14h12.02.741,task,2021.2.3,Linux x86_64,30.00480077,,,,,,,,,,,
,,,,4,4.3734,4.72420915,1.8649,0,3,3,6,1,stim/feuf_g.wav,60f83b167c76803d88b92d53,001,2022-03-13_14h12.02.741,task,2021.2.3,Linux x86_64,30.00480077,,,,,,,,,,,
,,,,1,4.3875,2.081022104,2.0972,0,4,4,7,1,stim/f_schwa_g.wav,60f83b167c76803d88b92d53,001,2022-03-13_14h12.02.741,task,2021.2.3,Linux x86_64,30.00480077,,,,,,,,,,,
,,,,6,4.7781,4.196563085,1.901,0,5,5,2,1,stim/peuf_g.wav,60f83b167c76803d88b92d53,001,2022-03-13_14h12.02.741,task,2021.2.3,Linux x86_64,30.00480077,,,,,,,,,,,
,,,,3,4.6431,4.401937167,2.884,0,6,6,1,1,stim/pief_g.wav,60f83b167c76803d88b92d53,001,2022-03-13_14h12.02.741,task,2021.2.3,Linux x86_64,30.00480077,,,,,,,,,,,
,,,,4,5.419,4.179128965,1.7114,0,7,7,4,1,stim/fof_g.wav,60f83b167c76803d88b92d53,001,2022-03-13_14h12.02.741,task,2021.2.3,Linux x86_64,30.00480077,,,,,,,,,,,
,,,,4,3.8879,3.348401705,2.0636,1,0,8,0,1,stim/pof_g.wav,60f83b167c76803d88b92d53,001,2022-03-13_14h12.02.741,task,2021.2.3,Linux x86_64,30.00480077,,,,,,,,,,,
,,,,1,3.2465,3.697135925,1.5965,1,1,9,3,1,stim/p_schwa_g.wav,60f83b167c76803d88b92d53,001,2022-03-13_14h12.02.741,task,2021.2.3,Linux x86_64,30.00480077,,,,,,,,,,,
,,,,7,3.0131,3.492269198,1.5528,1,2,10,5,1,stim/fief_g.wav,60f83b167c76803d88b92d53,001,2022-03-13_14h12.02.741,task,2021.2.3,Linux x86_64,30.00480077,,,,,,,,,,,
,,,,6,3.1629,3.542151769,2.3465,1,3,11,2,1,stim/peuf_g.wav,60f83b167c76803d88b92d53,001,2022-03-13_14h12.02.741,task,2021.2.3,Linux x86_64,30.00480077,,,,,,,,,,,
,,,,3,3.4686,4.070135117,1.2307,1,4,12,1,1,stim/pief_g.wav,60f83b167c76803d88b92d53,001,2022-03-13_14h12.02.741,task,2021.2.3,Linux x86_64,30.00480077,,,,,,,,,,,
,,,,2,2.1746,3.870831172,1.917,1,5,13,4,1,stim/fof_g.wav,60f83b167c76803d88b92d53,001,2022-03-13_14h12.02.741,task,2021.2.3,Linux x86_64,30.00480077,,,,,,,,,,,
,,,,1,1.9443,4.117968559,1.9563,1,6,14,7,1,stim/f_schwa_g.wav,60f83b167c76803d88b92d53,001,2022-03-13_14h12.02.741,task,2021.2.3,Linux x86_64,30.00480077,,,,,,,,,,,
,,,,6,4.0863,3.920879682,2.0055,1,7,15,6,1,stim/feuf_g.wav,60f83b167c76803d88b92d53,001,2022-03-13_14h12.02.741,task,2021.2.3,Linux x86_64,30.00480077,,,,,,,,,,,
